gene_id	enriched_in	symbol
51869	Mutant	Rif1
271786	Mutant	Galnt13
67059	Mutant	Ola1
228071	Mutant	Sestd1
78158	Mutant	4930440I19Rik
56791	Mutant	Ube2l6
76501	Mutant	Commd9
228432	Mutant	Ano3
241612	Mutant	Slc5a12
20813	Mutant	Srp14
27103	Mutant	Eif2ak4
57432	Mutant	Zc3h8
11990	Mutant	Atrn
66634	Mutant	Mcm8
66926	Mutant	Trmt6
228677	Mutant	Sptlc3
72899	Mutant	Macrod2
668917	Mutant	Zfp133-ps
18503	Mutant	Pax1
15162	Mutant	Hck
56407	Mutant	Trpc4ap
228850	Mutant	Ralgapb
15378	Mutant	Hnf4a
68314	Mutant	Hnf4aos
209351	Mutant	Wfdc6a
629747	Mutant	Spint3
67701	Mutant	Wfdc2
11981	Mutant	Atp9a
99377	Mutant	Sall4
80892	Mutant	Zfhx4
70862	Mutant	Spata16
381438	Mutant	Gm5148
433586	Mutant	Maml3
242022	Mutant	Frem2
213262	Mutant	Fstl5
54195	Mutant	Gucy1b1
329693	Mutant	Fcrl5
229593	Mutant	Golph3l
56205	Mutant	Ensa
22365	Mutant	Vps45
66659	Mutant	Acp6
242109	Mutant	Zfp697
100043456	Mutant	Hsd3b8
53883	Mutant	Celsr2
80883	Mutant	Ntng1
14079	Mutant	Fabp2
74057	Mutant	4933405D12Rik
100306957	Mutant	Snora24
19142	Mutant	Prss12
69895	Mutant	Snhg8
102639747	Mutant	Gm35986
170439	Mutant	Elovl6
170757	Mutant	Adgrl4
116940	Mutant	Tgs1
72098	Mutant	Tmem68
100041579	Mutant	Gm20878
100862177	Mutant	Ccl21d
665845	Mutant	Gm7819
17841	Mutant	Mup2
100039206	Mutant	Mup17
100048885	Mutant	NA
56079	Mutant	Astn2
78238	Mutant	6030471H07Rik
242557	Mutant	Atg4c
26563	Mutant	Ror1
83770	Mutant	Tas1r2
100040861	Mutant	Gm13057
329986	Mutant	Pramel20
74646	Mutant	Spsb1
544678	Mutant	Cfap74
69671	Mutant	Tmem52
75330	Mutant	4930558F17Rik
545732	Mutant	Speer1m
381715	Mutant	Speer4c2
100502967	Mutant	Speer4c1
75858	Mutant	Speer4cos
14772	Mutant	Grk4
76710	Mutant	2210406O10Rik
13204	Mutant	Dhx15
414108	Mutant	9230114K14Rik
414111	Mutant	C130083M11Rik
100124451	Mutant	Mir574
68303	Mutant	Fam114a1
243043	Mutant	Kctd8
56183	Mutant	Nmu
74621	Mutant	4930432L08Rik
79455	Mutant	Pdcl2
100554	Mutant	Pramel52-ps
100041253	Mutant	Pramel60
665943	Mutant	Pramel55
94061	Mutant	Mrpl1
21388	Mutant	Tbx5
13047	Mutant	Cux1
231868	Mutant	Ints15
330230	Mutant	Zfp853
100710	Mutant	Pds5b
381695	Mutant	N4bp2l2
667335	Mutant	Gm8579
170676	Mutant	Peg10
20392	Mutant	Sgce
333088	Mutant	Kcp
75647	Mutant	Ssmem1
100503622	Mutant	Gm16630
243374	Mutant	Gimap8
54353	Mutant	Skap2
71287	Mutant	Cpvl
171195	Mutant	Vmn1r30
13990	Mutant	Smarcad1
70779	Mutant	Prdm5
68477	Mutant	Rmnd5a
78773	Mutant	4930511E03Rik
108655	Mutant	Foxp1
194401	Mutant	Mical3
546912	Mutant	Vmn2r21
546913	Mutant	Vmn2r22
381812	Mutant	Cracr2a
14812	Mutant	Grin2b
19943	Mutant	Rpl28
77891	Mutant	Ube2s
100042450	Mutant	Smim17
257882	Mutant	Or2bd2
625353	Mutant	Vmn2r35
100042891	Mutant	Vmn2r47
72716	Mutant	Gm45351
246791	Mutant	Obox3
71468	Mutant	Obox1
100042966	Mutant	Vmn1r-ps79
100042968	Mutant	Vmn1r101
100043037	Mutant	Vmn1r250
100043058	Mutant	Gm10665
100043061	Mutant	Vmn1r256
100043536	Mutant	Vmn1r100
100043566	Mutant	Gm10668
101055864	Mutant	Gm4513
621561	Mutant	Vmn1r127
667094	Mutant	Vmn1r252
667464	Mutant	Vmn1r142
667469	Mutant	Vmn1r143
667472	Mutant	Vmn1r251
667485	Mutant	Vmn1r254
667504	Mutant	Vmn1r152
667512	Mutant	Vmn1r255
673977	Mutant	Vmn1r107
100043016	Mutant	Vmn1r131
100043083	Mutant	Vmn1r259
545929	Mutant	Gm5891
667543	Mutant	Vmn1r257
667586	Mutant	Vmn1r163
667599	Mutant	Vmn1r260
100043856	Mutant	Scgb2b18
243931	Mutant	Tshz3
637898	Mutant	Vmn2r60
52480	Mutant	Snhg14
209387	Mutant	Trim30d
258809	Mutant	Or52h9
100042856	Mutant	Gvin2
100417829	Mutant	Gvin-ps2
258180	Mutant	Or2ag17
258593	Mutant	Or2ag18
21676	Mutant	Tead1
68815	Mutant	Btbd10
110033	Mutant	Kif22
69036	Mutant	Zg16
66930	Mutant	Fank1
102465762	Mutant	Mir7654
234023	Mutant	Arglu1
270028	Mutant	Nalf1
100041895	Mutant	Defa37
14300	Mutant	Frg1
270049	Mutant	Galntl6
234356	Mutant	Csgalnact1
236193	Mutant	Zfp709
170938	Mutant	Zfp617
382019	Mutant	Zfp882
404315	Mutant	Or2z8
17125	Mutant	Smad1
102465898	Mutant	Mir8109
74513	Mutant	Neto2
54352	Mutant	Irx5
71296	Mutant	Crnde
102638837	Mutant	Tle7
234725	Mutant	Zfp612
108148	Mutant	Galnt2
71544	Mutant	Arhgap42
244682	Mutant	Cntn5
69137	Mutant	Vstm5
319239	Mutant	Npsr1
235106	Mutant	Ntm
330914	Mutant	Arhgap32
245902	Mutant	Ccdc15
74090	Mutant	Paqr5
207667	Mutant	Skor1
56404	Mutant	Trip4
208117	Mutant	Aph1b
70487	Mutant	5730403I07Rik
12816	Mutant	Col12a1
75782	Mutant	Lca5
387179	Mutant	Mir184
22771	Mutant	Zic1
107993	Mutant	Bfsp2
81907	Mutant	Tmem108
68265	Mutant	Iqcf3
74267	Mutant	Iqcf1
108068	Mutant	Grm2
21767	Mutant	Tex264
208869	Mutant	Dock3
215798	Mutant	Adgrg6
66201	Mutant	Vta1
18101	Mutant	Nmbr
69412	Mutant	1700016L04Rik
380629	Mutant	Heca
76306	Mutant	Slc18b1
100504586	Mutant	Gm20300
66847	Mutant	Hint3
73681	Mutant	Trmt11
71713	Mutant	Cdc40
53599	Mutant	Cd164
216188	Mutant	Aldh1l2
70428	Mutant	Polr3b
71712	Mutant	Dram1
216227	Mutant	Slc17a8
13713	Mutant	Elk3
319880	Mutant	Tmcc3
54712	Mutant	Plxnc1
102639396	Mutant	Gm35722
637578	Mutant	Alyreffm15
278279	Mutant	Tmtc2
327812	Mutant	Gm15663
103214	Mutant	Ifngas1
69922	Mutant	Vrk2
14401	Mutant	Gabrb2
319767	Mutant	Atp10b
75530	Mutant	Lyrm7
67510	Mutant	Tvp23b
214384	Mutant	Myocd
14457	Mutant	Gas7
93896	Mutant	Glp2r
11448	Mutant	Chrne
668433	Mutant	4930544D05Rik
237898	Mutant	Usp32
114714	Mutant	Rad51c
83560	Mutant	Tex14
140486	Mutant	Igf2bp1
15407	Mutant	Hoxb1
19739	Mutant	Rgs9
319819	Mutant	4932435O22Rik
217316	Mutant	Slc16a5
276905	Mutant	Armc7
211914	Mutant	Asap2
16413	Mutant	Itgb1bp1
14009	Mutant	Etv1
100101807	Mutant	Fam177a2
665155	Mutant	Srp54b
66132	Mutant	Prorp
100306943	Mutant	Scarna13
100526471	Mutant	Mir3069
69434	Mutant	Snhg10
73046	Mutant	Glrx5
13116	Mutant	Cyp46a1
214305	Mutant	Hhipl1
18811	Mutant	Prl2c2
94246	Mutant	Arid4b
404335	Mutant	Or2b7
23882	Mutant	Gadd45g
73296	Mutant	Rhobtb3
19418	Mutant	Rasgrf2
75209	Mutant	Sv2c
625662	Mutant	Ankrd31
100040671	Mutant	Gm2897
666329	Mutant	Gm3317
545013	Mutant	Gm5797
328365	Mutant	Zmiz1
104416	Mutant	Bap1
71838	Mutant	Phf7
26430	Mutant	Parg
100041722	Mutant	1700049E17Rik2
100042055	Mutant	Gm10377
268752	Mutant	Wdfy2
18155	Mutant	Pnoc
380912	Mutant	Zfp395
668814	Mutant	Gm9376
223254	Mutant	Farp1
75259	Mutant	4930556M19Rik
320865	Mutant	Cdh18
20356	Mutant	Sema5a
626596	Mutant	Rgs22
78803	Mutant	Fbxo43
52589	Mutant	Ncald
432945	Mutant	Gm16294
11600	Mutant	Angpt1
320679	Mutant	Samd12
18133	Mutant	Ccn3
387609	Mutant	Zhx2
20442	Mutant	St3gal1
69700	Mutant	Col22a1
67038	Mutant	Ly6m
117171	Mutant	1110038F14Rik
20665	Mutant	Sox10
27660	Mutant	1700088E04Rik
69833	Mutant	Polr2f
223774	Mutant	Alg12
76737	Mutant	Creld2
239606	Mutant	Slc2a13
258502	Mutant	Or11m3
75951	Mutant	4930578M01Rik
547253	Mutant	Parp14
66667	Mutant	Hspbap1
268890	Mutant	Lsamp
56490	Mutant	Zbtb20
73916	Mutant	Ift57
208650	Mutant	Cblb
320712	Mutant	Abi3bp
13837	Mutant	Epha3
14805	Mutant	Grik1
328734	Mutant	Pisd-ps2
100037282	Mutant	Rsph3b
50873	Mutant	Prkn
102639918	Mutant	Gm36117
20656	Mutant	Sod2
100041586	Mutant	Dynlt2a3
100041621	Mutant	Ermardl1
100041639	Mutant	Dynlt2a2
21647	Mutant	Dynlt2a1
381062	Mutant	Ermard
12648	Mutant	Chd1
67045	Mutant	Riok2
72238	Mutant	Tbc1d5
171168	Mutant	Acer1
19197	Mutant	Pspn
53895	Mutant	Clpp
66400	Mutant	Alkbh7
98053	Mutant	Gtf2f1
414079	Mutant	4930405O22Rik
50758	Mutant	Fbxl17
14158	Mutant	Fer
224997	Mutant	Dlgap1
11682	Mutant	Alk
12211	Mutant	Birc6
73825	Mutant	Ppp1r21
18189	Mutant	Nrxn1
68010	Mutant	Bambi
14815	Mutant	Nr3c1
100038417	Mutant	Spink13
328971	Mutant	Spink10
225743	Mutant	Ark2c
67160	Mutant	Eef1g
70044	Mutant	Tut1
258231	Mutant	Or5b116
258685	Mutant	Or5b117
353211	Mutant	Prune2
225995	Mutant	D030056L22Rik
83921	Mutant	Cemip2
226026	Mutant	Smc5
102465114	Mutant	Mir3084-2
226075	Mutant	Glis3
16452	Mutant	Jak2
57344	Mutant	As3mt
66673	Mutant	Sorcs3
100043450	Mutant	AA387883
170750	Mutant	Xpnpep1
27360	Mutant	Add3
226251	Mutant	Ablim1
