gene_symbol	gene_class	feature_label	n_features	min_distance	median_distance
Dnajb5	invariant	P60	2	1269168.5	1298262.25
Dnajb9	invariant	ChromHMM_ActiveEnhancer	38	92174	224524
Dnajb9	invariant	K27ac_ChIP	15	196	220882
Dnajc10	invariant	ChromHMM_ActiveEnhancer	44	165666	935766
Dnajc10	invariant	K27ac_ChIP	21	88.5	901044.5
Dnajc10	invariant	P60	1	884037	884037
Dnajc11	invariant	ChromHMM_ActiveEnhancer	29	250709	772691
Dnajc11	invariant	K27ac_ChIP	40	16159.5	816019
Dnajc11	invariant	P60	6	298210	820794
Dnajc12	DEG_down	ChromHMM_ActiveEnhancer	70	20757	742657
Dnajc12	DEG_down	K27ac_ChIP	28	138688.5	733388
Dnajc12	DEG_down	P60	1	1065133.5	1065133.5
Dnajc27	invariant	ChromHMM_ActiveEnhancer	68	40383	243833
Dnajc27	invariant	K27ac_ChIP	34	506.5	246658.25
Dnajc27	invariant	P60	2	63901	147846
Dnajc3	invariant	ChromHMM_ActiveEnhancer	47	1076	1199924
Dnajc3	invariant	K27ac_ChIP	25	285.5	1339322.5
Dnajc3	invariant	P60	1	1374836	1374836
Dnajc4	invariant	ChromHMM_ActiveEnhancer	16	98528	226078
Dnajc4	invariant	ENCODE	2	457913	574777
Dnajc4	invariant	K27ac_ChIP	72	146	697172
Dnajc4	invariant	P60	6	47187.5	592152.25
Dnajc5	invariant	ChromHMM_ActiveEnhancer	46	69585	1520285
Dnajc5	invariant	K27ac_ChIP	51	474.5	566690.5
Dnajc5	invariant	P60	4	54807.5	504057.75
Dnajc7	invariant	ChromHMM_ActiveEnhancer	11	170832	1647332
Dnajc7	invariant	K27ac_ChIP	43	529	1390000
Dnajc7	invariant	P60	11	232863.5	1598432
Dnajc8	invariant	ChromHMM_ActiveEnhancer	28	467950	1331600
Dnajc8	invariant	K27ac_ChIP	46	2268	1184606.5
Dnajc8	invariant	P60	7	476846	1342105
Dnali1	invariant	ChromHMM_ActiveEnhancer	13	571397	1403803
Dnali1	invariant	K27ac_ChIP	25	215444	1315639
Dnali1	invariant	P60	3	1053875	1187320.5
Dnase1l2	invariant	ChromHMM_ActiveEnhancer	2	490195	1047695
Dnase1l2	invariant	K27ac_ChIP	49	29285.5	767346.5
Dnase1l2	invariant	P60	4	238328.5	1496042.75
Dnase2a	DEG_down	ChromHMM_ActiveEnhancer	82	2240	1372090
Dnase2a	DEG_down	ENCODE	1	149587	149587
Dnase2a	DEG_down	K27ac_ChIP	75	4238.5	931809
Dnase2a	DEG_down	P60	8	18734.5	480378
Dner	invariant	ChromHMM_ActiveEnhancer	53	1079	1286721
Dner	invariant	K27ac_ChIP	28	142899	1320411.75
Dner	invariant	P60	3	1203660	1742699.5
Dnlz	invariant	ChromHMM_ActiveEnhancer	34	101590	982610
Dnlz	invariant	K27ac_ChIP	66	734.5	852557
Dnlz	invariant	P60	8	34866	821021.25
Dnm1l	invariant	ChromHMM_ActiveEnhancer	28	140141	1498241
Dnm1l	invariant	ENCODE	1	1779956.5	1779956.5
Dnm1l	invariant	K27ac_ChIP	41	202	1483876.5
Dnm1l	invariant	P60	4	1141523.5	1383738.25
Dnm3	invariant	ChromHMM_ActiveEnhancer	88	4434	397934
Dnm3	invariant	K27ac_ChIP	24	1291	1377096.75
Dnmbp	invariant	ChromHMM_ActiveEnhancer	35	20791	1667691
Dnmbp	invariant	K27ac_ChIP	34	13038.5	1077038.5
Dnmbp	invariant	P60	5	350777	478852
Doc2b	DEG_down	ChromHMM_ActiveEnhancer	29	45751	653851
Doc2b	DEG_down	K27ac_ChIP	56	74980	586991.75
Doc2b	DEG_down	P60	5	61283.5	247909
Dock1	invariant	ChromHMM_ActiveEnhancer	18	876754	1096554
Dock1	invariant	ENCODE	1	1874977	1874977
Dock1	invariant	K27ac_ChIP	34	868454	1721733.25
Dock1	invariant	P60	4	1590097	1715306
Dock10	invariant	ChromHMM_ActiveEnhancer	34	94573	444450
Dock10	invariant	K27ac_ChIP	11	94776	1319929
Dock11	DEG_up	ChromHMM_ActiveEnhancer	6	31768	684618
Dock11	DEG_up	K27ac_ChIP	9	440171	1013711
Dock4	invariant	ChromHMM_ActiveEnhancer	125	4648	1033748
Dock4	invariant	K27ac_ChIP	45	953	1126590
Dock4	invariant	P60	3	44032.5	1120451.5
Dock8	invariant	ChromHMM_ActiveEnhancer	63	441734	1445834
Dock8	invariant	K27ac_ChIP	34	443836	1307925.25
Dock8	invariant	P60	3	467569	1848991
Dock9	invariant	ChromHMM_ActiveEnhancer	86	40137	707487
Dock9	invariant	K27ac_ChIP	53	642.5	736657
Dock9	invariant	P60	8	155393	671841.5
Dok4	invariant	ChromHMM_ActiveEnhancer	56	43030	961130
Dok4	invariant	K27ac_ChIP	38	103421	921314.5
Dok4	invariant	P60	1	983866.5	983866.5
Dok5	DEG_down	ChromHMM_ActiveEnhancer	6	79493	163950
Dok5	DEG_down	K27ac_ChIP	4	392	149737.75
Dok6	DEG_up	ChromHMM_ActiveEnhancer	4	285772	732500
Dok6	DEG_up	K27ac_ChIP	3	740792	810341.5
Dok7	DEG_up	ChromHMM_ActiveEnhancer	60	17434	815466
Dok7	DEG_up	ENCODE	1	1845968	1845968
Dok7	DEG_up	K27ac_ChIP	62	48427	875549.5
Dok7	DEG_up	P60	4	101998	1203406
Dop1a	invariant	ChromHMM_ActiveEnhancer	26	16254	522596
Dop1a	invariant	K27ac_ChIP	14	527	459418.5
Dop1b	invariant	ChromHMM_ActiveEnhancer	81	5396	1178196
Dop1b	invariant	K27ac_ChIP	37	265.5	1223499.5
Dop1b	invariant	P60	3	15337.5	590366.5
Dot1l	invariant	ChromHMM_ActiveEnhancer	32	12806	817950
Dot1l	invariant	ENCODE	1	661916	661916
Dot1l	invariant	K27ac_ChIP	83	13441.5	546558.5
Dot1l	invariant	P60	9	20553.5	395950
Dpf1	DEG_down	ChromHMM_ActiveEnhancer	12	38149	624951
Dpf1	DEG_down	ENCODE	1	1691213.5	1691213.5
Dpf1	DEG_down	K27ac_ChIP	43	4566	1058021
Dpf1	DEG_down	P60	7	138028	986560.5
Dph3	invariant	ChromHMM_ActiveEnhancer	76	12529	1283171
Dph3	invariant	K27ac_ChIP	40	40.5	790162
Dph3	invariant	P60	2	61276.5	369030.75
Dph7	invariant	ChromHMM_ActiveEnhancer	15	244600	903300
Dph7	invariant	K27ac_ChIP	57	12834.5	917489.5
Dph7	invariant	P60	7	304073	617258.5
Dpp6	invariant	ChromHMM_ActiveEnhancer	104	603	623847
Dpp6	invariant	K27ac_ChIP	61	1024	1056233.5
Dpp6	invariant	P60	5	565459.5	1428913
Dpp7	invariant	ChromHMM_ActiveEnhancer	20	44259	742341
Dpp7	invariant	K27ac_ChIP	59	37799.5	614456.5
Dpp7	invariant	P60	7	76608.5	223299.5
Dpp8	invariant	ChromHMM_ActiveEnhancer	23	188486	639114
Dpp8	invariant	K27ac_ChIP	35	163639	712378
Dpp8	invariant	P60	4	437699	601982.75
Dpy30	invariant	ChromHMM_ActiveEnhancer	19	32944	491544
Dpy30	invariant	K27ac_ChIP	9	7611	501271.5
Dpyd	invariant	ChromHMM_ActiveEnhancer	10	805071	1193571
Dpyd	invariant	K27ac_ChIP	5	807224	1221161
Dpysl3	DEG_up	ChromHMM_ActiveEnhancer	96	43986	1081164
Dpysl3	DEG_up	K27ac_ChIP	29	44729	1074487.5
Dpysl3	DEG_up	P60	1	1077900.5	1077900.5
Dpysl5	invariant	ChromHMM_ActiveEnhancer	41	21136	615364
Dpysl5	invariant	K27ac_ChIP	31	1101.5	478085
Dpysl5	invariant	P60	2	110635.5	867014
Dqx1	invariant	ChromHMM_ActiveEnhancer	26	111156	869050
Dqx1	invariant	K27ac_ChIP	22	3550.5	301903.75
Dqx1	invariant	P60	3	122426.5	366911.5
Dr1	invariant	ChromHMM_ActiveEnhancer	23	304597	1007297
Dr1	invariant	K27ac_ChIP	39	889	980289.5
Dr1	invariant	P60	1	1810144.5	1810144.5
Dram2	invariant	ChromHMM_ActiveEnhancer	126	415298	986400
Dram2	invariant	K27ac_ChIP	58	9.5	1045379.75
Dram2	invariant	P60	3	554333.5	841724
Drg1	invariant	ChromHMM_ActiveEnhancer	18	71585	1725885
Drg1	invariant	K27ac_ChIP	27	25413	456738
Drg1	invariant	P60	2	480448.5	530928
Drg2	invariant	ChromHMM_ActiveEnhancer	19	85891	526509
Drg2	invariant	K27ac_ChIP	66	83486	719004
Drg2	invariant	P60	7	194976	1014032.5
Dsc2	DEG_down	ChromHMM_ActiveEnhancer	36	3454	812500
Dsc2	DEG_down	K27ac_ChIP	8	130939	683435
Dscam	DEG_up	ChromHMM_ActiveEnhancer	32	70552	1014102
Dscam	DEG_up	K27ac_ChIP	13	5505	910899.5
Dscaml1	DEG_down	ChromHMM_ActiveEnhancer	40	372	973478
Dscaml1	DEG_down	K27ac_ChIP	52	5870	708293.5
Dscaml1	DEG_down	P60	5	188151	339944
Dse	DEG_up	ChromHMM_ActiveEnhancer	2	106985	158135
Dse	DEG_up	K27ac_ChIP	5	75488.5	108415.5
Dsel	invariant	ChromHMM_ActiveEnhancer	11	1832618	1869418
Dsel	invariant	K27ac_ChIP	5	17	1916047
Dsg2	DEG_down	ChromHMM_ActiveEnhancer	38	5926	549026
Dsg2	DEG_down	K27ac_ChIP	8	8553.5	262912
Dstyk	invariant	ChromHMM_ActiveEnhancer	106	14545	850500
Dstyk	invariant	K27ac_ChIP	63	278	891764.5
Dstyk	invariant	P60	9	40288.5	1096816.5
Dtnb	invariant	ChromHMM_ActiveEnhancer	67	1181	436719
Dtnb	invariant	K27ac_ChIP	33	1079.5	387395
Dtnb	invariant	P60	2	278411	362356
Dtx1	invariant	ChromHMM_ActiveEnhancer	16	8627	522477
Dtx1	invariant	K27ac_ChIP	38	2023.5	1103387.75
Dtx1	invariant	P60	9	143198.5	1117397
Dus4l	DEG_down	ChromHMM_ActiveEnhancer	88	21526	1417974
Dus4l	DEG_down	K27ac_ChIP	35	114.5	1102546
Dus4l	DEG_down	P60	2	253692.5	1015744.25
Dusp15	invariant	ChromHMM_ActiveEnhancer	71	27798	575402
Dusp15	invariant	K27ac_ChIP	52	58204.5	557599.5
Dusp15	invariant	P60	4	97987	203900.25
Dusp26	invariant	ChromHMM_ActiveEnhancer	12	7829	101229
Dusp26	invariant	K27ac_ChIP	5	1536.5	26336
Dusp26	invariant	P60	1	27548	27548
Dusp7	invariant	ChromHMM_ActiveEnhancer	21	23732	979268
Dusp7	invariant	ENCODE	1	1761135.5	1761135.5
Dusp7	invariant	K27ac_ChIP	49	1092	1212220
Dusp7	invariant	P60	6	94138	1114755.25
Dvl2	invariant	ChromHMM_ActiveEnhancer	11	293795	1389205
Dvl2	invariant	K27ac_ChIP	49	3542.5	668448
Dvl2	invariant	P60	3	590143	903904
Dxo	invariant	ChromHMM_ActiveEnhancer	5	181281	1160181
Dxo	invariant	K27ac_ChIP	38	179398	558507.25
Dxo	invariant	P60	3	207234	709325.5
Dync1i1	DEG_down	ChromHMM_ActiveEnhancer	62	2161	502850
Dync1i1	DEG_down	K27ac_ChIP	14	1207.5	771254.75
Dync1i2	invariant	ChromHMM_ActiveEnhancer	45	6	827994
Dync1i2	invariant	K27ac_ChIP	26	33886	813662.25
Dync1i2	invariant	P60	1	795816	795816
Dync2h1	invariant	ChromHMM_ActiveEnhancer	12	419654	774804
Dync2h1	invariant	K27ac_ChIP	4	163	616178.75
Dync2i1	DEG_down	ChromHMM_ActiveEnhancer	49	114822	396878
Dync2i1	DEG_down	K27ac_ChIP	12	18852	658167.5
Dync2i1	DEG_down	P60	1	1833000	1833000
Dync2i2	invariant	ChromHMM_ActiveEnhancer	45	118181	1149819
Dync2i2	invariant	K27ac_ChIP	54	75372.5	1074969.25
Dync2i2	invariant	P60	10	161655.5	841602.75
Dync2li1	DEG_down	ChromHMM_ActiveEnhancer	70	111704	1617404
Dync2li1	DEG_down	K27ac_ChIP	28	164309.5	1571397.25
Dync2li1	DEG_down	P60	2	1538694	1579694
Dynll1	invariant	ChromHMM_ActiveEnhancer	13	219801	602599
Dynll1	invariant	ENCODE	1	1730979.5	1730979.5
Dynll1	invariant	K27ac_ChIP	61	85391	1350033
Dynll1	invariant	P60	7	213884	1731101.5
Dynlrb1	invariant	ChromHMM_ActiveEnhancer	74	149067	1428600
Dynlrb1	invariant	ENCODE	2	560392	1187997.5
Dynlrb1	invariant	K27ac_ChIP	65	41014.5	1253883
Dynlrb1	invariant	P60	5	390478.5	1244550
Dynlt1c	DEG_down	ChromHMM_ActiveEnhancer	93	30608	482892
Dynlt1c	DEG_down	K27ac_ChIP	70	438.5	968475.5
Dynlt1c	DEG_down	P60	8	29090.5	1218004.25
Dynlt3	invariant	ChromHMM_ActiveEnhancer	11	368003	895697
Dynlt3	invariant	K27ac_ChIP	20	298	984003
Dyrk1a	invariant	ChromHMM_ActiveEnhancer	75	9090	417890
Dyrk1a	invariant	K27ac_ChIP	28	42870	796844.25
Dyrk1a	invariant	P60	2	267739.5	555254
Dyrk3	invariant	ChromHMM_ActiveEnhancer	87	43460	1163760
Dyrk3	invariant	K27ac_ChIP	42	41422	1230935
Dyrk3	invariant	P60	5	182398.5	1388257.5
Dzip1l	invariant	ChromHMM_ActiveEnhancer	28	148496	731000
Dzip1l	invariant	K27ac_ChIP	14	288	879456.75
Dzip1l	invariant	P60	1	834386.5	834386.5
Dzip3	invariant	ChromHMM_ActiveEnhancer	62	3165	893335
Dzip3	invariant	K27ac_ChIP	16	881	902185.75
E030030I06Rik	DEG_up	ChromHMM_ActiveEnhancer	64	157870	706000
E030030I06Rik	DEG_up	K27ac_ChIP	23	4466	598193
E030030I06Rik	DEG_up	P60	1	265893.5	265893.5
E130308A19Rik	DEG_down	ChromHMM_ActiveEnhancer	53	14689	254789
E130308A19Rik	DEG_down	K27ac_ChIP	20	45169	248962.25
E130308A19Rik	DEG_down	P60	1	213002	213002
E230016M11Rik	invariant	ChromHMM_ActiveEnhancer	26	53701	133550
E230016M11Rik	invariant	K27ac_ChIP	7	265	230898
E2f3	DEG_down	ChromHMM_ActiveEnhancer	59	8363	347863
E2f3	DEG_down	K27ac_ChIP	16	1235.5	667061.5
E2f4	invariant	ChromHMM_ActiveEnhancer	50	12337	863313
E2f4	invariant	K27ac_ChIP	43	625.5	563258.5
E2f4	invariant	P60	2	171214.5	288354
E330013P04Rik	invariant	ChromHMM_ActiveEnhancer	22	73825	826475
E330013P04Rik	invariant	K27ac_ChIP	8	201793	775158
E530001F21Rik	invariant	ChromHMM_ActiveEnhancer	7	556139	1051261
E530001F21Rik	invariant	K27ac_ChIP	8	44523	887353
Eaf2	invariant	ChromHMM_ActiveEnhancer	51	7997	1222403
Eaf2	invariant	K27ac_ChIP	28	736	790236
Eaf2	invariant	P60	1	572663.5	572663.5
Ebf2	invariant	ChromHMM_ActiveEnhancer	45	21092	985908
Ebf2	invariant	K27ac_ChIP	20	91351	997686
Ebf3	DEG_up	ChromHMM_ActiveEnhancer	16	192945	1734845
Ebf3	DEG_up	K27ac_ChIP	12	85457.5	1769597
Ebf3	DEG_up	P60	1	1772892.5	1772892.5
Ebp	DEG_up	ChromHMM_ActiveEnhancer	5	4388	1050188
Ebp	DEG_up	K27ac_ChIP	16	584.5	440953.25
Echdc1	invariant	ChromHMM_ActiveEnhancer	25	121466	1097766
Echdc1	invariant	K27ac_ChIP	10	415.5	1296347.75
Echdc2	DEG_down	ChromHMM_ActiveEnhancer	67	31063	1179337
Echdc2	DEG_down	K27ac_ChIP	34	134722	1166816
Echdc2	DEG_down	P60	2	341322.5	758578.75
Echdc3	DEG_down	ChromHMM_ActiveEnhancer	95	633	539933
Echdc3	DEG_down	K27ac_ChIP	22	20	503485
Echs1	invariant	ChromHMM_ActiveEnhancer	14	215076	1012476
Echs1	invariant	K27ac_ChIP	48	14593	1033761.25
Echs1	invariant	P60	6	210875	1174310.25
Eci2	invariant	ChromHMM_ActiveEnhancer	91	31694	797994
Eci2	invariant	K27ac_ChIP	27	33678	1024173.5
Eci2	invariant	P60	1	1703587	1703587
Ecpas	invariant	ChromHMM_ActiveEnhancer	88	93751	962601
Ecpas	invariant	K27ac_ChIP	37	738.5	956289
Ecpas	invariant	P60	2	926464	1363714
Ecrg4	invariant	ChromHMM_ActiveEnhancer	42	24398	207002
Ecrg4	invariant	K27ac_ChIP	14	96697	259939
Edc3	invariant	ChromHMM_ActiveEnhancer	30	15260	403510
Edc3	invariant	K27ac_ChIP	38	15138	802917.5
Edc3	invariant	P60	3	236215.5	814780.5
Edc4	invariant	ChromHMM_ActiveEnhancer	57	140581	1272681
Edc4	invariant	K27ac_ChIP	43	5591.5	583843.5
Edc4	invariant	P60	2	177724.5	294864
Edem1	DEG_up	ChromHMM_ActiveEnhancer	85	18241	1256941
Edem1	DEG_up	K27ac_ChIP	27	78	763533.5
Edem1	DEG_up	P60	3	165499	376212
Edem3	invariant	ChromHMM_ActiveEnhancer	97	35071	907771
Edem3	invariant	K27ac_ChIP	56	132.5	1111149.5
Edem3	invariant	P60	4	267236.5	794282.75
Edf1	invariant	ChromHMM_ActiveEnhancer	20	23347	732550
Edf1	invariant	K27ac_ChIP	60	5716	546204.25
Edf1	invariant	P60	7	21811.5	291374
Edil3	invariant	K27ac_ChIP	1	1268427.5	1268427.5
Edn1	invariant	ChromHMM_ActiveEnhancer	82	151376	1050800
Edn1	invariant	K27ac_ChIP	32	199309	989597.75
Edn1	invariant	P60	4	951552.5	1373835.25
Ednrb	invariant	ChromHMM_ActiveEnhancer	57	147702	1326098
Ednrb	invariant	K27ac_ChIP	26	165409	1136699
Edrf1	invariant	ChromHMM_ActiveEnhancer	26	41957	935943
Edrf1	invariant	ENCODE	1	841866	841866
Edrf1	invariant	K27ac_ChIP	42	41589.5	844462.5
Edrf1	invariant	P60	5	556986	744663
Eed	invariant	ChromHMM_ActiveEnhancer	41	49917	281283
Eed	invariant	K27ac_ChIP	16	122	536161
Eef1a2	invariant	ChromHMM_ActiveEnhancer	46	104714	1156814
Eef1a2	invariant	K27ac_ChIP	52	1949	540752.5
Eef1a2	invariant	P60	4	16877	286480
Eef1g	invariant	ChromHMM_ActiveEnhancer	15	1221559	1803241
Eef1g	invariant	K27ac_ChIP	41	37396.5	1722672.5
Eef1g	invariant	P60	5	1445471	1812500.5
Eef2k	DEG_down	ChromHMM_ActiveEnhancer	26	3569	1568469
Eef2k	DEG_down	K27ac_ChIP	21	590.5	1447769
Eef2k	DEG_down	P60	3	11743	1095204.5
Eeig2	DEG_down	ChromHMM_ActiveEnhancer	66	34607	1277157
Eeig2	DEG_down	K27ac_ChIP	44	116982	1245184.75
Eeig2	DEG_down	P60	2	1512303	1718889.25
Eepd1	DEG_down	ChromHMM_ActiveEnhancer	19	24153	1694653
Eepd1	DEG_down	K27ac_ChIP	11	23342.5	1547846
Eepd1	DEG_down	P60	2	1707258	1771743
Efcab12	DEG_down	ChromHMM_ActiveEnhancer	82	53088	811462
Efcab12	DEG_down	K27ac_ChIP	43	425.5	752701.5
Efcab12	DEG_down	P60	5	74548.5	595243
Efhc1	invariant	ChromHMM_ActiveEnhancer	42	12326	1192700
Efhc1	invariant	K27ac_ChIP	16	24788	1682930.75
Efhc1	invariant	P60	3	37649	1678465
Efhc2	DEG_down	ChromHMM_ActiveEnhancer	29	94168	870332
Efhc2	DEG_down	K27ac_ChIP	11	83.5	699590
Efhd2	invariant	ChromHMM_ActiveEnhancer	72	2820	561480
Efhd2	invariant	K27ac_ChIP	37	2543	755622
Efhd2	invariant	P60	4	194931.5	1457351.25
Efna1	DEG_down	ChromHMM_ActiveEnhancer	25	504358	1050842
Efna1	DEG_down	ENCODE	1	1132866	1132866
Efna1	DEG_down	K27ac_ChIP	49	2057	859101
Efna1	DEG_down	P60	4	661190	1025809.25
Efnb1	DEG_down	ChromHMM_ActiveEnhancer	23	1230	381030
Efnb1	DEG_down	K27ac_ChIP	7	245997	1632818
Efnb3	invariant	ChromHMM_ActiveEnhancer	9	75495	1025095
Efnb3	invariant	ENCODE	1	1897564.5	1897564.5
Efnb3	invariant	K27ac_ChIP	51	20075.5	471448
Efnb3	invariant	P60	4	149753	632260.75
Efr3a	invariant	ChromHMM_ActiveEnhancer	75	2334	956734
Efr3a	invariant	K27ac_ChIP	19	659	1688401
Efr3a	invariant	P60	1	1756901	1756901
Efr3b	DEG_down	ChromHMM_ActiveEnhancer	67	3285	201215
Efr3b	DEG_down	K27ac_ChIP	33	509	204441.5
Efr3b	DEG_down	P60	2	20233	104178
Egfem1	invariant	ChromHMM_ActiveEnhancer	56	267423	694123
Egfem1	invariant	K27ac_ChIP	17	276373.5	817758.5
Egfl8	invariant	ChromHMM_ActiveEnhancer	5	402329	1374729
Egfl8	invariant	K27ac_ChIP	38	10931.5	623423.5
Egfl8	invariant	P60	3	13814	488277.5
Egfr	invariant	ChromHMM_ActiveEnhancer	13	270097	1011597
Egfr	invariant	K27ac_ChIP	8	244245.5	476789.5
Egfr	invariant	P60	1	2000920	2000920
Egln2	invariant	ChromHMM_ActiveEnhancer	5	149398	1403898
Egln2	invariant	ENCODE	1	445935.5	445935.5
Egln2	invariant	K27ac_ChIP	34	2116	1469469.5
Egln2	invariant	P60	3	439277.5	1750219
Egr4	DEG_down	ChromHMM_ActiveEnhancer	38	2689	571650
Egr4	DEG_down	K27ac_ChIP	39	772	890948
Egr4	DEG_down	P60	3	1387.5	1372726
Ehbp1	DEG_down	ChromHMM_ActiveEnhancer	20	70192	1033400
Ehbp1	DEG_down	K27ac_ChIP	16	55691	1239585.25
Ehd3	invariant	ChromHMM_ActiveEnhancer	20	5559	136009
Ehd3	invariant	K27ac_ChIP	9	244.5	27553
Ei24	invariant	ChromHMM_ActiveEnhancer	48	24607	1460443
Ei24	invariant	K27ac_ChIP	30	790.5	1356296.5
Ei24	invariant	P60	2	1459139	1658648.25
Eid2	invariant	ChromHMM_ActiveEnhancer	10	295219	1012950
Eid2	invariant	ENCODE	1	655143.5	655143.5
Eid2	invariant	K27ac_ChIP	33	425478.5	777628.5
Eid2	invariant	P60	4	649140	917949.75
Eid2b	invariant	ChromHMM_ActiveEnhancer	10	285361	1012950
Eid2b	invariant	ENCODE	1	665001.5	665001.5
Eid2b	invariant	K27ac_ChIP	33	415620.5	787486.5
Eid2b	invariant	P60	4	639282	917949.75
Eif1a	invariant	ChromHMM_ActiveEnhancer	92	87801	992301
Eif1a	invariant	K27ac_ChIP	18	277	973097
Eif1ad	invariant	ChromHMM_ActiveEnhancer	25	55759	1286041
Eif1ad	invariant	ENCODE	2	934190	1051054
Eif1ad	invariant	K27ac_ChIP	96	18212.5	1072207.75
Eif1ad	invariant	P60	11	118767	1132157.5
Eif2a	invariant	ChromHMM_ActiveEnhancer	66	53679	584329
Eif2a	invariant	K27ac_ChIP	21	83.5	650540.5
Eif2ak3	invariant	ChromHMM_ActiveEnhancer	49	5385	1122985
Eif2ak3	invariant	K27ac_ChIP	34	269	1041186.5
Eif2ak3	invariant	P60	2	1147005.5	1271269.75
Eif2b2	invariant	ChromHMM_ActiveEnhancer	81	216419	1574319
Eif2b2	invariant	K27ac_ChIP	67	60703	1477295
Eif2b2	invariant	P60	10	376652.5	1667661
Eif2b3	invariant	ChromHMM_ActiveEnhancer	13	574902	836302
Eif2b3	invariant	K27ac_ChIP	30	20994.5	860090.25
Eif2b3	invariant	P60	5	799810.5	877816.5
Eif2b4	invariant	ChromHMM_ActiveEnhancer	42	113030	776100
Eif2b4	invariant	K27ac_ChIP	36	293.5	827255
Eif2b4	invariant	P60	2	592501.5	867014
Eif2b5	invariant	ChromHMM_ActiveEnhancer	21	21783	1166483
Eif2b5	invariant	K27ac_ChIP	28	18919.5	837566
Eif2b5	invariant	P60	1	204847	204847
Eif2d	invariant	ChromHMM_ActiveEnhancer	87	28619	1148919
Eif2d	invariant	K27ac_ChIP	42	56263	1216094
Eif2d	invariant	P60	5	167557.5	1373416.5
Eif2s1	invariant	ChromHMM_ActiveEnhancer	67	56681	1370919
Eif2s1	invariant	K27ac_ChIP	43	300.5	1657114.5
Eif2s1	invariant	P60	5	114074	1852781.5
Eif2s3x	invariant	ChromHMM_ActiveEnhancer	12	330838	798138
Eif2s3x	invariant	K27ac_ChIP	16	21756	922514
Eif3a	invariant	ChromHMM_ActiveEnhancer	21	98642	230742
Eif3a	invariant	K27ac_ChIP	8	49.5	161878.75
Eif3b	invariant	ChromHMM_ActiveEnhancer	22	201328	987028
Eif3b	invariant	K27ac_ChIP	19	62.5	1080528.5
Eif3b	invariant	P60	4	842833	1186471.75
Eif3d	invariant	ChromHMM_ActiveEnhancer	33	65887	611513
Eif3d	invariant	ENCODE	1	161269	161269
Eif3d	invariant	K27ac_ChIP	71	13951	1160424.5
Eif3d	invariant	P60	9	97110	1512421
Eif3e	invariant	ChromHMM_ActiveEnhancer	119	10019	1531219
Eif3e	invariant	K27ac_ChIP	32	194840	1457773.25
Eif3e	invariant	P60	1	1411651	1411651
Eif3f	invariant	ChromHMM_ActiveEnhancer	33	32683	1531117
Eif3f	invariant	K27ac_ChIP	29	38118.5	869796.5
Eif3f	invariant	P60	1	102049.5	102049.5
Eif3g	invariant	ChromHMM_ActiveEnhancer	19	322177	883677
Eif3g	invariant	K27ac_ChIP	26	20090.5	715199.25
Eif3g	invariant	P60	3	341865.5	866873
Eif3h	invariant	ChromHMM_ActiveEnhancer	87	27423	1311677
Eif3h	invariant	K27ac_ChIP	14	33	1142421.75
Eif3l	invariant	ChromHMM_ActiveEnhancer	50	85379	1149671
Eif3l	invariant	ENCODE	1	1265635	1265635
Eif3l	invariant	K27ac_ChIP	66	34913	1048558
Eif3l	invariant	P60	9	92836.5	1007256
Eif4a1	invariant	ChromHMM_ActiveEnhancer	8	34377	973400
Eif4a1	invariant	ENCODE	1	2009782.5	2009782.5
Eif4a1	invariant	K27ac_ChIP	47	13158.5	546543.5
Eif4a1	invariant	P60	4	261971	744478.75
Eif4a2	invariant	ChromHMM_ActiveEnhancer	80	300144	1222694
Eif4a2	invariant	K27ac_ChIP	44	248	1239799.25
Eif4a2	invariant	P60	4	320194	964558.5
Eif4b	invariant	ChromHMM_ActiveEnhancer	33	34327	1091827
Eif4b	invariant	K27ac_ChIP	38	45999.5	812854.75
Eif4b	invariant	P60	3	1174258	1880737
Eif4e	invariant	ChromHMM_ActiveEnhancer	160	17721	1160929
Eif4e	invariant	K27ac_ChIP	67	83192	1158348.5
Eif4e	invariant	P60	3	291505	1418439
Eif4e2	invariant	ChromHMM_ActiveEnhancer	34	13486	714700
Eif4e2	invariant	K27ac_ChIP	29	14454	771276
Eif4e2	invariant	P60	5	662089.5	774993.5
Eif4ebp2	invariant	ChromHMM_ActiveEnhancer	88	239	844739
Eif4ebp2	invariant	K27ac_ChIP	43	23610	1174106.5
Eif4ebp2	invariant	P60	4	646875	1102077.5
Eif4g2	invariant	ChromHMM_ActiveEnhancer	55	67370	1140270
Eif4g2	invariant	K27ac_ChIP	39	71.5	1142141.5
Eif4g2	invariant	P60	1	1172015.5	1172015.5
Eif4g3	DEG_up	ChromHMM_ActiveEnhancer	37	50222	976822
Eif4g3	DEG_up	K27ac_ChIP	52	2647	986296
Eif4g3	DEG_up	P60	7	54550.5	963834.5
Eif4h	invariant	ChromHMM_ActiveEnhancer	28	108390	657590
Eif4h	invariant	K27ac_ChIP	19	88077	749191.5
Eif4h	invariant	P60	4	540388	942853
Eif5	invariant	ChromHMM_ActiveEnhancer	40	188216	975666
Eif5	invariant	K27ac_ChIP	45	591	1039291
Eif5	invariant	P60	2	132669	657156.75
Eif5b	invariant	ChromHMM_ActiveEnhancer	102	201890	1424900
Eif5b	invariant	K27ac_ChIP	52	71	1449412.25
Eif5b	invariant	P60	3	1449587.5	1452609
