gene_symbol	gene_class	feature_label	n_features	min_distance	median_distance
Krr1	invariant	ChromHMM_ActiveEnhancer	50	36	891214
Krr1	invariant	K27ac_ChIP	15	405412.5	807371.5
Krt24	DEG_down	ChromHMM_ActiveEnhancer	15	329362	1327962
Krt24	DEG_down	ENCODE	1	1748757	1748757
Krt24	DEG_down	K27ac_ChIP	61	1434	1462145.5
Krt24	DEG_down	P60	9	335552.5	1741889
Krt25	DEG_down	ChromHMM_ActiveEnhancer	15	367051	1365651
Krt25	DEG_down	ENCODE	1	1786446	1786446
Krt25	DEG_down	K27ac_ChIP	60	39123	1490566.75
Krt25	DEG_down	P60	9	373241.5	1779578
Krt26	DEG_down	ChromHMM_ActiveEnhancer	15	382066	1380666
Krt26	DEG_down	ENCODE	1	1801461	1801461
Krt26	DEG_down	K27ac_ChIP	60	54138	1505581.75
Krt26	DEG_down	P60	9	388256.5	1794593
Krt27	DEG_down	ChromHMM_ActiveEnhancer	13	395204	1056196
Krt27	DEG_down	ENCODE	1	1814599	1814599
Krt27	DEG_down	K27ac_ChIP	60	67276	1518719.75
Krt27	DEG_down	P60	9	401394.5	1807731
Krtcap2	invariant	ChromHMM_ActiveEnhancer	25	539534	1020866
Krtcap2	invariant	ENCODE	1	1097690	1097690
Krtcap2	invariant	K27ac_ChIP	49	413.5	823925
Krtcap2	invariant	P60	4	626014	1025809.25
Ktn1	invariant	ChromHMM_ActiveEnhancer	50	18852	569552
Ktn1	invariant	K27ac_ChIP	22	1542.5	671199.5
Kxd1	invariant	ChromHMM_ActiveEnhancer	63	23544	814656
Kxd1	invariant	ENCODE	1	112690	112690
Kxd1	invariant	K27ac_ChIP	52	24183	825148.25
Kxd1	invariant	P60	4	53590	138158.5
Ky	DEG_down	ChromHMM_ActiveEnhancer	53	12450	473750
Ky	DEG_down	K27ac_ChIP	38	120744.5	1041197.5
Ky	DEG_down	P60	3	233116	608513
L1cam	DEG_up	ChromHMM_ActiveEnhancer	10	18605	391205
L1cam	DEG_up	K27ac_ChIP	26	15257.5	363805
L1cam	DEG_up	P60	1	375861.5	375861.5
L2hgdh	invariant	ChromHMM_ActiveEnhancer	62	27127	1136927
L2hgdh	invariant	K27ac_ChIP	24	33374	644739.5
L3mbtl3	DEG_up	ChromHMM_ActiveEnhancer	23	376471	1262871
L3mbtl3	DEG_up	K27ac_ChIP	8	1078982	1233999.25
L3mbtl3	DEG_up	P60	1	1347690.5	1347690.5
L3mbtl4	invariant	ChromHMM_ActiveEnhancer	54	38097	1001450
L3mbtl4	invariant	K27ac_ChIP	30	803213.5	1812781.75
L3mbtl4	invariant	P60	2	1888020.5	1959278.75
LTO1	invariant	ChromHMM_ActiveEnhancer	4	324000	456800
LTO1	invariant	K27ac_ChIP	16	21534	387475.75
LTO1	invariant	P60	3	373564.5	386320
