gene_id	enriched_in	symbol
27407	Control	Abcf2
381626	Control	Rbm33
654796	Control	9530036O11Rik
272158	Control	Poln
100862066	Control	Cfap99
231125	Control	Zfyve28
242939	Control	Cpz
76710	Control	2210406O10Rik
12933	Control	Crmp1
59056	Control	Evc
433882	Control	Gm16223
80334	Control	Kcnip4
116873	Control	Stim2
71778	Control	Klhl5
18935	Control	Phox2b
433899	Control	Grxcr1
69727	Control	Usp46
212986	Control	Scfd2
231413	Control	Grsf1
231452	Control	Sdad1
100041253	Control	Pramel60
320549	Control	Pramel48
140780	Control	Bmp2k
26414	Control	Mapk10
17355	Control	Aff1
100702	Control	Gbp6
626578	Control	Gbp10
67266	Control	Dipk1a
100504049	Control	Gm15559
56361	Control	Pus1
75560	Control	Ep400
209683	Control	Ttc28
100705	Control	Acacb
22256	Control	Ung
100502825	Control	Rpl37rt
106840	Control	Unc119b
11409	Control	Acads
12861	Control	Cox6a1
384281	Control	Gatc
69076	Control	Triap1
73792	Control	4930401G09Rik
19047	Control	Ppp1cc
56087	Control	Dnah10
215707	Control	Ccdc92
269704	Control	Zfp664
22190	Control	Ubc
71247	Control	4933438B17Rik
231760	Control	Rimbp2
140904	Control	Caln1
212996	Control	Galnt17
194309	Control	Vps37d
58805	Control	Mlxipl
231841	Control	Brat1
74239	Control	Iqce
330222	Control	Sdk1
245880	Control	Wasf3
140887	Control	Lnx2
14255	Control	Flt3
231903	Control	Urad
77521	Control	Mtus2
24109	Control	Ubl3
20422	Control	Sem1
170772	Control	Glcci1
320312	Control	A430035B10Rik
18231	Control	Nxph1
214642	Control	Cped1
55961	Control	Slc13a1
73178	Control	Wasl
93677	Control	Lmod2
14823	Control	Grm8
56463	Control	Snd1
232680	Control	Cpa2
71791	Control	Cpa4
109624	Control	Cald1
76223	Control	Agbl3
69923	Control	Agk
232714	Control	Mgam
12723	Control	Clcn1
76156	Control	Fam131b
66797	Control	Cntnap2
69228	Control	Zfp746
93695	Control	Gpnmb
319981	Control	C530044C16Rik
12417	Control	Cbx3
53379	Control	Hnrnpa2b1
18575	Control	Pde1c
107569	Control	Nt5c3
20617	Control	Snca
14804	Control	Grid2
66870	Control	Serbp1
209590	Control	Il23r
13666	Control	Eif2ak3
104263	Control	Kdm3a
330350	Control	9130221F21Rik
232086	Control	Tmem150a
28035	Control	Usp39
