Distance from Center (cmd=annotatePeaks.pl /expanse/lustre/projects/csd940/ctea/homer/homer_scripts/reference_peaks/H3K27me3.bed mm10 -size 500000 -hist 1000 -bedGraph /expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M3/tagdirs/tagdirs.25x50kb.PC1.bedGraph /expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M3/tagdirs/tagdirs.25x50kb.PC1.bedGraph)	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M3/tagdirs/tagdirs.25x50kb.PC1.bedGraph Coverage	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M3/tagdirs/tagdirs.25x50kb.PC1.bedGraph + Tags	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M3/tagdirs/tagdirs.25x50kb.PC1.bedGraph - Tags	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M3/tagdirs/tagdirs.25x50kb.PC1.bedGraph Coverage	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M3/tagdirs/tagdirs.25x50kb.PC1.bedGraph + Tags	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M3/tagdirs/tagdirs.25x50kb.PC1.bedGraph - Tags
-171000	0.247489974065406	7.08046049718515e-06	7.80966538047948e-06	0.334379783667531	1.0793851603517e-05	1.12949585679044e-05
-170000	0.247629135302676	1.05763805427288e-05	1.04372193054589e-05	0.334636093364539	1.38747548864571e-05	1.36184451894491e-05
-169000	0.247065785312164	8.32323360111329e-06	8.88658359162502e-06	0.334451261939402	1.20280852678854e-05	1.2212916693023e-05
-168000	0.246968372446075	1.15300145486748e-05	1.16274274147638e-05	0.334358782971725	1.51668669745082e-05	1.52593459421848e-05
-167000	0.246817635524069	9.17097855651844e-06	9.32171547852489e-06	0.334514390537036	1.25751154405718e-05	1.24195078752609e-05
-166000	0.246246947941046	9.72863558732368e-06	1.0299323170346e-05	0.334091909671706	1.30896957429313e-05	1.35121766082611e-05
-165000	0.245401606679739	1.05120500980454e-05	1.13573913593523e-05	0.33361958378139	1.36572838256689e-05	1.41296097159846e-05
-164000	0.245343095704978	8.44354481624392e-06	8.50205579100512e-06	0.333922955278639	1.27702574482889e-05	1.24668859510405e-05
-163000	0.24474609399709	9.46587386931494e-06	1.00628755772029e-05	0.333559807704472	1.37206654437346e-05	1.40838130179012e-05
-162000	0.244253842747802	1.03813650452274e-05	1.08736162945158e-05	0.333182933771902	1.3373521411854e-05	1.37503953444241e-05
-161000	0.244303687772788	1.05637927762667e-05	1.05139477512809e-05	0.333284521475109	1.43282940097413e-05	1.42267063065343e-05
-160000	0.243849579353533	7.69707128850654e-06	8.1511797077614e-06	0.333038522360681	1.19254222278449e-05	1.21714213422734e-05
-159000	0.242924346891011	1.05500664178632e-05	1.14752988803846e-05	0.332366753115314	1.44136251502309e-05	1.50853943955974e-05
-158000	0.242339743184262	1.00179011955215e-05	1.06025049022709e-05	0.332005186918844	1.3180846353343e-05	1.35424125498134e-05
-157000	0.241770573723828	7.85438674172939e-06	8.42355620216332e-06	0.331795369726105	1.21673097602632e-05	1.23771269530015e-05
-156000	0.241061800240369	9.49250426971978e-06	1.02012777531786e-05	0.331306028211778	1.24795369726105e-05	1.29688784869378e-05
