Distance from Center (cmd=annotatePeaks.pl tss mm10 -size 1000000 -hist 1000 -bedGraph /expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M2/tagdirs/tagdirs.25x50kb.PC1.bedGraph /expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M2/tagdirs/tagdirs.25x50kb.PC1.bedGraph)	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M2/tagdirs/tagdirs.25x50kb.PC1.bedGraph Coverage	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M2/tagdirs/tagdirs.25x50kb.PC1.bedGraph + Tags	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M2/tagdirs/tagdirs.25x50kb.PC1.bedGraph - Tags	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M2/tagdirs/tagdirs.25x50kb.PC1.bedGraph Coverage	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M2/tagdirs/tagdirs.25x50kb.PC1.bedGraph + Tags	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M2/tagdirs/tagdirs.25x50kb.PC1.bedGraph - Tags
24000	0.691851895634552	2.45525204762307e-05	2.75611753778604e-05	0.66908454361226	2.37731993582708e-05	2.68459427509921e-05
25000	0.689276260238115	2.78604872076332e-05	3.04361226040699e-05	0.666609875031664	2.68911593346281e-05	2.93658279152241e-05
26000	0.687014312251963	2.45146711137381e-05	2.67766190998903e-05	0.664396711137381	2.35566368318838e-05	2.57698007261674e-05
27000	0.684517520898421	2.69133454361227e-05	2.94101367896648e-05	0.662094317318247	2.58884784260745e-05	2.81908722452081e-05
28000	0.682206493287174	2.72146837794478e-05	2.95257113906949e-05	0.659796778687832	2.61136536350587e-05	2.84111922654732e-05
29000	0.68034165751921	2.58495313687411e-05	2.77143671367051e-05	0.657880034619607	2.50518238621971e-05	2.6968567930423e-05
30000	0.678322595626108	2.61836950097104e-05	2.82027569028118e-05	0.655876720425568	2.55345773874863e-05	2.7537891581525e-05
31000	0.676033922992485	2.29929916406317e-05	2.52816642742548e-05	0.653746685805961	2.20467997973487e-05	2.41768344169552e-05
32000	0.673328590728701	2.76359030651017e-05	3.03412353288863e-05	0.651053554842523	2.688767626446e-05	2.95808072278984e-05
33000	0.670628240310732	2.64048805201384e-05	2.91052309381069e-05	0.648391834839146	2.55274212615046e-05	2.81891412648822e-05
34000	0.667853162205522	2.57228742717218e-05	2.84979523769315e-05	0.645672971375496	2.47290593599595e-05	2.74479228236089e-05
35000	0.665302710461876	2.72510554758084e-05	2.98015072194545e-05	0.643073841087562	2.63364434687157e-05	2.89355737566495e-05
36000	0.663074052182724	2.73804990289622e-05	2.96091573081145e-05	0.640854154352782	2.68051380562357e-05	2.90248247910158e-05
37000	0.660828464071603	2.34893396943342e-05	2.57349278054547e-05	0.638791437980242	2.25769652959554e-05	2.46396816684961e-05
38000	0.658219940048974	2.71840116524529e-05	2.97925356750823e-05	0.636072490078527	2.63388288440429e-05	2.90577767457571e-05
39000	0.65640454276788	2.76599468040192e-05	2.94753440851135e-05	0.634402199611585	2.67340200962594e-05	2.84043105632019e-05
40000	0.654519526302457	2.48122097441527e-05	2.66972262095753e-05	0.632552816009457	2.38796968673478e-05	2.57290804694756e-05
41000	0.652667567339357	2.44965802583804e-05	2.63485392214811e-05	0.630843177404374	2.36668918348392e-05	2.53765304399222e-05
42000	0.650957295448788	2.4545976526218e-05	2.62562484167862e-05	0.629333234822258	2.38691209997467e-05	2.53790635818627e-05
43000	0.649110233893439	2.59366081229419e-05	2.77836696782909e-05	0.627610444988601	2.51561893101411e-05	2.6878979143798e-05
44000	0.647825677615469	2.62027146837794e-05	2.74872709617496e-05	0.626572912268851	2.57890314953982e-05	2.68265642151481e-05
45000	0.646275014776661	2.43507979397112e-05	2.59014607785189e-05	0.625088913282108	2.31955374482817e-05	2.46795364350249e-05
46000	0.644620197585071	2.47642278138985e-05	2.64190450054885e-05	0.623427974330828	2.40718567930423e-05	2.57327957443216e-05
47000	0.643105864223592	2.40785696191843e-05	2.55929029806637e-05	0.622183040614709	2.35481508063836e-05	2.47930845225027e-05
48000	0.641311492020603	2.3313370767542e-05	2.51077429705311e-05	0.620461686228152	2.24933293928903e-05	2.42146837794478e-05
49000	0.639158469137887	2.23994975935151e-05	2.45525204762307e-05	0.6184751963185	2.17867094486194e-05	2.37731993582708e-05
50000	0.637583044836612	2.62850629063582e-05	2.78604872076332e-05	0.617069049227392	2.54850122435194e-05	2.68911593346281e-05
51000	0.636317487123195	2.3249113400321e-05	2.45146711137381e-05	0.615982964620451	2.2470552224943e-05	2.35566368318838e-05
52000	0.634848391454868	2.54442497677953e-05	2.69133454361227e-05	0.614781199864899	2.46867136705227e-05	2.58884784260745e-05
53000	0.633523410453432	2.58897027780123e-05	2.72146837794478e-05	0.613753651946297	2.5086105716457e-05	2.61136536350587e-05
54000	0.632453727940556	2.47798488558642e-05	2.58495313687411e-05	0.612661783331926	2.39599552478258e-05	2.50518238621971e-05
55000	0.631143882462214	2.48738495313687e-05	2.61836950097104e-05	0.611316431647387	2.41892257029469e-05	2.55345773874863e-05
56000	0.630021151735202	2.18702609136199e-05	2.29929916406317e-05	0.610282656421515	2.10130245714768e-05	2.20467997973487e-05
57000	0.628599636916322	2.62143882462214e-05	2.76359030651017e-05	0.608894579076248	2.54995989191928e-05	2.688767626446e-05
58000	0.627199126066031	2.50043696698472e-05	2.64048805201384e-05	0.607574052182724	2.42068943679811e-05	2.55274212615046e-05
59000	0.62609942582116	2.46231740268513e-05	2.57228742717218e-05	0.606682196234062	2.38372034112978e-05	2.47290593599595e-05
