Distance from Center (cmd=annotatePeaks.pl /expanse/lustre/projects/csd940/ctea/homer/homer_scripts/reference_peaks/H3K27ac.bed mm10 -size 500000 -hist 1000 -bedGraph /expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M3/tagdirs/tagdirs.DLR.bedGraph /expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M3/tagdirs/tagdirs.DLR.bedGraph)	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M3/tagdirs/tagdirs.DLR.bedGraph Coverage	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M3/tagdirs/tagdirs.DLR.bedGraph + Tags	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M3/tagdirs/tagdirs.DLR.bedGraph - Tags	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M3/tagdirs/tagdirs.DLR.bedGraph Coverage	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M3/tagdirs/tagdirs.DLR.bedGraph + Tags	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M3/tagdirs/tagdirs.DLR.bedGraph - Tags
-133000	-1.26662942152298	-0.000254094825279606	-0.00025328934553433	-1.2637105474394	-0.000253723230052977	-0.000252961363514743
-132000	-1.26785990260609	-0.000254150960560818	-0.000252920479477711	-1.26451559907957	-0.000253031519237973	-0.000252226467597795
-131000	-1.26853850270241	-0.000254219617916199	-0.000253541017819875	-1.26504275699684	-0.000252639321453417	-0.000252112163536148
-130000	-1.2694595173115	-0.000252680205490447	-0.000251759190881361	-1.26582303205437	-0.000251803660298603	-0.000251023385241076
-129000	-1.27080146625997	-0.000255655857012896	-0.00025431390806443	-1.26678113126773	-0.000255583400224755	-0.000254625301011398
-128000	-1.27182115909456	-0.000255114518114197	-0.000254094825279606	-1.26760507304543	-0.000254547171830685	-0.000253723230052977
-127000	-1.2726947075507	-0.000255024509016963	-0.000254150960560818	-1.26837817734254	-0.000253804623535078	-0.000253031519237973
-126000	-1.2733057205544	-0.000254830630919891	-0.000254219617916199	-1.26911360839086	-0.000253374752501739	-0.000252639321453417
-125000	-1.274384973511	-0.000253759458447049	-0.000252680205490447	-1.27027029485739	-0.000252960346765131	-0.000251803660298603
-124000	-1.27582597527693	-0.000257096858778831	-0.000255655857012896	-1.27161454487077	-0.000256927650238133	-0.000255583400224755
-123000	-1.27624187938139	-0.000255530422218655	-0.000255114518114197	-1.27226986675229	-0.000255202493712206	-0.000254547171830685
-122000	-1.27694482795526	-0.000255727457590839	-0.000255024509016963	-1.27305206828276	-0.000254586825065553	-0.000253804623535078
-121000	-1.27789302723819	-0.000255778830202815	-0.000254830630919891	-1.27386011665864	-0.000254182800877616	-0.000253374752501739
-120000	-1.27868336276556	-0.000254549793974421	-0.000253759458447049	-1.27437550168566	-0.000253475731792155	-0.000252960346765131
-119000	-1.27982656392144	-0.000258240059934714	-0.000257096858778831	-1.2755180606839	-0.000258070209236367	-0.000256927650238133
-118000	-1.28046160432386	-0.000256165462621073	-0.000255530422218655	-1.27632766094076	-0.00025601209396907	-0.000255202493712206
-117000	-1.28151779311821	-0.000256783646385187	-0.000255727457590839	-1.27753973350458	-0.000255798897629368	-0.000254586825065553
-116000	-1.28251704393429	-0.000256778081018889	-0.000255778830202815	-1.27861138759565	-0.000255254454968695	-0.000254182800877616
-115000	-1.28334820998555	-0.000255380960025686	-0.000254549793974421	-1.2794505271044	-0.000254314871300904	-0.000253475731792155
-114000	-1.2844073955156	-0.000259299245464762	-0.000258240059934714	-1.28029988762241	-0.000258919569754375	-0.000258070209236367
-113000	-1.28537031091133	-0.000257128378016803	-0.000256165462621073	-1.2811455022208	-0.000256857708567452	-0.00025601209396907
-112000	-1.28658254401456	-0.000257995879488415	-0.000256783646385187	-1.28214271953765	-0.00025679611494622	-0.000255798897629368
-111000	-1.288133515278	-0.000258329052282335	-0.000256778081018889	-1.28322405950661	-0.000256335794937657	-0.000255254454968695
-110000	-1.28913426446193	-0.000256381709209611	-0.000255380960025686	-1.28398175202012	-0.000255072563814416	-0.000254314871300904
-109000	-1.28977877668968	-0.000259943757692513	-0.000259299245464762	-1.28479820195858	-0.000259736019692835	-0.000258919569754375
-108000	-1.29103162626425	-0.000258381227591374	-0.000257128378016803	-1.28580740621823	-0.000257866912827099	-0.000256857708567452
-107000	-1.29241247926366	-0.000259376732487826	-0.000257995879488415	-1.28703323165837	-0.000258021940386364	-0.00025679611494622
-106000	-1.2932260394927	-0.000259142612511371	-0.000258329052282335	-1.28780457002194	-0.000257107133301225	-0.000256335794937657
-105000	-1.29449975919088	-0.000257655428907797	-0.000256381709209611	-1.28899491625194	-0.000256262910044416	-0.000255072563814416
-104000	-1.29558008241023	-0.000261024080911864	-0.000259943757692513	-1.28974254829561	-0.000260483651736501	-0.000259736019692835
-103000	-1.29667105474394	-0.000259472199925081	-0.000258381227591374	-1.29054032214909	-0.000258664686680581	-0.000257866912827099
-102000	-1.29772521003906	-0.000260430887782951	-0.000259376732487826	-1.29165211109327	-0.000259133729330551	-0.000258021940386364
-101000	-1.29867062663884	-0.000260088029111147	-0.000259142612511371	-1.29243554342591	-0.000257890565633864	-0.000257107133301225
-100000	-1.29979638251191	-0.000258781184780863	-0.000257655428907797	-1.29326868946326	-0.000257096056081768	-0.000256262910044416
-99000	-1.30095949055493	-0.000262187188954888	-0.000261024080911864	-1.29425547171831	-0.000261470433991545	-0.000260483651736501
-98000	-1.3015035051105	-0.000260016214480655	-0.000259472199925081	-1.295028415476	-0.000259437630438273	-0.000258664686680581
-97000	-1.30250430780757	-0.000261431690480013	-0.000260430887782951	-1.2958884786215	-0.000259993792476053	-0.000259133729330551
-96000	-1.30330507839675	-0.000260888799700327	-0.000260088029111147	-1.29651511746134	-0.000258517204473698	-0.000257890565633864
-95000	-1.30398592604484	-0.000259462032428961	-0.000258781184780863	-1.29693332263071	-0.000257514261251138	-0.000257096056081768
-94000	-1.30533905923904	-0.000263540322149088	-0.000262187188954888	-1.29799090276663	-0.000262528014127468	-0.000261470433991545
-93000	-1.30640236528068	-0.000261079520522288	-0.000260016214480655	-1.2987919409215	-0.00026023866859314	-0.000259437630438273
-92000	-1.30751201369936	-0.0002625413388987	-0.000261431690480013	-1.29973912345481	-0.000260940975009365	-0.000259993792476053
-91000	-1.30870107561406	-0.000262077861615027	-0.000260888799700327	-1.30074035425697	-0.00025951843527586	-0.000258517204473698
