Distance from Center (cmd=annotatePeaks.pl /expanse/lustre/projects/csd940/ctea/homer/homer_scripts/reference_peaks/H3K27me3.bed mm10 -size 500000 -hist 1000 -bedGraph /expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M3/tagdirs/tagdirs.DLR.bedGraph /expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M3/tagdirs/tagdirs.DLR.bedGraph)	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M3/tagdirs/tagdirs.DLR.bedGraph Coverage	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M3/tagdirs/tagdirs.DLR.bedGraph + Tags	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M3/tagdirs/tagdirs.DLR.bedGraph - Tags	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M3/tagdirs/tagdirs.DLR.bedGraph Coverage	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M3/tagdirs/tagdirs.DLR.bedGraph + Tags	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M3/tagdirs/tagdirs.DLR.bedGraph - Tags
-118000	-0.709557467265482	-0.000140901764817509	-0.000141256372952116	-0.855780568030868	-0.000170278702005187	-0.000170511480802075
-117000	-0.709784173572016	-0.000142948004301348	-0.000142721297994813	-0.856143778860143	-0.000172034347523563	-0.000171671136694288
-116000	-0.709745334935796	-0.000140791194888987	-0.000140830033525207	-0.856155354544879	-0.000171014675185021	-0.000171003099500285
-115000	-0.709487127585553	-0.000145814789044215	-0.000146072996394459	-0.856258586880891	-0.000174729710924157	-0.000174626478588146
-114000	-0.709294072996394	-0.000138838319944335	-0.000139031374533494	-0.855897400215067	-0.00016783996457714	-0.000168201151242963
-113000	-0.709085078120058	-0.000140692769941173	-0.000140901764817509	-0.85563811752799	-0.00017001941931811	-0.000170278702005187
-112000	-0.709035233095072	-0.000142898159276362	-0.000142948004301348	-0.856102536529825	-0.000172498766525397	-0.000172034347523563
-111000	-0.708849895629072	-0.000140605857422987	-0.000140791194888987	-0.855712062749067	-0.000170624201404263	-0.000171014675185021
-110000	-0.708547789233981	-0.000145512682649124	-0.000145814789044215	-0.855329559111898	-0.000174347207286989	-0.000174729710924157
-109000	-0.708724966791068	-0.000139015497501423	-0.000138838319944335	-0.85541217028275	-0.000167922575747992	-0.00016783996457714
-108000	-0.708482256942248	-0.000140450060092353	-0.000140692769941173	-0.855381175279904	-0.000169988424315263	-0.00017001941931811
