stripe_id	direction	direction_confidence	significant_FDR05	stripe_logFC	stripe_FDR	anchor_type	symbol	dist_to_tss	gene_pool	log2FoldChange	padj	baseMean	is_deg
stripe_1179	unchanged	low	FALSE	-0.00961925728597917	0.79040095680141	Other	Wsb1	NA	body	-0.0279402949677924	0.926979371795953	631.848036474374	FALSE
stripe_1180	lost	low	FALSE	-0.00189336549606543	0.96618717931503	Repressed_Promoter	5730455P16Rik	NA	body	0.145911266993414	0.415712186026947	214.73654307351	FALSE
stripe_1180	lost	low	FALSE	-0.00189336549606543	0.96618717931503	Repressed_Promoter	Cdk5r1	NA	body	-0.00634476165241839	0.988022866303137	345.289660816636	FALSE
stripe_1180	lost	low	FALSE	-0.00189336549606543	0.96618717931503	Repressed_Promoter	Myo1d	NA	body	-0.0757763189780115	0.769906105861447	458.78992595009	FALSE
stripe_1180	lost	low	FALSE	-0.00189336549606543	0.96618717931503	Repressed_Promoter	Psmd11	NA	body	0.0886645170935842	0.343845749878648	650.469539537663	FALSE
stripe_1180	lost	low	FALSE	-0.00189336549606543	0.96618717931503	Repressed_Promoter	Rhbdl3	NA	body	0.301354930821632	0.387635452477491	59.4216397565718	FALSE
stripe_1180	lost	low	FALSE	-0.00189336549606543	0.96618717931503	Repressed_Promoter	Spaca3	NA	body	-1.09244837209768	0.391257334300613	2.22427750853038	FALSE
stripe_1180	lost	low	FALSE	-0.00189336549606543	0.96618717931503	Repressed_Promoter	Tmem98	NA	body	0.291544982460805	0.548480467521627	27.5387834972635	FALSE
stripe_1180	lost	low	FALSE	-0.00189336549606543	0.96618717931503	Repressed_Promoter	Zfp207	NA	body	0.00475536917471378	0.984068024022268	2964.98513109261	FALSE
stripe_1181	gained	low	FALSE	-0.0331537886844391	0.316646880862851	Active_Promoter	Cdk5r1	NA	body	-0.00634476165241839	0.988022866303137	345.289660816636	FALSE
stripe_1182	unchanged	high	TRUE	-0.0642244960812682	0.047700479857586	Poised_Enhancer	5730455P16Rik	NA	body	0.145911266993414	0.415712186026947	214.73654307351	FALSE
stripe_1182	unchanged	high	TRUE	-0.0642244960812682	0.047700479857586	Poised_Enhancer	Adap2	NA	body	0.488824034035514	0.47096535999407	11.1551876158868	FALSE
stripe_1182	unchanged	high	TRUE	-0.0642244960812682	0.047700479857586	Poised_Enhancer	Atad5	NA	body	0.130731567829315	0.60700945256644	225.723742594945	FALSE
stripe_1182	unchanged	high	TRUE	-0.0642244960812682	0.047700479857586	Poised_Enhancer	Cdk5r1	NA	body	-0.00634476165241839	0.988022866303137	345.289660816636	FALSE
