gene	me2_fold	me2_fdr	me2_n_peaks	mc_diff	mc_q	mc_sig	hmc_diff	hmc_q	hmc_sig	chromatin_state	dmr_status
2810049E08Rik	-0.613421969163296	0.0231145542413911	3	NA	NA	NA	NA	NA	NA	NA	NA
2810404M03Rik	-0.661594274237583	0.0111308932717159	1	NA	NA	NA	NA	NA	NA	NA	NA
2810414N06Rik	-0.453715650263894	0.0332241408716277	2	NA	NA	NA	NA	NA	NA	NA	NA
2900040C04Rik	0.51000052211764	0.0156469947847276	1	NA	NA	NA	NA	NA	NA	NA	NA
2900041M22Rik	-0.656747890318276	0.0177259625026914	2	NA	NA	NA	NA	NA	NA	NA	NA
2900052N01Rik	-0.598013494043127	0.0274685849413008	1	NA	NA	NA	NA	NA	NA	NA	NA
2900057B20Rik	0.748487274066763	0.00654500412851856	1	NA	NA	NA	NA	NA	NA	NA	NA
2900076A07Rik	-0.512641647392549	0.0462068209663349	1	NA	NA	NA	NA	NA	NA	NA	NA
3100003L05Rik	0.541214730827386	0.0399098194295154	2	NA	NA	NA	NA	NA	NA	NA	NA
3110015C05Rik	-0.42659346683529	0.0478079103868568	1	NA	NA	NA	NA	NA	NA	NA	NA
3300005D01Rik	-0.615079353165805	0.0158066043472278	1	NA	NA	NA	NA	NA	NA	NA	NA
3425401B19Rik	0.757197646011503	0.00283901535545082	1	-0.00886765169194725	0.0531258622347319	FALSE	0.00575282740640437	0.0359486056085695	TRUE	Other	hmC DMR only
3930402G23Rik	0.713435082103904	0.000572640726045453	1	NA	NA	NA	NA	NA	NA	NA	NA
4833412C05Rik	1.11912496333221	0.000301834120185598	1	NA	NA	NA	NA	NA	NA	NA	NA
4833415N18Rik	0.463543713775133	0.029962252886497	3	NA	NA	NA	NA	NA	NA	NA	NA
4833427F10Rik	-0.872450645313229	0.00190852038477323	1	NA	NA	NA	NA	NA	NA	NA	NA
4833428L15Rik	0.671674339798441	0.00899914626371731	1	NA	NA	NA	NA	NA	NA	NA	NA
4921504A21Rik	-0.568769890210506	0.0344291859877155	1	NA	NA	NA	NA	NA	NA	NA	NA
4921509O07Rik	-0.565888727363366	0.0124468825441546	7	NA	NA	NA	NA	NA	NA	NA	NA
4921511C10Rik	-0.551832837022359	0.0392778074775452	2	NA	NA	NA	NA	NA	NA	NA	NA
4921515E04Rik	0.59589688683156	0.0225635127449522	1	NA	NA	NA	NA	NA	NA	NA	NA
4921531C22Rik	1.15757138041625	6.17576810296138e-06	1	NA	NA	NA	NA	NA	NA	NA	NA
4921534H16Rik	0.63047790326541	0.0199823881951826	7	NA	NA	NA	NA	NA	NA	NA	NA
4930401O10Rik	-0.560236354159516	0.0321641577651603	2	NA	NA	NA	NA	NA	NA	NA	NA
4930404H11Rik	-0.486263952220475	0.0364255449502596	3	NA	NA	NA	NA	NA	NA	NA	NA
4930405A10Rik	0.468809645808615	0.0295021197247499	2	NA	NA	NA	NA	NA	NA	NA	NA
4930405O22Rik	1.00771285002168	0.00089252759662405	1	NA	NA	NA	NA	NA	NA	NA	NA
4930407I19Rik	0.550307703937199	0.0304413393108294	1	NA	NA	NA	NA	NA	NA	NA	NA
4930425L21Rik	0.694495176845838	0.002787382614402	7	NA	NA	NA	NA	NA	NA	NA	NA
4930428E07Rik	-0.577373250720569	0.0176028934595737	2	NA	NA	NA	NA	NA	NA	NA	NA
4930429H19Rik	-0.555600319580645	0.0345682841162153	3	NA	NA	NA	NA	NA	NA	NA	NA
4930431P22Rik	-0.573283142002174	0.0254662470830567	1	NA	NA	NA	NA	NA	NA	NA	NA
4930432J09Rik	0.601409758851114	0.0143430134163355	1	NA	NA	NA	NA	NA	NA	NA	NA
4930433B08Rik	0.523929642715108	0.0487958927192614	4	NA	NA	NA	NA	NA	NA	NA	NA
4930434J06Rik	0.697390050818309	0.00392159082561095	1	NA	NA	NA	NA	NA	NA	NA	NA
4930441H08Rik	1.5873587426195	6.26227320567497e-06	4	NA	NA	NA	NA	NA	NA	NA	NA
4930444P10Rik	-0.527668434149263	0.0476124022870688	1	-0.00382914033853043	0.476217060574221	FALSE	-0.000712879322423449	0.887448999117396	FALSE	Repressed_Promoter	Not DMR
4930445N18Rik	-0.662833899631191	0.00887136707820526	2	NA	NA	NA	NA	NA	NA	NA	NA
4930447A16Rik	0.634101199273879	0.0182753312045718	1	0.125827757823792	4.78529364249972e-75	TRUE	-0.0383205693445708	1.232620008385e-09	TRUE	Other	Both mC+hmC DMR
4930447J18Rik	-0.527973131265917	0.0465843696463503	2	NA	NA	NA	NA	NA	NA	NA	NA
4930448F12Rik	0.662944276278545	0.0162332986580967	1	NA	NA	NA	NA	NA	NA	NA	NA
4930449E01Rik	-0.795461646562483	0.00502561638724766	4	NA	NA	NA	NA	NA	NA	NA	NA
4930452A19Rik	-0.495902345617926	0.033023972616994	1	NA	NA	NA	NA	NA	NA	NA	NA
4930453N24Rik	-0.676134955608366	0.00450123746545588	1	0.0271276459229466	5.23825638643982e-05	TRUE	-0.0330687351755923	7.98640165984243e-13	TRUE	Active_Promoter	Both mC+hmC DMR
4930455B14Rik	0.52311225811511	0.0484567322796695	4	NA	NA	NA	NA	NA	NA	NA	NA
4930455J16Rik	-1.08328222958372	3.76686240105513e-05	1	NA	NA	NA	NA	NA	NA	NA	NA
4930459C07Rik	-0.602075795636109	0.0115884252525488	2	NA	NA	NA	NA	NA	NA	NA	NA
4930465M20Rik	0.591892136511177	0.0278290863864221	2	NA	NA	NA	NA	NA	NA	NA	NA
4930467K11Rik	0.944761706247912	0.00111404659518872	2	NA	NA	NA	NA	NA	NA	NA	NA
4930469K13Rik	0.523019134756748	0.0279775539971474	2	-0.00439813023981228	0.0648791595037589	FALSE	0.0113877808458981	5.63082802741891e-18	TRUE	Repressed_Promoter	hmC DMR only
4930473O22Rik	-0.551654334334037	0.0107837169291066	1	NA	NA	NA	NA	NA	NA	NA	NA
4930474H20Rik	0.638119130975141	0.00618258959080306	1	NA	NA	NA	NA	NA	NA	NA	NA
4930474M22Rik	0.517619101380417	0.0313281498584693	1	NA	NA	NA	NA	NA	NA	NA	NA
4930480K15Rik	0.651896103578167	0.0184051134758654	1	NA	NA	NA	NA	NA	NA	NA	NA
4930483O08Rik	-0.567615833091583	0.00495858248703832	4	NA	NA	NA	NA	NA	NA	NA	NA
4930503O07Rik	-0.633170381800648	0.00751951019389194	1	NA	NA	NA	NA	NA	NA	NA	NA
4930504C09Rik	0.633005765948783	0.0196664546082718	2	NA	NA	NA	NA	NA	NA	NA	NA
4930505K13Rik	0.445922238107077	0.0474289134777464	1	NA	NA	NA	NA	NA	NA	NA	NA
4930505N22Rik	0.621027407912095	0.0130354808227579	1	NA	NA	NA	NA	NA	NA	NA	NA
4930511A08Rik	-0.558061288690892	0.0366340651851943	6	NA	NA	NA	NA	NA	NA	NA	NA
4930511M06Rik	-0.479342541378861	0.0408785174223296	1	NA	NA	NA	NA	NA	NA	NA	NA
4930513D17Rik	0.79004852500714	0.00167268457895575	1	NA	NA	NA	NA	NA	NA	NA	NA
4930519K11Rik	0.588984778042408	0.0289031295997718	28	NA	NA	NA	NA	NA	NA	NA	NA
4930520P13Rik	0.790827018399908	0.00179572293450233	1	NA	NA	NA	NA	NA	NA	NA	NA
4930523C07Rik	0.51633112834018	0.0437805606945823	1	0.00353605412959568	0.498198787817941	FALSE	0.0244820888333331	4.2730878088161e-14	TRUE	Repressed_Promoter	hmC DMR only
4930524B17Rik	0.564151268967095	0.031607604390719	7	NA	NA	NA	NA	NA	NA	NA	NA
4930524C18Rik	0.51581854978656	0.0384839175581038	1	NA	NA	NA	NA	NA	NA	NA	NA
4930527G23Rik	0.612716048151349	0.024577964137597	1	NA	NA	NA	NA	NA	NA	NA	NA
4930528P14Rik	-0.684095041289539	0.0114850804437007	8	NA	NA	NA	NA	NA	NA	NA	NA
