Cluster	category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
D1 (Least impaired)	Human Diseases	Endocrine and metabolic disease	mmu04932	Non-alcoholic fatty liver disease	37/845	162/11035	0.228395061728395	2.98265030316312	7.3204315870836	1.07328678605506e-09	3.48818205467895e-08	2.79054564374316e-08	12867/12868/68194/68197/66916/66594/12861/68202/17991/16476/67130/12866/384783/17992/68342/12859/78330/110323/66052/12865/20463/66142/66218/69875/66152/66495/13063/12857/333182/12864/407785/72674/606496/108079/67264/23797/12858	37
D1 (Least impaired)	Human Diseases	Cardiovascular disease	mmu05415	Diabetic cardiomyopathy	43/845	216/11035	0.199074074074074	2.59974249397326	6.83740253393164	4.51061035652542e-09	1.33268033260978e-07	1.06614426608783e-07	12867/12868/68194/68197/18604/66916/66594/12861/18821/68202/17991/67130/12866/17992/68342/12859/13033/78330/11950/110323/55951/66052/12865/20463/66142/66218/69875/66152/66495/22334/11938/12857/68263/333182/12864/407785/108058/67264/19211/23797/70456/19047/12858	43
D1 (Least impaired)	Cellular Processes	Transport and catabolism	mmu04140	Autophagy - animal	32/845	167/11035	0.191616766467066	2.50235623427701	5.63331577802652	1.04883002205293e-06	2.8405813097267e-05	2.27246504778136e-05	68441/22190/93739/12015/22241/19338/384783/12048/67605/13033/67443/67526/26417/228545/235040/56716/16653/20869/19744/15251/18412/52440/19324/52187/67841/353047/51897/13144/108079/19211/23797/56418	32
D1 (Least impaired)	Organismal Systems	Environmental adaptation	mmu04710	Circadian rhythm	12/845	34/11035	0.352941176470588	4.60911938739993	6.06921296585697	4.25283287846316e-06	0.000106320821961579	8.50566575692632e-05	20893/79362/13170/50789/12953/353187/12952/18626/26965/108079/217166/19883	12
D1 (Least impaired)	Organismal Systems	Circulatory system	mmu04260	Cardiac muscle contraction	19/845	89/11035	0.213483146067416	2.78791303769696	4.8766481796013	3.42696397539864e-05	0.000795545208574685	0.000636436166859748	12867/12868/66594/12861/12866/12859/11928/110323/110891/12865/11931/20463/66142/66152/11938/12857/333182/12864/12858	19
D1 (Least impaired)	Organismal Systems	Nervous system	mmu04723	Retrograde endocannabinoid signaling	26/845	154/11035	0.168831168831169	2.2047952047952	4.33557734104365	0.00010231646120283	0.00221685665939465	0.00177348532751572	14704/12801/68194/68197/23945/14677/66916/68202/17991/14678/14693/67130/17992/68342/78330/72961/14401/26417/66218/69875/432530/14406/66495/14702/407785/67264	26
D1 (Least impaired)	Cellular Processes	Transport and catabolism	mmu04144	Endocytosis	38/845	268/11035	0.141791044776119	1.85167358473903	4.06444237216062	0.000153534811404707	0.00311867585665812	0.0024949406853265	11845/330319/19341/107305/320129/67064/100017/225861/227700/73178/74325/110355/98366/20405/77038/53869/11841/19157/30948/74192/30930/22365/67771/57440/15040/13854/56433/66313/67804/16573/52348/13855/68942/208650/69091/18719/11842/54198	38
D1 (Least impaired)	Cellular Processes	Transport and catabolism	mmu04137	Mitophagy - animal	19/845	101/11035	0.188118811881188	2.4566758450993	4.23488696715021	0.000205563119671671	0.0039298831701937	0.00314390653615496	22190/93739/16476/22241/13001/12048/12177/67443/67952/68350/53375/16653/15251/18412/52440/100756/66313/56484/170731	19
D1 (Least impaired)	Metabolism	Glycan biosynthesis and metabolism	mmu00604	Glycosphingolipid biosynthesis - ganglio series	6/845	15/11035	0.4	5.22366863905325	4.71359672655137	0.000542964621544457	0.00941981864165683	0.00753585491332546	20454/20444/20448/11416/20449/50935	6
D1 (Least impaired)	Human Diseases	Cancer: specific types	mmu05220	Chronic myeloid leukemia	15/845	76/11035	0.197368421052632	2.57746807848022	3.97365048412829	0.000550697089819938	0.00941981864165683	0.00753585491332546	23882/12576/13557/12015/12048/13017/26417/12928/13197/20663/16653/12929/13016/12567/23797	15
D1 (Least impaired)	Environmental Information Processing	Signal transduction	mmu04150	mTOR signaling pathway	24/845	158/11035	0.151898734177215	1.98367163508351	3.58617831277888	0.0009181053818673	0.0149192124553436	0.0119353699642749	68441/14362/14369/320311/22241/20393/67605/83409/20104/26417/66290/71718/56716/20663/13684/16653/20869/19744/52187/216742/108079/19211/23797/110379	24
D1 (Least impaired)	Environmental Information Processing	Signal transduction	mmu04068	FoxO signaling pathway	21/845	133/11035	0.157894736842105	2.06197446278418	3.54808942678476	0.00113571012874297	0.0171514992375215	0.0137211993900172	23882/12576/93739/12053/20393/12581/384783/56458/67526/73251/26417/13197/20663/68401/16653/20869/56484/108079/19211/23797/12452	21
D1 (Least impaired)	Organismal Systems	Aging	mmu04211	Longevity regulating pathway	16/845	90/11035	0.177777777777778	2.32163050624589	3.62519338331238	0.00120521299702405	0.0171514992375215	0.0137211993900172	140742/22241/384783/56458/67605/432530/13684/16653/20869/19744/56484/72674/11909/51897/108079/23797	16
D1 (Least impaired)	Genetic Information Processing	Translation	mmu03010	Ribosome	41/845	328/11035	0.125	1.63239644970414	3.3481136842944	0.00121379840757844	0.0171514992375215	0.0137211993900172	68499/76808/19981/14109/27176/20068/57808/79044/114641/100503670/20085/94067/26451/18120/118451/67281/28028/64659/66483/67186/107733/20102/20104/64658/20115/66163/19943/52443/67097/78523/54127/68836/270106/69163/19951/68052/16898/19946/75398/66448/20005	41
D1 (Least impaired)	Human Diseases	Infectious disease: bacterial	mmu05132	Salmonella infection	33/845	251/11035	0.131474103585657	1.71694287937009	3.30856163230371	0.00153823197363021	0.0205526643228012	0.016442131458241	11852/11845/18643/170625/11465/16476/22142/22153/56382/73178/100040563/100310872/11841/67166/19157/74192/71999/22146/67771/22145/26417/228545/67068/21648/101314/13063/319642/16573/235661/353047/53598/23797/16648	33
D1 (Least impaired)	Environmental Information Processing	Signal transduction	mmu04012	ErbB signaling pathway	15/845	84/11035	0.178571428571429	2.33199492814877	3.52876776059434	0.00161794846732979	0.0205526643228012	0.016442131458241	12576/16476/12015/15200/26417/12928/20663/16653/12929/17973/108058/11352/208650/23797/17974	15
D1 (Least impaired)	Cellular Processes	Transport and catabolism	mmu04142	Lysosome	33/845	252/11035	0.130952380952381	1.71012961397577	3.28379353976307	0.0016442131458241	0.0205526643228012	0.016442131458241	68441/14533/76252/11984/211286/20597/54397/63959/15586/67605/74325/13033/83409/15587/67166/17775/30930/228545/260302/66290/56464/56433/71718/56716/52187/228983/353047/64933/53599/69091/11975/19063/11305	33
D1 (Least impaired)	Environmental Information Processing	Signal transduction	mmu04371	Apelin signaling pathway	21/845	140/11035	0.15	1.95887573964497	3.28791425853546	0.00218897326627584	0.024878045022732	0.0199024360181856	14704/13653/14674/14677/14678/14693/16890/12314/56632/67443/20104/110891/26417/432530/16653/14702/21780/17261/108079/23797/30878	21
D1 (Least impaired)	Genetic Information Processing	Translation	mmu03015	mRNA surveillance pathway	17/845	104/11035	0.163461538461538	2.13467228038234	3.34784174301612	0.00222517920867033	0.024878045022732	0.0199024360181856	56009/74737/230908/68991/67897/20220/53817/98985/233789/83410/56488/52432/192160/269061/54196/21681/19047	17
D1 (Least impaired)	Genetic Information Processing	Folding, sorting and degradation	mmu04141	Protein processing in endoplasmic reticulum	25/845	178/11035	0.140449438202247	1.83415331427432	3.23078988269315	0.00224294181988573	0.024878045022732	0.0199024360181856	50907/12955/12317/56812/67819/54197/56550/193670/140499/15502/63958/67437/81489/19359/17872/226418/66397/66105/75744/26965/56228/13002/56085/59007/110379	25
D1 (Least impaired)	Metabolism	Glycan biosynthesis and metabolism	mmu00512	Mucin type O-glycan biosynthesis	8/845	32/11035	0.25	3.26479289940828	3.69450007507021	0.00229643492517526	0.024878045022732	0.0199024360181856	108150/59048/78754/20444/20448/271786/14537/212996	8
D1 (Least impaired)	Human Diseases	Neurodegenerative disease	mmu05017	Spinocerebellar ataxia	21/845	141/11035	0.148936170212766	1.94498300390281	3.25197816315326	0.00239191573165806	0.0250765358964152	0.0200612287171322	215999/20422/22241/19184/26444/237336/14813/19185/16504/22359/66413/26440/22334/13063/11938/81601/51897/19172/23797/19883/19167	21
D1 (Least impaired)	Environmental Information Processing	Signal transduction	mmu04152	AMPK signaling pathway	19/845	127/11035	0.149606299212598	1.95373433350417	3.11289495217772	0.00358012432388051	0.0363606376644114	0.0290885101315291	20250/20249/22241/68365/16890/384783/56458/13631/67605/59021/68401/20869/19744/52432/56484/72674/74343/108079/23797	19
D1 (Least impaired)	Human Diseases	Cancer: specific types	mmu05225	Hepatocellular carcinoma	24/845	175/11035	0.137142857142857	1.79097210481826	3.03719748457506	0.00371951265399332	0.0366315640166009	0.0293052512132807	23882/14296/14362/14369/13557/11465/12015/29861/66447/12048/14872/93687/26417/67155/13197/83766/20663/16653/212398/19211/14871/50868/12567/23797	24
