gene	mc_diff	mc_q	mc_ctrl	mc_mut	hmc_diff	hmc_q	hmc_ctrl	hmc_mut	coordinated_pattern	combined_effect
Klhl2	0.0243232459958483	0.000110728718039698	0.738508916164408	0.762832162160256	-0.0304174780160481	1.78354080178632e-10	0.155803272125996	0.125385794109948	TRUE	0.0547407240118964
Snap23	0.0297181637791627	0.0184645567414238	0.805308386298174	0.835026550077337	-0.0249647839032835	0.00712018716855474	0.10874455473827	0.0837797708349869	TRUE	0.0546829476824462
Kcnq1	-0.0288225985510472	4.4011055979716e-09	0.812082410974936	0.783259812423888	0.0257500585329398	6.93205396920175e-11	0.107951858807635	0.133701917340575	FALSE	0.054572657083987
Trim37	0.0250871919160753	0.000588553009773219	0.793054348215952	0.818141540132027	-0.0294681801240302	1.78659340593967e-08	0.11755370360743	0.0880855234833998	TRUE	0.0545553720401055
Hspa13	0.0312918762939722	0.0254871949982206	0.774588746576076	0.805880622870048	-0.023246280381295	0.0215331504598227	0.113167454742995	0.0899211743617003	TRUE	0.0545381566752672
Bcl9	0.0225282499818935	0.0160629855753358	0.64979207049124	0.672320320473133	-0.0319712613956925	1.55905818989006e-05	0.24235610620539	0.210384844809698	TRUE	0.054499511377586
Ric1	0.0227307512042874	0.00397342761882424	0.76518500086275	0.787915752067037	-0.031767674646822	1.22111275427948e-07	0.157046997175629	0.125279322528807	TRUE	0.0544984258511093
Plaa	0.0292344672476859	0.021299557147265	0.758915952944988	0.788150420192674	-0.0252360429467566	0.0189240233643587	0.166553281094981	0.141317238148224	TRUE	0.0544705101944425
Ap1ar	0.0274441764729982	0.0239665099609454	0.713835840007516	0.741280016480514	-0.0270073876309312	0.00105477087296275	0.136304457861211	0.109297070230279	TRUE	0.0544515641039294
Bzw2	0.0265612502807646	0.000621444813063898	0.747196477439909	0.773757727720673	-0.0278592396815571	1.63419421818354e-06	0.147396501225153	0.119537261543596	TRUE	0.0544204899623217
Tjp1	-0.035459552994055	2.13070980445358e-16	0.797779558882402	0.762320005888347	0.0189421758313416	2.70238226838478e-07	0.122005381441122	0.140947557272464	FALSE	0.0544017288253966
Mios	0.0286410815545945	0.00941600012068031	0.760038614457043	0.788679696011638	-0.0257503918620905	0.00313934254050755	0.150568590523273	0.124818198661183	TRUE	0.0543914734166851
Myo9a	0.0255448003120697	8.23592060916548e-06	0.814043100377367	0.839587900689437	-0.0287595382410616	2.21011422652766e-09	0.137567395625475	0.108807857384413	TRUE	0.0543043385531313
Map3k13	0.0232358777112953	0.000297555131640473	0.675438243819075	0.69867412153037	-0.0310641165356868	6.39122407287381e-10	0.20072815937328	0.169664042837593	TRUE	0.0542999942469821
Prrc2c	0.0270802077629648	0.00397863371586553	0.71144816611811	0.738528373881075	-0.0272006857675255	0.000194461807071649	0.169447636477131	0.142246950709605	TRUE	0.0542808935304903
Cdan1	0.0253332756877637	0.000904095609237405	0.770493200389933	0.795826476077696	-0.0289397050885756	6.12648238313068e-07	0.146446842073621	0.117507136985045	TRUE	0.0542729807763393
Pcdhga5	0.0306667207563707	1.92240709837271e-07	0.569453622456388	0.600120343212759	-0.0234846758122112	2.51304744640505e-10	0.125378734703112	0.101894058890901	TRUE	0.0541513965685818
Fnip2	0.0352432425414715	9.00147525313932e-06	0.615845792183622	0.651089034725093	-0.0189070403667497	0.00958038692145607	0.23008359247318	0.21117655210643	TRUE	0.0541502829082212
Mia3	0.0284347894207914	0.00198126800517888	0.796646457882893	0.825081247303684	-0.0257118999831147	0.000245227406740194	0.121702368774156	0.0959904687910411	TRUE	0.054146689403906
