gene	mc_diff	hmc_diff	mc_q	hmc_q	combined_effect	n_k119ub_ctrl	n_k119ub_mut	net_k119ub
Gmppb	0.0985815847098349	-0.0391611522904379	4.10972060776529e-14	0.000500714145131977	0.137742737000273	0	0	0
Gnai2	0.0839757943839637	-0.0536942830379083	2.60066731713291e-43	9.88897960524337e-30	0.137670077421872	1	1	0
H6pd	0.106675459751996	-0.03041515912847	3.20140487769372e-122	2.55376266221998e-13	0.137090618880466	2	3	1
7420426K07Rik	0.0899754285876231	-0.0469647204808973	0.000238131391375158	0.0161850070184167	0.13694014906852	0	0	0
Hbp1	0.0849272950435323	-0.0516167947939808	3.40964533163408e-51	6.74787099271193e-28	0.136544089837513	11	12	1
Tle2	0.0953085132221649	-0.0410728306672903	8.96904790248829e-48	1.18678733620164e-13	0.136381343889455	2	2	0
Mfsd5	0.0810172882203772	-0.0552160100756191	8.1669445009764e-08	5.68208832068786e-05	0.136233298295996	0	0	0
AL731706.1	0.0890501301078657	-0.0470801675963944	4.09422237774403e-23	1.51490319283817e-09	0.13613029770426	0	0	0
Eomes	0.0717417150234643	-0.0641562575085227	1.57750771343255e-23	2.09467867904021e-29	0.135897972531987	2	2	0
Snx18	0.105603748192753	-0.029769163169349	9.66409894139552e-162	2.18648077676884e-15	0.135372911362102	2	3	1
Ncald	0.0872131211876761	-0.0479322312489731	4.8151057076211e-306	7.07674626726131e-306	0.135145352436649	2	8	6
Repin1	0.0761493144469081	-0.0589702848922454	2.94833870707502e-29	8.13504711879326e-22	0.135119599339153	0	0	0
Rnf225	0.103261510099238	-0.0317901419246146	1.28211761699795e-14	0.0108333884546969	0.135051652023852	0	0	0
Trp53i11	0.0786040380033767	-0.0564049521916706	8.7553352260125e-21	1.10215558491586e-13	0.135008990195047	15	12	-3
Ilvbl	0.0984403817414369	-0.0362412554749499	7.71641674271027e-30	9.13386441556327e-08	0.134681637216387	1	1	0
Gm42372	0.0930697236483314	-0.0415291024200406	1.62658053769885e-14	0.000206209102520774	0.134598826068372	0	0	0
Trhde	0.072632449541856	-0.061950977019315	4.8151057076211e-306	7.07674626726131e-306	0.134583426561171	1	4	3
Gpr146	0.0719710822675723	-0.0623771985088253	2.35910083576557e-28	2.0537343351484e-29	0.134348280776398	2	0	-2
Ppm1l	0.0810215464206032	-0.0533058403207834	4.8151057076211e-306	7.07674626726131e-306	0.134327386741387	1	2	1
Sp4	0.0840928563436645	-0.0501606526514234	2.44818234635435e-101	3.05456379026118e-47	0.134253508995088	1	2	1
Arhgap17	0.081881543063992	-0.0522463078413206	1.69778695389895e-200	2.32240203175346e-108	0.134127850905313	0	0	0
Gm3448	0.0649107872342667	-0.069101854087371	0.000669635111609716	1.72045477276984e-06	0.134012641321638	0	0	0
Zbtb20	0.0775188432904133	-0.0563959871998697	4.8151057076211e-306	7.07674626726131e-306	0.133914830490283	1	0	-1
Slc7a8	0.0953588796585512	-0.0385248425651193	7.24741185248213e-200	1.87123611001977e-43	0.13388372222367	0	0	0
Gm10277	0.0879987422426997	-0.0454680257975933	2.85510530572354e-05	0.00986069841466876	0.133466768040293	0	0	0
E2f4	0.0864116216815704	-0.0469719064882844	5.30075903631027e-13	1.03532968997866e-05	0.133383528169855	0	0	0
Itpk1	0.0999405716026295	-0.0333543573786836	4.8151057076211e-306	2.97939851295896e-59	0.133294928981313	0	1	1
C2cd4d	0.0667383285023907	-0.066524321918558	0.00247989353624918	0.00154054506601842	0.133262650420949	0	0	0
