gene	mc_diff	hmc_diff	mc_q	hmc_q	combined_effect	n_k119ub_ctrl	n_k119ub_mut	net_k119ub
Nfe2l1	0.0712011684279107	-0.0272188672070083	9.71572779457514e-21	1.55190984198929e-05	0.098420035634919	0	1	1
Hmgn1	0.0622543782329715	-0.0361469673653172	4.44738265416013e-12	7.27257594071092e-08	0.0984013455982887	0	0	0
Gcnt1	0.0552304457580975	-0.0430861556430124	1.59333905570722e-62	3.41234075648393e-64	0.0983166014011099	1	1	0
Sidt1	0.0641870438423581	-0.0340563780118688	4.56573281085874e-135	2.70799377201394e-54	0.0982434218542269	1	3	2
Tef	0.07972545587323	-0.0184985249405832	9.0032107050355e-43	0.000160353989401161	0.0982239808138132	0	1	1
Srsf5	0.0580879268173436	-0.0400971162836181	1.44231144407516e-11	4.61536042585437e-08	0.0981850431009617	0	0	0
Cdip1	0.053172352501731	-0.0449590528646731	1.03617075651677e-19	4.92703698689544e-17	0.098131405366404	0	0	0
Api5	0.0584176038404929	-0.0396886694109052	4.24791601659022e-31	1.29101574020806e-22	0.0981062732513981	5	9	4
Safb	0.0594363850096328	-0.0385882155765556	1.73244633400392e-22	1.1680799502183e-14	0.0980246005861884	0	0	0
Zc3h15	0.0572320240549826	-0.0407868339675435	5.22872254230391e-23	8.47871710497869e-18	0.0980188580225261	0	0	0
Smad7	0.0719927500017776	-0.0259764355015253	8.09130948628822e-63	2.12691977948735e-09	0.0979691855033029	4	5	1
Svop	0.0522267843936809	-0.0457393068293678	2.57976837588632e-72	1.49111379548455e-86	0.0979660912230487	0	0	0
Wasl	0.0533733068856035	-0.0445407444373682	2.27439195229841e-39	1.16699070451457e-33	0.0979140513229717	0	0	0
Cygb	0.0662953568967322	-0.0316100587126005	1.2703039793921e-10	0.00133966103935938	0.0979054156093326	1	1	0
9030025P20Rik	0.0611830308667585	-0.036719726824656	0.00585388447875133	0.0424782585705526	0.0979027576914145	0	0	0
Hmgcll1	0.0536693171763069	-0.0441647760506628	2.37241333000405e-102	1.52890806003587e-114	0.0978340932269696	0	0	0
Lsm8	0.0560500550910036	-0.0417738217509991	7.10796469703003e-08	4.44117949184788e-09	0.0978238768420027	6	2	-4
Clip3	0.0642739590081363	-0.0335285680565886	2.97243996703969e-23	4.06961690235873e-10	0.0978025270647249	0	0	0
Cemip2	0.0586196146349924	-0.0391387039877704	1.44671808271714e-145	2.96674290634492e-90	0.0977583186227628	1	3	2
Rfk	0.0660518975180676	-0.0316999466619873	7.40992551698237e-11	1.77684242633101e-05	0.0977518441800549	0	0	0
Prelid3a	0.0580401989891957	-0.0397010236915613	1.7608929229946e-18	3.3098039801958e-12	0.0977412226807569	0	0	0
Micu1	0.0504965304273366	-0.0472407319189318	1.28024386159474e-197	2.51216905930882e-262	0.0977372623462684	0	0	0
Metap1	0.0531738465509927	-0.0445393263251074	1.73946243850325e-45	9.16734394079294e-52	0.0977131728761001	0	0	0
Cltb	0.067252318819791	-0.0304406983890581	2.77165125979363e-23	4.64553242396607e-07	0.0976930172088491	0	0	0
Samd12	0.0565029813770113	-0.0411859100222279	4.8151057076211e-306	7.07674626726131e-306	0.0976888913992392	1	3	2
Necab3	0.0513250495258422	-0.046185317971471	2.8599579381401e-08	3.83717142207495e-08	0.0975103674973131	1	1	0
Mrpl48	0.062108784472164	-0.035351173995314	1.08421600242443e-57	1.58407509117904e-42	0.097459958467478	0	0	0
Ankrd13b	0.0629583419814526	-0.0344286131630615	1.55849338204132e-26	4.24807325741475e-11	0.097386955144514	1	2	1
Crebrf	0.0429774996195685	-0.0543902761566473	3.00198618745747e-29	2.24806175459604e-73	0.0973677757762158	0	0	0
Gabrg2	0.0525065536056784	-0.0448587720543582	5.23185165715515e-59	3.30587453701788e-66	0.0973653256600366	0	1	1
Pgrmc2	0.0591818562066178	-0.0380877541736744	1.24851839052313e-23	7.4089913542158e-16	0.0972696103802922	9	8	-1
Immp1l	0.0492247846390952	-0.0480261657516456	2.6403760436892e-36	2.71046337219024e-54	0.0972509503907407	0	1	1
Cap1	0.0586442340411012	-0.0385959104908614	5.3164833436688e-23	4.83981834339566e-15	0.0972401445319626	0	0	0
Dixdc1	0.0548858417115964	-0.0423355151552721	3.43177300259453e-81	7.26517288908976e-83	0.0972213568668685	0	0	0
Aph1b	0.066235070962893	-0.0309570362675378	1.05919210115254e-17	1.32023130081268e-07	0.0971921072304308	1	1	0
Tshz1	0.057513094425645	-0.0396747321205701	4.08437420014622e-130	1.43956883550494e-80	0.0971878265462151	14	13	-1
Gm44965	0.0592308618797702	-0.0379335884557043	7.32963234299183e-38	1.32658144408716e-24	0.0971644503354746	0	0	0
Bsg	0.0587449553559603	-0.0383605052578437	5.95897858978344e-06	0.000888150808574474	0.097105460613804	1	0	-1
Mtmr6	0.0492808280804381	-0.0476641091414321	1.64395221757753e-31	7.6501092394764e-44	0.0969449372218702	0	0	0
Gga3	0.0575090102884651	-0.0394201705602416	1.4145372455395e-28	5.63050719115739e-22	0.0969291808487067	0	0	0
Ip6k1	0.0549236396525798	-0.0419744657422842	4.77815001677107e-41	1.59860824387159e-29	0.096898105394864	0	0	0
Sbf2	0.0511918740924614	-0.0456950371275641	1.79087632935099e-245	6.2819638662429e-288	0.0968869112200255	0	0	0
Crls1	0.0589809243984769	-0.0378857594068987	9.87812952439354e-29	1.1887641871008e-19	0.0968666838053756	0	0	0
Sirt4	0.0705792022739151	-0.0262276725588367	1.20967063105848e-23	1.38913161089589e-06	0.0968068748327518	0	0	0
Cbll1	0.0439898422441115	-0.0528151366655761	8.1799051676274e-10	1.87260021052906e-26	0.0968049789096876	0	2	2
Bdnf	0.0543204354876967	-0.0424527140403388	1.94278801398258e-47	1.25241569440034e-75	0.0967731495280355	7	9	2
Yod1	0.0614719766471763	-0.0352990190612692	3.02294265157956e-09	0.000728372449272395	0.0967709957084455	0	1	1
Fam207a	0.0662207086707657	-0.0305255026312875	1.90718021789427e-38	9.57270364250637e-12	0.0967462113020532	0	0	0
Cox6a1	0.0653796561200791	-0.0313461427166996	5.86176900586057e-09	0.00300071759333352	0.0967257988367786	0	0	0
Cdc42ep2	0.0458119349888702	-0.0509111529215931	3.87715900648565e-08	6.57927245222204e-16	0.0967230879104632	0	0	0
Lrig1	0.059110951797504	-0.0376019475701025	2.16512284142772e-132	2.01903508906687e-75	0.0967128993676065	1	3	2
Chrnb2	0.0671055507379485	-0.0296042786169018	3.96339106609207e-27	2.92264753095924e-08	0.0967098293548503	0	2	2
Dipk1a	0.0553325107026453	-0.0413572116985506	4.82678303790193e-56	3.22692907690073e-40	0.0966897224011959	0	0	0
B3gat2	0.0590870392469967	-0.0374461283914315	3.22165503388016e-95	2.49123503089307e-58	0.0965331676384281	2	5	3
Cog5	0.0707680919978579	-0.0257557532476129	4.8151057076211e-306	1.91402759829503e-79	0.0965238452454708	0	0	0
Zcchc2	0.0606411013978103	-0.0358667798634588	1.46403798592225e-66	6.80606432154668e-38	0.0965078812612691	5	5	0
Ogfrl1	0.0671009247743439	-0.029369056856559	3.10125465278594e-58	1.43952098231677e-19	0.0964699816309029	0	2	2
Timp4	0.0736918462592843	-0.0226154108690554	9.37541150098546e-13	0.0129106609815956	0.0963072571283397	1	2	1
Snx32	0.042502495706143	-0.0538015799177018	9.43511282456608e-15	1.82791603661291e-28	0.0963040756238447	0	0	0
Tbc1d8	0.063403667749132	-0.0328946475926329	1.86288729005844e-160	1.08057864939287e-56	0.0962983153417648	3	5	2
Cdiptos	0.0580422550354751	-0.0382359377920048	3.25022819048145e-05	4.91524280858059e-05	0.0962781928274799	0	0	0
2700081O15Rik	0.0358096854234269	-0.0604253052063475	0.015385131278551	1.35019934168787e-06	0.0962349906297744	0	0	0
Rab3c	0.0666355712797881	-0.0295528251613761	4.8151057076211e-306	8.20944809469243e-81	0.0961883964411642	3	7	4
Aftph	0.0493746573639635	-0.0467404099825873	1.77529207285872e-38	1.34954092699081e-47	0.0961150673465508	1	1	0
Raly	0.0559227325950991	-0.0401442228801068	8.7772542033816e-49	8.93265711568962e-30	0.0960669554752059	1	0	-1
Supt4a	0.0466284306604495	-0.0493483269417231	2.65938400336528e-09	1.02670483516445e-18	0.0959767576021726	0	0	0
Apln	0.0596459799861925	-0.0362716846437842	4.69283268685759e-05	0.000729702607096964	0.0959176646299767	1	1	0
Tdp2	0.0533409122746545	-0.0425256277714628	2.55936032874585e-11	9.05806844535831e-10	0.0958665400461173	0	0	0
Zfp398	0.0551748271651163	-0.040679052295784	4.81087769314024e-30	3.81551150694129e-24	0.0958538794609003	0	0	0
Rabl6	0.0593703853659692	-0.0364777156521981	1.12730000007959e-22	2.47524065745955e-12	0.0958481010181672	0	0	0
Scrn1	0.0624226166693127	-0.0333423567531049	5.51614648535295e-86	5.98429634842326e-30	0.0957649734224176	0	0	0
Mblac2	0.0461884904554573	-0.0495164405319485	1.57320069795856e-27	3.49494732187756e-59	0.0957049309874058	1	0	-1
Dnaja1	0.0530172557565732	-0.0426379480030243	1.28211324283951e-09	6.92182476558543e-09	0.0956552037595975	0	0	0
Pspn	0.0546467686002717	-0.0409842624535388	0.0184659264894639	0.0413091860420165	0.0956310310538106	0	0	0
Hyal1	0.075060074966161	-0.0205513199540164	1.95831359801006e-10	0.0364823386396675	0.0956113949201775	0	0	0
Armcx5	0.0554011240282621	-0.0402039786391302	1.19467096066585e-06	1.30880774194209e-06	0.0956051026673923	0	0	0
AC160405.1	0.045997212668601	-0.0495971736266052	5.74984965263239e-10	1.17936741821106e-13	0.0955943862952062	0	0	0
1700025G04Rik	0.0628224610672886	-0.0327439834859851	4.8151057076211e-306	2.5153358983795e-120	0.0955664445532737	6	7	1
Alkbh6	0.0616611827197165	-0.0338969597030797	1.2094787931103e-13	1.07630021672222e-08	0.0955581424227962	0	0	0
Csnk2b	0.051784196095783	-0.0437449531949332	1.8105635489134e-06	4.46656422690919e-07	0.0955291492907162	0	0	0
Negr1	0.0564542114079826	-0.0390463753999012	4.8151057076211e-306	7.9909619884712e-263	0.0955005868078838	1	1	0
Hsf1	0.0467033052191118	-0.0487950288701304	5.67647174411618e-14	1.49630549248256e-20	0.0954983340892422	0	0	0
Cdkn2aip	0.0408874694799807	-0.0546006488025118	0.000164588041114389	2.48983976886293e-14	0.0954881182824925	0	0	0
Irs2	0.0630049814680861	-0.0324623645637033	8.08850492256201e-32	5.74007798633286e-11	0.0954673460317895	1	3	2
C1galt1c1	0.0474875993269586	-0.0479683979562467	0.0451650205642154	8.89243434454498e-06	0.0954559972832053	0	0	0
Tbl1xr1	0.0543869649945202	-0.0410678650691114	2.95392024484219e-111	9.18069897007073e-76	0.0954548300636316	5	7	2
Zfp292	0.0528783895496215	-0.0424737061629275	2.01743314240293e-73	1.67910109503935e-57	0.095352095712549	1	1	0
Osgin2	0.0570846335236097	-0.0382183720256193	1.38250668171567e-20	1.17961840828987e-14	0.095303005549229	0	1	1
Skp1a	0.0488552828091103	-0.0464462207236401	3.42147189264577e-10	7.47845032860933e-14	0.0953015035327505	0	0	0
Pcsk2	0.0510667620946965	-0.0442277833703735	4.77071554025355e-186	2.60515209538169e-208	0.09529454546507	1	0	-1
Zc3h7b	0.0519470547834107	-0.0433112651849157	7.61503527497366e-54	5.54129364452015e-51	0.0952583199683263	0	0	0
Dhx32	0.0708322514064931	-0.0244193748925094	1.73406465257295e-109	6.60011199113435e-19	0.0952516262990025	1	2	1
Usp46	0.0666375446029002	-0.0285914740414081	9.33005194508992e-109	1.43235095729893e-25	0.0952290186443083	3	5	2
Cdh15	0.0758162092878805	-0.0193560340971021	5.95741627833529e-30	0.000346289676599634	0.0951722433849826	1	2	1
Nr1d2	0.0560662947127086	-0.0390196079688873	7.21899048477643e-36	1.25831362728842e-19	0.0950859026815959	1	1	0
Natd1	0.0708078122252785	-0.0242406759842252	7.63131407291583e-19	0.00137572963566096	0.0950484882095037	0	0	0
Fmnl1	0.0684851874559701	-0.0265373205257389	1.57093129248603e-35	2.20466406768388e-08	0.095022507981709	1	1	0
Mul1	0.057561318793712	-0.0374609847076168	1.65062654776216e-15	4.52154699745634e-12	0.0950223035013288	0	0	0
Abca2	0.0632284652788657	-0.0317642650982527	1.51848092864565e-26	4.71026694363462e-10	0.0949927303771184	2	1	-1
Ndufb3	0.0644232450679526	-0.0305633033221635	4.71548929841303e-14	1.67188755094274e-07	0.0949865483901161	0	0	0
Gdi2	0.0576856800662608	-0.0372998309251874	9.6737285682429e-34	7.63079769041157e-20	0.0949855109914482	0	0	0
Amigo3	0.048979630630508	-0.0459335156426136	0.000818606305777155	0.000326911770999068	0.0949131462731217	0	0	0
Tpk1	0.0514645629158759	-0.0434484162094557	8.00761112887819e-243	4.98136935368049e-256	0.0949129791253316	1	1	0
Bcl2l2	0.0482719125077392	-0.0466369503256427	9.96657408911262e-05	1.8641715077245e-06	0.094908862833382	0	0	0
Dynlt1a	0.0722101802654626	-0.0226695702126834	4.51044218059205e-12	0.0153997691792541	0.0948797504781459	2	2	0
Ppp6r1	0.0584080833447165	-0.0364370819792687	2.0258085671784e-21	3.87452825907097e-12	0.0948451653239852	0	0	0
Rimkla	0.0608227144786019	-0.0340179338414545	2.27019413876382e-39	8.08311094389321e-17	0.0948406483200563	0	0	0
Rmnd5a	0.0600994142136936	-0.0347025839781288	1.00825306494707e-53	3.94141162769517e-22	0.0948019981918224	0	0	0
Gpr75	0.0500430806926796	-0.0447491227448431	3.5278556861001e-05	3.2441724205174e-06	0.0947922034375227	0	0	0
Hspa9	0.0549139338128578	-0.0398289659706754	1.21803792069318e-15	2.94306800533721e-15	0.0947428997835332	0	1	1
Mtss2	0.049687329103697	-0.0450021604995427	2.9648886967743e-11	3.35567573338884e-12	0.0946894896032397	4	4	0
Syt9	0.0630426227206178	-0.0315932070668333	1.50626946717083e-178	2.71046337219024e-54	0.0946358297874511	1	1	0
Akap1	0.0532315260682459	-0.0413926958036109	2.27173971202077e-39	3.22068931353178e-39	0.0946242218718568	1	1	0
Nsmce4a	0.0513279921570342	-0.0430650789165116	4.80727972942505e-42	2.33481197537057e-51	0.0943930710735458	0	0	0
Slc41a1	0.0624512817391863	-0.0318770290204981	6.83604036448563e-23	2.3505175916973e-08	0.0943283107596845	3	3	0
1700086D15Rik	0.0561935637331304	-0.0380686055238199	4.14060586406514e-09	2.90093945573531e-05	0.0942621692569503	0	0	0
Slc22a4	0.0681659114090549	-0.0259784067672443	6.22754822800237e-50	3.406869656252e-11	0.0941443181762993	1	1	0
Tmem181a	0.0539549140805006	-0.0401254464596347	5.06303256761327e-27	7.30090334439899e-20	0.0940803605401353	0	0	0
Chchd5	0.0545549452303156	-0.0395217580355249	1.37808405860984e-06	1.14932980670005e-06	0.0940767032658405	0	0	0
Krba1	0.0636278036877589	-0.0304000427237166	4.00737769317621e-25	1.07630021672222e-08	0.0940278464114755	1	1	0
Fam13a	0.0534915429935786	-0.0405348499183266	1.32389874079507e-70	2.54578769906737e-70	0.0940263929119052	0	1	1
Akirin2	0.0597170917525023	-0.0342008068617082	2.68694633507723e-15	6.60103957325175e-06	0.0939178986142105	1	1	0
Pcf11	0.0552162460381254	-0.0386623610664442	1.90350395876216e-19	8.00119752589597e-12	0.0938786071045696	0	0	0
Emilin3	0.0600084300052574	-0.0338555695975425	1.14293684768726e-06	0.00687823715384137	0.0938639996027999	3	4	1
Usp30	0.0578855591396502	-0.0359659193900868	2.77666184844868e-85	6.21510005312086e-54	0.093851478529737	0	0	0
Nfib	0.0700950392548942	-0.0237294096850187	4.8151057076211e-306	9.00715061095554e-104	0.0938244489399129	6	9	3
Rcbtb1	0.0579357314510653	-0.035883424950961	2.86181775057387e-42	6.38464821791024e-28	0.0938191564020264	0	1	1
Dock9	0.0525613787866661	-0.0412154686035687	1.50288070575937e-271	1.13762102254057e-224	0.0937768473902348	1	2	1
Nxn	0.0633525845195682	-0.0303512823225399	2.36861406771265e-200	1.41392261722227e-54	0.093703866842108	1	0	-1
Psip1	0.0554496209787184	-0.0382493226700556	3.32454065583626e-34	1.32511681852437e-20	0.093698943648774	0	0	0
Ndufa5	0.0679702006395229	-0.0257234664899579	2.77179057267215e-17	0.000125522928733979	0.0936936671294808	0	0	0
Ccer2	0.0400854545661272	-0.0535841293158028	0.00705627690201168	3.58553112378918e-07	0.09366958388193	0	0	0
Ap3d1	0.0564655008494716	-0.0371147137765423	1.82418596843966e-28	6.85229893665852e-18	0.0935802146260138	0	0	0
Bola3	0.0626801765263745	-0.030898383066227	4.08217230405103e-19	2.92011931558954e-08	0.0935785595926015	1	0	-1
Riox1	0.0579248582571708	-0.0356395828645914	0.00016079973559728	0.00686674318237343	0.0935644411217622	0	0	0
Tpd52	0.051823728092392	-0.041726045977984	1.75368407824512e-93	7.22792014405323e-87	0.093549774070376	0	1	1
Pfn1	0.053880716892607	-0.0396437959384275	0.00153606992039779	0.0323315415590905	0.0935245128310345	0	0	0
Hdhd3	0.0536839952055617	-0.0398110990449494	1.03290627842583e-06	7.79466028171528e-06	0.0934950942505111	0	0	0
Tmem60	0.0456391256610706	-0.0478417401529817	3.99149763163647e-05	6.09247937305586e-08	0.0934808658140523	0	1	1
Prune1	0.0683811952275787	-0.02503258680727	1.2922175218426e-50	4.8290871427306e-10	0.0934137820348487	0	0	0
Nudt18	0.0485118370881475	-0.0447708823779183	0.000166753987775626	9.79860288723367e-07	0.0932827194660658	1	2	1
Gabrb2	0.0566644561697923	-0.0365916049049594	3.39438651588705e-139	2.26323968384352e-63	0.0932560610747518	0	1	1
Thap12	0.0513288148689317	-0.041912172425028	1.12392778812529e-14	7.59697425912698e-18	0.0932409872939597	1	1	0
Cxxc4	0.0572776699093182	-0.0359442032038692	1.0006169263678e-27	1.19676955163051e-21	0.0932218731131873	0	1	1
Epn2	0.0632262798608103	-0.0299835353886226	2.73286178181397e-51	1.97697972504012e-13	0.0932098152494328	0	0	0
Cblb	0.0538419879138967	-0.0393370128807112	2.26674090087969e-211	2.62590198920703e-142	0.0931790007946079	6	5	-1
Rab3d	0.0566332594024157	-0.0365233958625095	2.57704392085518e-11	2.72038998296919e-07	0.0931566552649252	0	0	0
Dnajc7	0.0535417516256635	-0.039565923874891	1.61169225007424e-41	7.43427804288201e-33	0.0931076755005546	0	0	0
Klhdc4	0.0492815458293318	-0.0437562204809628	6.57852687058843e-28	9.99954272104345e-34	0.0930377663102945	2	1	-1
Hnrnpm	0.0538224002988735	-0.0392019260643944	3.38819069122896e-33	7.13025978876455e-26	0.093024326363268	0	0	0
Xpo4	0.0464601874151629	-0.0464892514048123	2.19358850164937e-66	3.95331309210832e-96	0.0929494388199752	0	0	0
Gpr87	0.0468752727478792	-0.0460536151165835	5.64640298844531e-25	1.90144464060005e-30	0.0929288878644627	0	0	0
Rpl31	0.0553138605088804	-0.0375987379571454	8.3116222140635e-08	3.2922753001989e-08	0.0929125984660258	2	2	0
Kcnmb4	0.0515536324967995	-0.0412254019070359	8.19381367145641e-82	3.29204371268059e-66	0.0927790344038354	0	1	1
Adam11	0.0690042620814335	-0.023752560726181	5.86128645530467e-16	0.00299335469517073	0.0927568228076145	3	1	-2
Cadm2	0.0543882332185507	-0.0383545589960684	4.8151057076211e-306	7.07674626726131e-306	0.0927427922146191	1	8	7
Ndufa7	0.065327009667635	-0.0273729576980787	1.70731818712759e-19	4.97514628838121e-08	0.0926999673657137	0	0	0
Ncoa4	0.0530630168689109	-0.0396320977744635	2.61808964740359e-16	1.13892142910524e-13	0.0926951146433744	0	0	0
Gm50478	0.0535813818978366	-0.0390958515788327	5.43637788062821e-06	3.15120920916941e-06	0.0926772334766693	0	0	0
Abt1	0.0512286341366803	-0.0414000476393288	1.10318999047701e-06	2.94158700793879e-07	0.0926286817760092	1	1	0
Ubap1	0.0467348344409065	-0.0457929435126715	5.49095633994198e-28	4.77785880164551e-35	0.092527777953578	0	0	0
Smim12	0.0534435751279259	-0.0390108557437457	7.54727007563383e-05	0.000162059989466078	0.0924544308716716	1	1	0
Atp5pb	0.050465638991685	-0.0419656289392116	1.93654468528197e-10	5.45076794434179e-10	0.0924312679308966	0	0	0
Coro2a	0.0505590346121242	-0.041855312595948	1.11023666735328e-68	3.43193003477189e-64	0.0924143472080722	6	4	-2
2510002D24Rik	0.0551856192942703	-0.0372051623276317	0.000292286509687424	0.00548102317633454	0.0923907816219021	0	0	0
Hgd	0.0807522108117853	-0.011571969056218	2.59844992766276e-115	0.000188338046425042	0.0923241798680033	0	2	2
Stk35	0.0649278862997137	-0.0273498130323689	9.90228945768827e-31	2.79046280301257e-07	0.0922776993320826	0	2	2
Tmem250-ps	0.0648800444582253	-0.0273969319454485	2.88851170789691e-07	0.00476882472842869	0.0922769764036738	0	0	0
Tmem63c	0.0605253527624333	-0.0317345068649304	7.19116751861983e-59	2.51579067010111e-22	0.0922598596273636	2	2	0
Chl1	0.0576023955145132	-0.0346508040653259	4.11176554127592e-183	1.41444680418135e-94	0.0922531995798391	3	4	1
Smc5	0.0528237550899888	-0.0394018779136929	1.41622875124557e-83	4.10085934255128e-69	0.0922256330036818	0	0	0
Ciart	0.0605579665065126	-0.0316485973850176	4.48102983875926e-05	0.0113236002054742	0.0922065638915302	0	1	1
Pi4k2a	0.0502216297207045	-0.041980008074842	2.86889006327881e-32	4.13883197975761e-37	0.0922016377955466	0	0	0
Slc9a5	0.0576876355036264	-0.03447419215467	6.56633935491759e-28	3.23538597264182e-17	0.0921618276582964	1	0	-1
Znrf3	0.0469014321734856	-0.0452441867361838	8.77217402447331e-81	1.50964476203087e-111	0.0921456189096695	1	2	1
Il20rb	0.0751685274988723	-0.0169716033312747	1.06730480194276e-56	0.000140249456580824	0.092140130830147	0	2	2
Arfgap2	0.0520018217729153	-0.0401377407292822	1.64607157204766e-10	1.28643449603189e-09	0.0921395625021975	0	0	0
Ythdf3	0.0514494722087246	-0.0406787455362785	7.88748733277226e-19	8.95720801918586e-15	0.0921282177450031	0	0	0
Atf2	0.0505180114443099	-0.0415968766390442	3.49450184781886e-42	8.48442268318838e-40	0.0921148880833541	0	0	0
Pkp4	0.0572910250701929	-0.0347275042499031	9.74147216522723e-241	1.01714001978807e-109	0.092018529320096	1	3	2
Twsg1	0.0513714344322571	-0.0406428930849399	1.50453771205496e-34	9.10056587098583e-30	0.092014327517197	0	1	1
Sergef	0.0678282800475941	-0.0241782124283155	4.8151057076211e-306	1.57600329004057e-51	0.0920064924759096	0	2	2
Arl6	0.051154342208606	-0.0408352498318401	4.49036790722287e-22	5.68880961075506e-27	0.0919895920404462	0	2	2
Clmp	0.0586249762035771	-0.0333639233863841	7.92595363689607e-122	5.94560856724757e-58	0.0919888995899612	0	0	0
Mob1b	0.049838756555898	-0.042072099557101	3.19455586341333e-30	5.48611517167164e-28	0.091910856112999	0	0	0
Zfp949	0.0531867048662198	-0.0386890377975232	1.89171007912797e-21	3.58623371150288e-17	0.091875742663743	0	0	0
Cerk	0.053162159488054	-0.0386860815632443	3.08221626812962e-51	6.80606432154668e-38	0.0918482410512983	1	1	0
Fam184a	0.0533299701388465	-0.0385052998735221	2.79111865318375e-123	3.35808364340534e-102	0.0918352700123687	2	2	0
Atp6v0e2	0.0449916639980343	-0.0468433278521286	0.0141590699548931	0.00199961116360065	0.091834991850163	0	0	0
Setd3	0.0424863404467747	-0.0493412335970782	1.25253735234733e-36	3.85346895342274e-69	0.0918275740438529	0	0	0
Gas7	0.0552440394809235	-0.0364944819534014	1.44974524438241e-212	1.46952465532504e-126	0.0917385214343249	1	2	1
Prdm10	0.0653366731902114	-0.0263977304773597	4.30785846737192e-151	5.32074520309819e-35	0.0917344036675711	0	0	0
Pcbp4	0.0693373601933246	-0.0223798278139621	1.18046701566149e-11	0.0408520263946858	0.0917171880072867	0	1	1
Malsu1	0.0498530716771739	-0.0418501011591542	8.71369801539555e-12	3.6634967479202e-11	0.0917031728363281	1	1	0
Tmem70	0.0525041221637057	-0.0390838514158881	3.00414946849365e-11	3.6142924798431e-10	0.0915879735795938	0	0	0
Fnip1	0.0508506581446744	-0.0407248780496945	2.71585829624953e-46	2.72180887566158e-40	0.0915755361943689	0	0	0
Med25	0.0491658245477895	-0.0423998185030776	7.66849631951318e-19	1.2799321124769e-25	0.0915656430508671	0	0	0
Pcmtd2	0.0511063456032163	-0.0403969812054023	1.52129336423465e-13	1.05192241141451e-12	0.0915033268086186	0	0	0
Ldlrad4	0.0659254524540464	-0.0255313899299223	4.8151057076211e-306	1.11144222180122e-98	0.0914568423839687	1	3	2
Pspc1	0.0460840821355852	-0.0453663569394189	1.19544274667557e-32	4.56384753586838e-39	0.0914504390750041	0	0	0
Gtpbp1	0.0581583897528887	-0.033205178575141	6.95797250368087e-35	5.74475101324218e-18	0.0913635683280297	1	0	-1
Wrnip1	0.0486248373125134	-0.042729292522295	9.17042979934046e-15	4.54312179333724e-16	0.0913541298348085	0	1	1
Slc16a10	0.051698709116379	-0.0396330047105951	9.87529676909836e-98	4.80752618063193e-80	0.091331713826974	1	1	0
Fbxw2	0.046523140119677	-0.0447901581095926	3.30598507933466e-11	1.72990075869785e-13	0.0913132982292695	0	0	0
Smim15	0.0708930803791875	-0.0204167149477903	2.3593831626318e-12	0.00454028760477905	0.0913097953269778	0	4	4
Sftpc	0.0573447555181237	-0.0339634027239838	3.2959059753349e-07	0.000826307531170713	0.0913081582421075	0	1	1
Dedd	0.054648517677509	-0.0366303846865527	4.89412638685463e-15	2.24900705385336e-10	0.0912789023640617	0	0	0
Rab9	0.0491810392689196	-0.0420861837222498	5.21570843364173e-11	3.29963898406969e-12	0.0912672229911694	0	0	0
Selenok	0.0595601914234903	-0.0316985014637108	1.33132256068309e-12	1.49657287015774e-06	0.0912586928872011	0	0	0
Cisd1	0.0478051333975797	-0.0434439723778952	7.48309601639398e-17	1.4930722370647e-19	0.0912491057754749	0	0	0
Cnih1	0.0533297617669717	-0.0378952083030291	9.14657903700126e-19	9.8659502123763e-16	0.0912249700700008	0	0	0
Efnb1	0.0497032638797954	-0.0414962141463734	0.00490406253069853	0.000582243832489422	0.0911994780261688	5	5	0
Psmd4	0.0509415642929273	-0.0401965906328563	9.92652684113236e-11	3.40533852902921e-10	0.0911381549257836	0	0	0
Mapk1ip1l	0.0568323290105006	-0.034208379603963	6.63812568015464e-33	6.09192205182086e-16	0.0910407086144636	1	1	0
Doc2g	0.039377989645653	-0.0516617572390729	0.0146066694680781	5.53077096201408e-06	0.0910397468847259	1	1	0
Rlf	0.0493652679920894	-0.041659784678257	3.70758943144994e-60	2.14246455740651e-56	0.0910250526703464	0	0	0
Aifm3	0.0527448757378457	-0.0382630479854285	1.45069681320817e-13	2.39626777838779e-10	0.0910079237232742	0	1	1
Cd47	0.0658957006494046	-0.0250884727932475	7.85885932694508e-157	2.15678504604229e-29	0.0909841734426521	7	12	5
Ttc30a2	0.0561401387792103	-0.0347985027961273	0.00581507498960313	0.0145376229778189	0.0909386415753376	0	0	0
Dnajb9	0.0383992031325192	-0.052504986966851	0.0015326751567322	3.65158900794849e-08	0.0909041900993702	0	0	0
Leo1	0.0493825199001278	-0.0415089379895182	1.2132389637071e-34	3.41239152745929e-37	0.090891457889646	0	0	0
Sgpp2	0.048924232910907	-0.0419653932179215	8.98802137534553e-86	4.75791260339616e-80	0.0908896261288285	1	2	1
Mgst3	0.0515681505234692	-0.0392958101459362	5.85116711433724e-21	9.00683481627169e-18	0.0908639606694054	0	0	0
Ptpn23	0.0495486032081915	-0.041246542934116	2.58063871707426e-21	4.00810309662157e-21	0.0907951461423075	0	0	0
Scnm1	0.0508341742922976	-0.0399599502291931	6.60579489264213e-06	9.12371982640639e-07	0.0907941245214907	0	0	0
Emc7	0.0527217083192145	-0.0380512509124543	1.45179053166523e-16	1.42138403455234e-12	0.0907729592316688	0	0	0
