Gene_Name	mean_ctrl_pc1	mean_mut_pc1	n_bins	ctrl_label	mc_diff	mc_sig	mc_direction	hmc_diff	hmc_sig	hmc_direction
Shh	0.140333333333333	0.27175	4	A.1	0.0204068235061298	TRUE	Hypermethylated	0.00834156722373631	TRUE	Hypermethylated
Shisa2	1.22757142857143	1.08719047619048	7	A.1	-0.0385371563134291	TRUE	Hypomethylated	0.0234128888198558	TRUE	Hypermethylated
Shisa3	-0.214	-0.302333333333333	2	A.1	0.00374768033493345	FALSE	Hypermethylated	-0.0220431256353285	TRUE	Hypomethylated
Shisa6	-1.19686666666667	-1.19546666666667	5	B.2	-0.00241716316684848	FALSE	Hypomethylated	0.00327618293088021	TRUE	Hypermethylated
Shisa8	1.52933333333333	1.53833333333333	1	A.1	0.0706146807603968	TRUE	Hypermethylated	-0.000902558471736425	FALSE	Hypomethylated
Shisa9	-0.915055555555555	-0.9065	6	B.2	-0.00559036204488572	TRUE	Hypomethylated	0.00509216178394421	TRUE	Hypermethylated
Shisal1	0.75	1.28272222222222	6	A.2	-0.0348504961021675	TRUE	Hypomethylated	0.0389122192891263	TRUE	Hypermethylated
Shld1	1.067	0.954833333333331	2	A.1	0.0895581815569854	TRUE	Hypermethylated	-0.00598787563392178	FALSE	Hypomethylated
Shoc1	-0.236833333333334	-0.274833333333333	2	A.1	-0.000494099819069227	FALSE	Hypomethylated	-0.00174058281676151	FALSE	Hypomethylated
Shoc2	0.853666666666669	0.838444444444446	3	A.1	0.0364652017201157	TRUE	Hypermethylated	-0.033242557250059	TRUE	Hypomethylated
Shox2	-0.907611111111112	-0.913222222222222	6	B.1	-0.0202649890495409	TRUE	Hypomethylated	0.00041865602881689	FALSE	Hypermethylated
Shpk	0.139	0.0373333333333333	1	A.2	-0.00228883093948451	FALSE	Hypomethylated	0.0110093888588388	TRUE	Hypermethylated
Shprh	0.761666666666667	0.642666666666667	1	A.2	0.040462177731191	TRUE	Hypermethylated	-0.039492288893416	TRUE	Hypomethylated
Shq1	0.322666666666667	0.490333333333334	2	A.2	-0.0206926001493679	TRUE	Hypomethylated	0.00189514604963906	FALSE	Hypermethylated
Shroom2	0.220333333333333	0.360555555555556	3	NA	-0.0153543427733105	TRUE	Hypomethylated	0.0011247316450005	FALSE	Hypermethylated
Shroom3	-0.126833333333333	-0.202916666666667	4	B.1	-0.00202578266736697	FALSE	Hypomethylated	-0.00571256692592449	TRUE	Hypomethylated
Shroom4	-0.490466666666667	-0.159733333333333	5	NA	-0.0193109095392477	TRUE	Hypomethylated	0.010516629708029	TRUE	Hypermethylated
Shtn1	0.0540833333333333	0.173833333333333	4	A.2	-0.0160606941928555	TRUE	Hypomethylated	0.00480696448470713	TRUE	Hypermethylated
Siah1a	1.43966666666667	1.482	1	A.1	0.00248607396182671	FALSE	Hypermethylated	-0.0187033624586308	TRUE	Hypomethylated
Siah1b	1.43233333333333	1.436	1	NA	-0.000853260096223774	FALSE	Hypomethylated	-0.00753583079816109	FALSE	Hypomethylated
Siah2	1.647	1.582	1	A.1	0.0669740311901356	TRUE	Hypermethylated	0.00374314853602431	FALSE	Hypermethylated
