gene	modification	shallow_q	deep_q	shallow_effect	deep_effect	shallow_coverage	deep_coverage	status
Rrm2	5mC	0.0534191212857008	0.0485996976109576	-0.0192760042522147	-0.0192760042522147	19.2038834951456	19.2038834951456	Newly significant
Clpp	5mC	0.0534873377993943	0.0486282777552059	0.0206685065455917	0.0206685065455917	16.8779761904762	16.8779761904762	Newly significant
Gkn3	5mC	0.0500600624946486	0.0488050897010263	0.021523243653137	0.021523243653137	17.858024691358	17.858024691358	Newly significant
Fam92a	5mC	0.0509737239725125	0.0489609345669534	0.0136765667398069	0.0136765667398069	25.1260775862069	25.1260775862069	Newly significant
Olfr9	5mC	0.0525802445708306	0.0491612772033388	-0.0435746709829036	-0.0435746709829036	17.2980769230769	17.2980769230769	Newly significant
Olfr724	5mC	0.0508873283256025	0.0493847602269253	0.0414786277720914	0.0414786277720914	27.2125	27.2125	Newly significant
Lce1m	5mC	0.0550893781439231	0.0494507799844023	-0.0356531711284357	-0.0356531711284357	14.2083333333333	14.2083333333333	Newly significant
Olfr1269	5mC	0.052752841766561	0.0495088517270998	-0.0435518136231882	-0.0435518136231882	25.0909090909091	25.0909090909091	Newly significant
Prss8	5mC	0.0510888258451604	0.0495248665372298	0.0290264753949127	0.0290264753949127	14.5345744680851	14.5345744680851	Newly significant
Rtel1	5mC	0.0514841260101803	0.0495772272514426	0.00831997534985984	0.00831997534985984	17.9271172638436	17.9271172638436	Newly significant
Ap5z1	5mC	0.0573903372850741	0.0497764712984466	0.0150070973943048	0.0150070973943048	14.8907232704403	14.8907232704403	Newly significant
Fcgr3	5mC	0.0507712657081149	0.0498244395886832	-0.0106298864591083	-0.0106298864591083	22.7262195121951	22.7262195121951	Newly significant
Angptl1	5mC	0.051271407296257	0.0499847456356954	-0.0100336454050625	-0.0100336454050625	21.8385167464115	21.8385167464115	Newly significant
Ska1	5mC	0.0501263023816687	0.0499904746672263	-0.0105031928411856	-0.0105031928411856	19.6713709677419	19.6713709677419	Newly significant
Syp	5hmC	0.142212928808581	0.00641549878296913	-0.0253929949463572	-0.0253929949463572	14.365099009901	14.365099009901	Newly significant
Gprasp2	5hmC	0.0547127530677686	0.0138345984760347	-0.0268143390862279	-0.0268143390862279	17.2173913043478	17.2173913043478	Newly significant
Magee1	5hmC	0.119367478419953	0.0169588800024986	-0.0358669961542228	-0.0358669961542228	15.4970238095238	15.4970238095238	Newly significant
Klhl34	5hmC	0.0506905647075513	0.0204562273205089	-0.0682863583429992	-0.0682863583429992	11.2946428571429	11.2946428571429	Newly significant
Tfe3	5hmC	0.10360132684255	0.0214431283018579	-0.0114549631725898	-0.0114549631725898	13.6811594202899	13.6811594202899	Newly significant
Ptchd1	5hmC	0.155680952067826	0.0257719759813281	-0.0137539567548974	-0.0137539567548974	19.3177860696517	19.3177860696517	Newly significant
Ebp	5hmC	0.152621250423733	0.0273507194442066	-0.0160158000347348	-0.0160158000347348	15.0075757575758	15.0075757575758	Newly significant
Tspyl2	5hmC	0.110135020853289	0.0304832354573465	-0.0232163105069124	-0.0232163105069124	15.8298611111111	15.8298611111111	Newly significant
Timp1	5hmC	0.0636434170610787	0.0308456531338835	-0.0307186929684524	-0.0307186929684524	14.2403846153846	14.2403846153846	Newly significant
Araf	5hmC	0.130929565342522	0.0335223137102025	-0.00788673354145281	-0.00788673354145281	15.9561503416856	15.9561503416856	Newly significant
Nyx	5hmC	0.155607127383493	0.0343253165626618	-0.0209051734590151	-0.0209051734590151	13.7186073059361	13.7186073059361	Newly significant
Uxt	5hmC	0.144803791447602	0.035654199406366	-0.0125004368750058	-0.0125004368750058	17.0292338709677	17.0292338709677	Newly significant
Hdac6	5hmC	0.050031762269094	0.0363210476210985	-0.0068397782790549	-0.0068397782790549	15.1472701149425	15.1472701149425	Newly significant
Magee2	5hmC	0.0709597393053274	0.036690421015756	0.0225422175033104	0.0225422175033104	13.8947368421053	13.8947368421053	Newly significant
Amer1	5hmC	0.052700208312094	0.0370163959969398	-0.0109252259648588	-0.0109252259648588	16.544776119403	16.544776119403	Newly significant
Sowaha	5hmC	0.0530068165678265	0.0372242350292944	-0.0274851587199821	-0.0274851587199821	18.8897058823529	18.8897058823529	Newly significant
Tas2r143	5hmC	0.0511489561877016	0.0378265307227039	-0.0523492882450707	-0.0523492882450707	15.4444444444444	15.4444444444444	Newly significant
Elk1	5hmC	0.166027168243275	0.0419156549575071	-0.0197589684293844	-0.0197589684293844	16.6237244897959	16.6237244897959	Newly significant
Foxo4	5hmC	0.102594837113635	0.0426121807002099	-0.00773351325231704	-0.00773351325231704	13.5875	13.5875	Newly significant
Fam50a	5hmC	0.0514872655089696	0.0450680435057845	-0.017674453659141	-0.017674453659141	14.0625	14.0625	Newly significant
H1f1	5hmC	0.079425314523684	0.0461229473336204	-0.0336902160488001	-0.0336902160488001	13.9464285714286	13.9464285714286	Newly significant
Jmjd7	5hmC	0.0532030083239413	0.0462831977958642	-0.0178027275956748	-0.0178027275956748	15.6875	15.6875	Newly significant
Olfr993	5hmC	0.0579589328164993	0.046322741838599	0.0362743395132836	0.0362743395132836	26.05	26.05	Newly significant
Camp	5hmC	0.0539171701244351	0.0468264600286926	-0.0120706007269894	-0.0120706007269894	15.6488095238095	15.6488095238095	Newly significant
Ppp1r3d	5hmC	0.0512736897861173	0.0472616142873771	0.0212691069132346	0.0212691069132346	19.6067708333333	19.6067708333333	Newly significant
Grcc10	5hmC	0.0563567469358134	0.0473603177029528	-0.0302031689455841	-0.0302031689455841	15.8275862068966	15.8275862068966	Newly significant
Rpp25	5hmC	0.0536012022416054	0.047932630971237	0.0293973731449954	0.0293973731449954	15.8970588235294	15.8970588235294	Newly significant
Arhgap4	5hmC	0.119005166237657	0.0486162790855752	-0.0067331775914079	-0.0067331775914079	13.7156735751295	13.7156735751295	Newly significant
Mbnl3	5hmC	0.0555572885454144	0.0486551424843393	0.00394525653612056	0.00394525653612056	19.0629588839941	19.0629588839941	Newly significant
Xkrx	5hmC	0.0531622698851356	0.0487852442957363	-0.00584610988001139	-0.00584610988001139	16.6666666666667	16.6666666666667	Newly significant
Hrh3	5hmC	0.0514457584673651	0.0488716817747705	-0.0199501248786622	-0.0199501248786622	14.0725806451613	14.0725806451613	Newly significant
Vcam1	5hmC	0.0528504498415211	0.0493146125730333	0.00614565448574375	0.00614565448574375	22.3389945652174	22.3389945652174	Newly significant
Olfr553	5hmC	0.0502571033156155	0.0495277962998778	0.0103315132153866	0.0103315132153866	24.1019736842105	24.1019736842105	Newly significant
Klk1b21	5hmC	0.050358003308778	0.0495955416848377	0.0193487157164897	0.0193487157164897	16.4191176470588	16.4191176470588	Newly significant
Olfr1209	5hmC	0.0502571033156155	0.0495955416848377	-0.00519218431106182	-0.00519218431106182	25.975	25.975	Newly significant
1700093K21Rik	5hmC	0.0529737641552637	0.0496167904320274	-0.0112605952908188	-0.0112605952908188	20.9470338983051	20.9470338983051	Newly significant
Nfe2l3	5hmC	0.0501151578683348	0.0498941319618631	-0.00858170429192273	-0.00858170429192273	19.2074795081967	19.2074795081967	Newly significant
Xkr9	5hmC	0.0502394358061033	0.049942972359596	0.00554610799383294	0.00554610799383294	23.9175675675676	23.9175675675676	Newly significant
