ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0051645	Golgi localization	4/1938	15/28832	0.266666666666667	3.9672514619883	3.08570666029098	0.0152594974008514	0.0852624417272573	0.0651772054975637	Golga2/Ywhaz/Stk11/Pdcd10	4
GO:1903897	regulation of PERK-mediated unfolded protein response	4/1938	15/28832	0.266666666666667	3.9672514619883	3.08570666029098	0.0152594974008514	0.0852624417272573	0.0651772054975637	Nck1/Hspa5/Akt3/Nck2	4
GO:1903670	regulation of sprouting angiogenesis	8/1938	49/28832	0.163265306122449	2.42892946652345	2.68732283446511	0.0156753874755788	0.0872263822499393	0.0666785014074475	Jmjd8/Clic3/Ghrl/Epn2/Fgf1/Hif1a/Cemip2/Epn1	8
GO:0006779	porphyrin-containing compound biosynthetic process	6/1938	31/28832	0.193548387096774	2.87945670628183	2.81053131494038	0.0157460807055905	0.0872263822499393	0.0666785014074475	Sptb/Slc25a39/Rsad1/Urod/Alad/Snx3	6
GO:0030325	adrenal gland development	6/1938	31/28832	0.193548387096774	2.87945670628183	2.81053131494038	0.0157460807055905	0.0872263822499393	0.0666785014074475	Nr3c1/Ly6e/Apoa1/Arid5b/Crhr1/Insm1	6
GO:0032367	intracellular cholesterol transport	6/1938	31/28832	0.193548387096774	2.87945670628183	2.81053131494038	0.0157460807055905	0.0872263822499393	0.0666785014074475	Ldlrap1/Arl8b/Abca2/Osbpl2/Ldlr/Nus1	6
GO:0033014	tetrapyrrole biosynthetic process	6/1938	31/28832	0.193548387096774	2.87945670628183	2.81053131494038	0.0157460807055905	0.0872263822499393	0.0666785014074475	Sptb/Slc25a39/Rsad1/Urod/Alad/Snx3	6
GO:0034311	diol metabolic process	6/1938	31/28832	0.193548387096774	2.87945670628183	2.81053131494038	0.0157460807055905	0.0872263822499393	0.0666785014074475	Sptssb/Sphk2/Sptssa/Sgpp2/Abca2/Sgpp1	6
GO:0036119	response to platelet-derived growth factor	6/1938	31/28832	0.193548387096774	2.87945670628183	2.81053131494038	0.0157460807055905	0.0872263822499393	0.0666785014074475	Mtss2/Rasa1/Hyal1/Ddit3/Cbl/Yes1	6
GO:0048261	negative regulation of receptor-mediated endocytosis	6/1938	31/28832	0.193548387096774	2.87945670628183	2.81053131494038	0.0157460807055905	0.0872263822499393	0.0666785014074475	Apoc3/Sdcbp/Lrrtm2/Ankrd13b/Abca2/Picalm	6
GO:1902042	negative regulation of extrinsic apoptotic signaling pathway via death domain receptors	6/1938	31/28832	0.193548387096774	2.87945670628183	2.81053131494038	0.0157460807055905	0.0872263822499393	0.0666785014074475	Grina/Bcl2l1/Pea15a/Tmbim1/Faim2/Rnf34	6
GO:0007041	lysosomal transport	16/1938	132/28832	0.121212121212121	1.80329611908559	2.48313725151731	0.0158359618249507	0.0873910485895426	0.0668043773692126	Plekhf1/Arl8b/Chmp1b/Gga3/Ncoa4/Bin1/Ap3d1/Chmp3/Lyst/Rab7/Ehd3/Arf1/Chmp2b/Hspa8/Ndp/Plekhm1	16
GO:0007052	mitotic spindle organization	16/1938	132/28832	0.121212121212121	1.80329611908559	2.48313725151731	0.0158359618249507	0.0873910485895426	0.0668043773692126	Ccsap/Gnai1/Tubg2/Numa1/Golga2/Chmp1b/Rab11a/Mzt1/Chmp3/Nudc/Kif3b/Khdc3/Zfp207/Chmp2b/Bccip/Cltc	16
GO:0034763	negative regulation of transmembrane transport	16/1938	132/28832	0.121212121212121	1.80329611908559	2.48313725151731	0.0158359618249507	0.0873910485895426	0.0668043773692126	Pln/Crbn/Irs2/Pea15a/Calm2/Ywhaq/Kcnab1/Ppp3r1/Bin1/Arl6ip5/Grk2/Gsk3a/Ubqln1/Slc43a2/Camk2d/Ppp3ca	16
GO:1903707	negative regulation of hemopoiesis	16/1938	132/28832	0.121212121212121	1.80329611908559	2.48313725151731	0.0158359618249507	0.0873910485895426	0.0668043773692126	Gpr68/Zfp608/Lyn/Ubash3b/Gpr137/Smad7/Tob2/Bcl6/Rara/Ascl2/Prdx2/Hspa9/Il17d/Id2/Rag2/Zbtb46	16
GO:1903578	regulation of ATP metabolic process	12/1938	89/28832	0.134831460674157	2.00591366055588	2.55134213280225	0.0158564674345481	0.087421188104515	0.0668274169317815	Ier3/Dnajc30/Ndufc2/Tmsb4x/Jmjd8/Bcl2l1/Zbtb20/Sphk2/Mlst8/Ddit4/Gpd1/Hif1a	12
GO:0014741	negative regulation of muscle hypertrophy	7/1938	40/28832	0.175	2.60350877192982	2.72423430842667	0.0161489053957791	0.0886968707512973	0.0678025875735628	Foxo1/Yy1/Stub1/Akap1/Jarid2/Gsk3a/Atp2b4	7
GO:0017004	cytochrome complex assembly	7/1938	40/28832	0.175	2.60350877192982	2.72423430842667	0.0161489053957791	0.0886968707512973	0.0678025875735628	Uqcc3/Cox14/Surf1/Coa6/Uqcc2/Pet117/Cox18	7
GO:0043243	positive regulation of protein-containing complex disassembly	7/1938	40/28832	0.175	2.60350877192982	2.72423430842667	0.0161489053957791	0.0886968707512973	0.0678025875735628	Eif5a/Cfl1/Adrb2/Stmn2/Dstn/Oga/Smcr8	7
GO:0086004	regulation of cardiac muscle cell contraction	7/1938	40/28832	0.175	2.60350877192982	2.72423430842667	0.0161489053957791	0.0886968707512973	0.0678025875735628	Dlg1/Pln/Atp1a1/Jup/Bin1/Atp2a2/Pde4d	7
GO:0000070	mitotic sister chromatid segregation	21/1938	189/28832	0.111111111111111	1.65302144249513	2.41784319292393	0.0162644757767604	0.0891630837158066	0.0681589749532563	Ccsap/Tubg2/Numa1/Golga2/Dync1li1/Chmp1b/Rab11a/Mzt1/Rrs1/Chmp3/Nudc/Klhl22/Kif3b/Rad21/Kat5/Khdc3/Zfp207/Chmp2b/Bccip/Cltc/Cdt1	21
GO:0062207	regulation of pattern recognition receptor signaling pathway	21/1938	189/28832	0.111111111111111	1.65302144249513	2.41784319292393	0.0162644757767604	0.0891630837158066	0.0681589749532563	Zcchc3/Arf6/Cd300ld3/Lgr4/Lyn/Gps2/Lats2/Pcbp2/Spsb3/Csnk1a1/Gramd4/Nr1d1/Nfkbil1/Sirt2/Ppt1/Trim3/Tax1bp1/Tarbp2/Ubqln1/Hspa8/Ppp6c	21
GO:0060997	dendritic spine morphogenesis	11/1938	79/28832	0.139240506329114	2.07150788363313	2.56003777308898	0.0163303371187569	0.089439763427989	0.0683704773462514	Cfl1/Marcks/Eef2k/Wasl/Efna1/Pten/Mfn2/Septin7/Il1rapl1/Pafah1b1/Ube3a	11
GO:0014014	negative regulation of gliogenesis	9/1938	59/28832	0.152542372881356	2.26940231935772	2.62006315348702	0.0163988517332276	0.0894534211468671	0.0683809177222472	Hes5/Daam2/Ascl2/Nr1d1/Sirt2/Id2/Mfn2/Ldlr/Cers2	9
GO:0042743	hydrogen peroxide metabolic process	9/1938	59/28832	0.152542372881356	2.26940231935772	2.62006315348702	0.0163988517332276	0.0894534211468671	0.0683809177222472	Mt3/Hbq1a/Prdx5/Snca/Sod1/Prdx2/Mfn2/Prdx3/Cycs	9
GO:0044088	regulation of vacuole organization	9/1938	59/28832	0.152542372881356	2.26940231935772	2.62006315348702	0.0163988517332276	0.0894534211468671	0.0683809177222472	Snx18/Snx30/Ulk1/Moap1/Efnb1/Rnf5/Fnip1/Phf23/Smcr8	9
GO:0072666	establishment of protein localization to vacuole	9/1938	59/28832	0.152542372881356	2.26940231935772	2.62006315348702	0.0163988517332276	0.0894534211468671	0.0683809177222472	Vps37c/Gga3/Ncoa4/Ap3d1/Rab7/Ptpn23/Vps37a/Hspa8/Ndp	9
GO:0006909	phagocytosis	25/1938	236/28832	0.10593220338983	1.5759738328873	2.38498224252522	0.0164203369649298	0.0894534211468671	0.0683809177222472	Rab14/Rara/Calr/Sod1/Rab27a/Arl8b/Clcn3/Apoa1/Rack1/Pten/Atg3/Rap1gap/Lyst/Rab7/Ptprj/Elmo3/Abl2/Cd47/Xkr7/Sirpa/Ldlr/Rab11fip2/Hspa8/Snx3/Rac1	25
GO:0006414	translational elongation	13/1938	100/28832	0.13	1.9340350877193	2.51165104860186	0.0164559812779214	0.0894534211468671	0.0683809177222472	Abtb1/Cpeb2/Eif5a/Eef2k/Rplp2/Klhdc10/Rack1/Gtpbp1/Pstk/Mrpl44/Srp9/Gtpbp2/Eef1b2	13
GO:0048814	regulation of dendrite morphogenesis	13/1938	100/28832	0.13	1.9340350877193	2.51165104860186	0.0164559812779214	0.0894534211468671	0.0683809177222472	Tlx2/Sgk1/Marcks/Eef2k/Numb/Id1/Chrnb2/Mfn2/Ache/Il1rapl1/Stk11/Pafah1b1/Ppp3ca	13
GO:0050810	regulation of steroid biosynthetic process	13/1938	100/28832	0.13	1.9340350877193	2.51165104860186	0.0164559812779214	0.0894534211468671	0.0683809177222472	Lpcat3/Egr1/Gpr146/Gnai1/Bmp5/Nr3c1/Cyp27b1/Insig1/H6pd/Atp1a1/Sod1/Nr1d1/Fgf1	13
GO:0001510	RNA methylation	10/1938	69/28832	0.144927536231884	2.15611492499364	2.58099701141106	0.016554683093138	0.0897388433654253	0.0685991031532021	Trmt12/Emg1/Rbm15/Ramac/Rnmt/Trmt9b/Trmt10c/Lcmt2/Gtpbp3/Trmt6	10
GO:0044091	membrane biogenesis	10/1938	69/28832	0.144927536231884	2.15611492499364	2.58099701141106	0.016554683093138	0.0897388433654253	0.0685991031532021	Reep3/Chmp1b/Clip3/Pten/Nlgn2/Chmp3/Pex16/Il1rapl1/Chmp2b/Serinc1	10
GO:0031290	retinal ganglion cell axon guidance	5/1938	23/28832	0.217391304347826	3.23417238749047	2.87736890079469	0.0165857025941261	0.0897388433654253	0.0685991031532021	Atoh7/Zic2/Rpl24/Epha7/Ndp	5
GO:0031998	regulation of fatty acid beta-oxidation	5/1938	23/28832	0.217391304347826	3.23417238749047	2.87736890079469	0.0165857025941261	0.0897388433654253	0.0685991031532021	Cnr1/Irs2/Mtln/Dbi/Mlycd	5
GO:0034249	negative regulation of amide metabolic process	5/1938	23/28832	0.217391304347826	3.23417238749047	2.87736890079469	0.0165857025941261	0.0897388433654253	0.0685991031532021	Prnp/Rtn1/Ormdl1/Gga3/Bin1	5
GO:1901292	nucleoside phosphate catabolic process	22/1938	201/28832	0.109452736318408	1.62834948066684	2.39971723043416	0.0166166675960779	0.0898227492100548	0.0686632433345889	Ier3/Galt/Gapdh/Eno2/Jmjd8/Nudt8/Hint1/Nt5c/Zbtb20/Acot7/Nudt18/Mlst8/Ddit4/Nudt4/Aldoa/Acot2/Tpi1/Gpd1/Hif1a/Bpgm/Pde4d/Mlycd	22
