ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	is_neuronal
GO:0050890	cognition	45/1506	403/28832	0.11166253101737	2.13775172263798	5.39974859386828	1.47660727220029e-06	0.000318322452333948	0.000257419875064553	Adcy1/Fgf13/Sgk1/Clstn2/Elavl4/Calb1/Tanc1/Ptchd1/Snap25/Kcnab1/Ptprz1/Adgrb3/Tacr1/Adcy8/Tac1/Chat/Fos/Chd7/Ckap5/Grm7/Rag1/Jph4/Cx3cr1/Nr4a2/Prkar1b/Slc6a1/Ntsr1/Jph3/Btg2/Asic1/Syt4/Vdac1/Amph/Camk2n1/Sorcs3/Slc1a1/Gpr158/Grm4/Nfix/Lhx8/Lmx1a/Camk4/Pax6/Prkcz/Gucy2d	45	FALSE
GO:0071805	potassium ion transmembrane transport	29/1506	211/28832	0.137440758293839	2.63126955054978	5.58314442670458	1.93382531903451e-06	0.000401447811599572	0.000324641396637918	Kcnd2/Kcnk1/Snap25/Dpp10/Kcnab1/Slc9a9/Kcnv1/Kcna1/Nedd4l/Kcnk12/Tmem38b/Kcne2/Kcnip3/Kcnj3/Dlg1/Kcnd3/Kcnk10/Lrrc52/Kcnj5/Kcns2/Kcna6/Kcne5/Cav1/Lrrc55/Kcnj10/Kcnk3/Wnk2/Kcnc1/Kcne4	29	FALSE
GO:0033555	multicellular organismal response to stress	21/1506	125/28832	0.168	3.2163187250996	5.82971903817186	2.01969330996797e-06	0.000404299321513231	0.000326947345591055	Taar4/Tacr1/Tac1/Kcne2/Kcnip3/Grm7/Rag1/Adam11/Nr4a2/Prkar1b/Cacna1a/Nmur2/Asic1/Vdac1/Slc1a1/Gja1/Pirt/Scn10a/Gja4/Capn2/Ppp3ca	21	FALSE
GO:0016358	dendrite development	39/1506	332/28832	0.117469879518072	2.24893198291173	5.37328289481694	2.12486893559228e-06	0.000410685875310163	0.000332112001330685	Rapgef4/Sgk1/Elavl4/Csmd3/Ptprz1/Phactr1/Rock2/Adgrb3/Ptprd/Arf6/Nrp1/Cobl/Nedd4l/Chat/Ppfia2/Ndp/Arid1b/Sema4d/Lrp4/Trpc6/Nck2/Tnik/Fyn/Cacna1a/Slc30a1/Kndc1/Sdc2/Rere/Adam10/Neurog3/Fmr1/Map2/Ntn3/Camk2b/Dnm3/Actr3/Iqsec1/Numb/Ppp3ca	39	TRUE
GO:0086005	ventricular cardiac muscle cell action potential	10/1506	31/28832	0.32258064516129	6.17572719873195	6.76866075576068	2.37173385781707e-06	0.00044091607197451	0.000356558449865673	Ryr2/Nedd4l/Kcne2/Dlg1/Kcnd3/Kcne5/Cav1/Dsp/Gpd1l/Kcne4	10	FALSE
GO:0042552	myelination	28/1506	202/28832	0.138613861386139	2.65372832103928	5.53711421285162	2.43860806979658e-06	0.00044091607197451	0.000356558449865673	Mir204/Ptprz1/Cntn1/Mall/Sh3tc2/Fa2h/9630013A20Rik/Epb41l3/Pou3f1/Ckap5/Ctnnb1/Xk/Dlg1/Nkx6-2/Fyn/Arhgef10/Clu/Kif14/Gpm6b/Tmem163/Sgms1os1/Cdh2/B4galt5/Mir23b/Hes5/Cxcr4/Kcnj10/Cdk18	28	FALSE
GO:0048813	dendrite morphogenesis	27/1506	194/28832	0.139175257731959	2.66447611615394	5.46086445968922	3.38903490375243e-06	0.000593610644860387	0.000480038957090722	Sgk1/Elavl4/Ptprz1/Phactr1/Rock2/Adgrb3/Ptprd/Nrp1/Nedd4l/Ppfia2/Sema4d/Lrp4/Trpc6/Tnik/Fyn/Cacna1a/Slc30a1/Kndc1/Sdc2/Rere/Adam10/Neurog3/Camk2b/Dnm3/Actr3/Numb/Ppp3ca	27	TRUE
GO:0051480	regulation of cytosolic calcium ion concentration	16/1506	81/28832	0.197530864197531	3.78167986490253	5.88542034205927	3.80102115014187e-06	0.000637254758021221	0.000515332924182239	Tmem178/Calb1/Tmem64/Ryr2/Adcy8/Atp2b3/Cdh23/Trpc6/Asph/Cacnb2/Cav2/Cacna1a/Hcrtr2/Slc35g1/Cav1/Cacnb4	16	FALSE
GO:0001667	ameboidal-type cell migration	34/1506	278/28832	0.122302158273381	2.34144477246888	5.27613652434443	3.86559532073533e-06	0.000637254758021221	0.000515332924182239	Arf6/Tacr1/Nrp1/Sema3d/Tac1/Sema3e/Sema4d/Amotl1/Rreb1/Daam2/Map4k4/Fat2/Kank2/Sema6d/Zfand5/Fer/Gbx2/Kank1/Appl2/Gja1/Hyal2/Gdnf/Mapre2/Cdh2/Evl/Cxcr4/Fbn2/Serpine1/Amotl2/Actr3/Iqsec1/Krt2/Pax6/Phox2b	34	FALSE
GO:0070588	calcium ion transmembrane transport	40/1506	359/28832	0.11142061281337	2.13312025805783	5.07178600762282	5.83355866614552e-06	0.000895879294609208	0.000724476499852059	Micu3/Cxcl11/Trpm8/Plch2/Ryr2/Atp2b3/Chd7/Gnb5/Tmem38b/Grm7/Trpc6/Cacna2d1/Asph/Cacnb2/Cxcr3/Trpm1/Ptpn22/Fyn/Cacna1a/Ntsr1/Casq1/Gpm6a/Jph3/Asic1/Vdac1/Itgav/Slc35g1/Lyn/Fmr1/Cav1/Sec61a1/Cacng4/Cacnb4/Atp2c1/Mcu/F2r/Itpr2/Ptk2b/Panx1/Ppp3ca	40	FALSE
GO:0099072	regulation of postsynaptic membrane neurotransmitter receptor levels	24/1506	166/28832	0.144578313253012	2.76791628666059	5.36273700840408	5.99828649776273e-06	0.000895879294609208	0.000724476499852059	Vac14/Rapgef4/Lrrc7/Tspan7/Syt17/Nedd4l/Gphn/Nsg2/Dlg1/Tnik/Tmem108/Kif21b/Erbin/Rab11fip5/Adam10/Cacng4/Dnm3/Gpc6/Inpp4a/Iqsec1/Lgi1/Numb/Epb41l1/Prkcz	24	TRUE
GO:0022010	central nervous system myelination	10/1506	34/28832	0.294117647058824	5.63081009296149	6.34263285678772	6.07375792955395e-06	0.000895879294609208	0.000724476499852059	Cntn1/Fa2h/9630013A20Rik/Ckap5/Nkx6-2/Clu/Gpm6b/B4galt5/Hes5/Kcnj10	10	TRUE
GO:0032291	axon ensheathment in central nervous system	10/1506	34/28832	0.294117647058824	5.63081009296149	6.34263285678772	6.07375792955395e-06	0.000895879294609208	0.000724476499852059	Cntn1/Fa2h/9630013A20Rik/Ckap5/Nkx6-2/Clu/Gpm6b/B4galt5/Hes5/Kcnj10	10	TRUE
GO:0086009	membrane repolarization	12/1506	50/28832	0.24	4.59474103585657	5.9723662710641	7.52975730542869e-06	0.0010821612742802	0.000875118352420403	Kcnd2/Kcna1/Nedd4l/Kcne2/Dlg1/Cacna2d1/Kcnd3/Kcnj5/Gja1/Kcne5/Cav1/Kcne4	12	FALSE
GO:0099173	postsynapse organization	36/1506	313/28832	0.115015974440895	2.2019525730942	5.0193405289347	8.29780208137424e-06	0.00116272951665257	0.000940271993747302	Rapgef4/Tanc1/Rock2/Ptprd/Arf6/Nrp1/Zfp804a/Sh3gl2/Ppfia2/Dgkb/Gphn/Rtn4r/Ckap5/Insyn1/Cnksr2/Lrp4/Epha7/Dlg1/Tmem108/Fyn/Iqsec3/Slc30a1/Dock4/Asic1/Adam10/Gdnf/Etv5/Cdh2/Camk2b/Dnm3/Actr3/Hspa8/Lrrtm2/Numb/Ptk2b/Cbln1	36	TRUE
GO:2001257	regulation of cation channel activity	17/1506	96/28832	0.177083333333333	3.39021691013723	5.50698737190734	9.017590682752e-06	0.00121236463143669	0.000980410742845464	Fgf13/Kcnab1/Nedd4l/Gnb5/Kcne2/Asph/Cacnb2/Lrrc52/Casq1/Jph3/Kcne5/Fmr1/Cav1/Lrrc55/Pirt/Cacnb4/Kcne4	17	FALSE
GO:1901342	regulation of vasculature development	37/1506	327/28832	0.113149847094801	2.16622602353075	4.97909472744012	9.08462346482443e-06	0.00121236463143669	0.000980410742845464	Col4a2/Rock2/Adgrb3/Tcf4/Nrp1/Lif/Cd40/Vegfc/Sema3e/Mtdh/Nfe2l2/Ctnnb1/Hk2/Ninj1/Hhip/Dll1/Adamts1/Cx3cr1/Cxcr3/Htatip2/Fyn/Kdr/Itgb2/Creb3l1/Pparg/Adam10/Tnn/Il10/F3/Pgk1/Mir23b/Cxcr4/Serpine1/Jcad/Stat1/Ccn6/Ptk2b	37	FALSE
GO:0003012	muscle system process	47/1506	461/28832	0.101952277657267	1.95185130771203	4.83655976519282	1.03886568875597e-05	0.00135414934545982	0.0010950687039861	Kcnd2/Fgf13/Chrm2/Mtpn/Rock2/Ryr2/Tacr1/Rap1gds1/Kcna1/Nedd4l/Pde9a/Inpp5f/Tmem38b/Bmp2/Kcne2/Mstn/Parp1/Gucy1a1/Dlg1/Cacna2d1/Kcnd3/Abat/Foxo3/Cacnb2/Casq1/Kcnj5/Pparg/Glra1/Dock4/Errfi1/Setd3/Myog/Atp8a2/Kcne5/Cav1/Dsp/Gdnf/Sgca/Cxcr4/F2r/Scn10a/Adk/Gpd1l/Ppp3ca/Notch1/Kcne4/Mybpc3	47	FALSE
GO:0043523	regulation of neuron apoptotic process	37/1506	330/28832	0.112121212121212	2.14653305968047	4.91767915925696	1.11646374384002e-05	0.00142222256459621	0.00115011791410888	Gclm/Oxr1/Myb/Ptprz1/Nrp1/Sema3e/Bbs10/Kcnip3/Grm7/Ctnnb1/Tgfb3/Casp12/Epha7/Parp1/Nqo1/Lig4/Cx3cr1/Foxo3/Pcsk9/Xrcc2/Fbxw7/Nr4a2/Fyn/Kdr/Cacna1a/Clu/Btg2/Kif14/Gfral/Slc1a1/Fmr1/Gdnf/Il10/Nfix/Foxq1/F2r/Ptk2b	37	TRUE
