	ctrl_M1	ctrl_M2	ctrl_M3	mut_M1	mut_M2	mut_M3
loop_118	503.983408927917	432.41370010376	436.255827903748	471.695272445679	493.136878013611	459.68261051178
loop_119	409.022362709045	348.731161594391	335.856328487396	379.408249855042	459.879868030548	412.395144462585
loop_120	415.0492811203	295.530442476273	305.6941614151	359.105316162109	386.432883262634	355.912437438965
loop_121	481.382314682007	396.451024055481	415.389468669891	475.952745437622	545.121828079224	428.955331802368
loop_122	397.741459846497	325.47690820694	340.172232627869	373.424991130829	435.447884559631	378.760538101196
loop_123	342.471665382385	296.48919916153	298.736225128174	324.057265281677	354.709923267365	319.806442260742
loop_124	607.001614570618	572.110652923584	440.180012702942	661.781372070312	676.032684326172	569.68436050415
loop_125	360.899843215942	300.483906269073	310.832302093506	350.561281204224	370.905572414398	340.326827049255
loop_126	341.13920211792	274.855786323547	301.533884048462	321.570287704468	365.044758796692	347.590559959412
loop_127	347.233781814575	295.084897518158	301.976343631744	348.601679801941	381.663055896759	343.371458053589
loop_128	321.674712657928	271.816387891769	266.533030509949	299.421159267426	361.689794778824	347.615963935852
loop_129	423.574607849121	362.296717643738	372.334694862366	405.247203826904	506.292035102844	414.536171913147
loop_130	462.491448879242	439.455503940582	451.764714241028	480.025608539581	436.334797382355	427.54042840004
loop_131	366.841015338898	316.095976829529	316.393293857574	343.606374263763	378.080838680267	311.957033634186
loop_132	425.014404773712	341.735679626465	359.610852241516	396.888664245605	380.943597555161	411.999189376831
loop_133	315.354711532593	272.672778129578	299.310047149658	303.699569702148	305.235233783722	289.167623996735
loop_134	225.945271492004	228.423292636871	216.211165189743	249.85650396347	267.673418521881	240.755474746227
loop_135	344.31486749649	312.133065700531	339.963526248932	334.931875705719	462.292417526245	354.916075229645
loop_136	220.417728900909	182.859015464783	192.208295583725	182.139859676361	177.331221103668	198.406779050827
loop_137	388.950675487518	337.619446277618	347.278091430664	420.915864944458	470.567850112915	401.782869815826
loop_138	470.697317123413	405.282945632935	403.424431324005	468.757356643677	528.000158309937	456.734358310699
loop_139	347.861176013947	257.652261734009	268.310400009155	341.639135360718	384.438582420349	312.898685455322
loop_140	366.451159477234	280.862835407257	295.527448177338	363.382894039154	369.122857093811	332.857256412506
loop_141	266.232430696487	262.412191867828	272.745937824249	314.765449047089	342.976051330566	293.923466205597
loop_142	236.235849380493	186.737830638885	209.676684856415	232.921319007874	235.303247213364	215.522291183472
loop_143	285.214271068573	290.712456226349	319.012568473816	276.628177642822	307.545213699341	275.99894618988
loop_144	318.414683580399	267.492566823959	297.569551467896	328.00565290451	378.685758590698	303.582129001617
loop_145	223.81676030159	194.558171272278	206.426560401917	198.540775775909	215.160354137421	204.087211370468
loop_146	177.954192638397	153.804198980331	168.660988688469	171.258855581284	174.866837501526	186.659369468689
loop_147	202.878579139709	189.042149782181	191.131513834	232.635236263275	231.833134531975	235.234272480011
loop_148	227.989934563637	183.097163677216	171.194468975067	198.27819442749	221.266222476959	183.557754993439
loop_149	172.732191085815	159.334993124008	156.653453111649	164.196056723595	171.921941041946	185.394517660141
loop_150	180.261833429337	166.696031808853	185.352478981018	178.325091600418	192.739621639252	190.520769476891
loop_151	170.164196252823	138.531082987785	170.358570933342	158.933814644814	176.634422779083	159.57431101799
loop_152	140.66125279665	155.293745696545	173.32122528553	135.466693520546	147.854216575623	143.548900723457
loop_153	292.884022474289	202.885586023331	253.728914260864	281.77604675293	267.991972923279	263.690388202667
loop_154	211.885395526886	172.998412549496	181.173497676849	184.647258996964	188.604976892471	186.983585596085
loop_155	100.145760476589	107.093322634697	110.207023262978	121.911011457443	147.953826785088	119.98998606205
loop_156	137.511468887329	109.038882493973	139.832894682884	145.615980625153	153.084627866745	132.014282763004
loop_157	190.338887691498	178.082243680954	183.052098274231	183.726564764977	232.679709911346	204.17134809494
loop_158	148.164370417595	132.579259634018	123.122110009193	126.171027779579	138.370034456253	133.143666744232
loop_159	83.6418772339821	81.584313750267	101.843914747238	94.5194312334061	83.0013417005539	113.094079256058
loop_160	85.9878895282745	71.0940715670586	77.3122488558292	71.9332033991814	65.3165513277054	66.9334830343723
loop_161	66.0697827339172	65.7997106909752	54.5628463625908	81.0673471689224	92.3183646202087	86.1062321662903
loop_162	71.4806604385376	70.1742819547653	84.8662243485451	76.4151651859283	75.472603559494	79.7447662949562
loop_163	391.660965442657	266.229712963104	260.632148742676	275.324695825577	301.398360729218	303.146676778793
loop_164	202.575949192047	128.204248905182	139.881439685822	154.563301801682	140.091025114059	182.211529493332
loop_165	195.187786102295	121.586963415146	135.920704841614	153.178607940674	148.165804624557	169.400978326797
loop_166	328.073499917984	218.687378168106	234.939026832581	231.849394321442	279.691116333008	277.175873994827
loop_167	324.001442909241	218.448497533798	239.781673431396	222.76961183548	236.213567256927	248.914665699005
