gene	log2FC	padj	baseMean	dysregulated	max_delta_unnorm	sum_delta_unnorm	n_enhancers	n_gained_enh	n_lost_enh	has_boundary	boundary_direction	n_diff_loops	n_lost_loops	n_gained_loops	max_loop_logFC_abs	mean_loop_logFC	has_abc	has_loops	n_layers	z_boundary	z_loop_count	z_loop_strength	z_abc	combined_score
1700030K09Rik	-0.27058	0.353861	68.572057	FALSE	0.089538	-0.034599	8	1	0	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	-0.38338525206596996	-0.9995086539199576
1700036A12Rik	-0.229216	0.680051	20.736492	FALSE	-0.146677	-0.160333	7	2	3	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	-0.13975695723804002	-0.7558803590920277
1700040D17Rik	-0.193282	0.824627	12.924392	FALSE	0.158451	-0.057492	6	1	1	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	-0.08955517661002677	-0.7056785784640144
1700041G16Rik	-0.104045	0.95593	5.630959	FALSE	0.156916	0.44916	6	2	0	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	-0.09610008346105452	-0.7122234853150421
1700047M11Rik	0.305575	0.387222	40.844805	FALSE	0.057331	-0.029784	7	3	1	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	-0.5207089100145366	-1.1368323118685242
1700056N10Rik	0.110946	0.830537	30.644451	FALSE	0.139647	0.214409	10	5	2	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	-0.16973135148085752	-0.7858547533348451
1700057H15Rik	-0.030268	0.986842	5.268909	FALSE	-0.028303	0.034887	10	4	3	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	-0.6444780019178802	-1.2606014037718678
1700063D05Rik	-0.66388	0.02684	23.146441	TRUE	0.227908	-1.255617	10	1	2	FALSE	NA	1	0	1	0.453678434415728	0.453678434415728	TRUE	TRUE	2	0	0.9044788099717969	2.6444491962330123	0.20659439677878877	3.755522402983598
1700064H15Rik	-0.028785	0.986038	8.424604	FALSE	-0.134932	-0.036561	7	1	1	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	-0.18983508816007294	-0.8059584900140606
1700066M21Rik	-0.212052	0.45257	86.056979	FALSE	-0.057111	-0.005409	8	2	3	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	-0.5216469422668011	-1.1377703441207887
1700067K01Rik	-0.434343	0.305749	20.796069	FALSE	0.233904	0.179173	11	1	0	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	0.23216003943596283	-0.38396336241802476
1700069L16Rik	1.022794	3e-6	38.047383	FALSE	-0.189354	0.315005	6	0	0	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	0.04220850835238975	-0.5739148935015979
1700086O06Rik	0.086931	0.85738	44.148192	FALSE	-0.466145	-0.598352	5	1	2	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	1.2223852589731141	0.6062618571191265
1700086P04Rik	-0.397781	0.519236	10.280897	FALSE	0.101514	-0.420423	6	1	1	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	-0.3323221872790594	-0.948445589133047
