gene	log2FC	padj	baseMean	dysregulated	max_delta_unnorm	sum_delta_unnorm	n_enhancers	n_gained_enh	n_lost_enh	has_boundary	boundary_direction	n_diff_loops	n_lost_loops	n_gained_loops	max_loop_logFC_abs	mean_loop_logFC	has_abc	has_loops	n_layers	z_boundary	z_loop_count	z_loop_strength	z_abc	combined_score	go_group
Gsdme	-0.098053	0.306528	467.0271	FALSE	2.060095	2.614278	4	4	0	FALSE	NA	1	1	0	0.317247060256668	-0.317247060256668	TRUE	TRUE	2	0	0.9044788099717969	1.744492097101303	8.01864211577808	10.66761302285118	Other
Nrg3	-0.017888	0.976206	9003.237283	FALSE	0.056782	0.15533	6	0	2	TRUE	Control	5	0	5	0.747760355531914	0.6367831102246378	TRUE	TRUE	3	1	5.594091012593551	4.5843337298758735	-0.52304972686223306	10.655375015607191	Other
Etv1	-0.161534	0.510997	8405.257906	FALSE	-0.243454	-0.165669	13	2	2	TRUE	Mutant	6	6	0	0.439709923912543	-0.3663918073223118	TRUE	TRUE	3	1	6.76649406324899	2.5523071924664804	0.2728791667501744	10.591680422465645	Other
Grid1	0.57691	1.8e-5	1297.056089	TRUE	0.234637	0.468358	8	2	3	TRUE	Control	5	1	4	0.616621952318271	0.404870875157524	TRUE	TRUE	3	1	5.594091012593551	3.7192912301696044	0.2352853923491898	10.548667635112345	Other
Dipk2a	-0.300667	0.003634	1199.669352	FALSE	0.387556	-0.290243	5	1	2	TRUE	Control	4	4	0	0.693425681985245	-0.46916500646125625	TRUE	TRUE	3	1	4.421687961938113	4.2259200183030545	0.8872988195493897	10.534906799790557	Other
Cnr1	-0.739792	0	3617.500795	TRUE	-1.061247	-4.422381	9	0	5	FALSE	NA	4	4	0	0.407900527865251	-0.3722678899506465	TRUE	TRUE	2	0	4.421687961938113	2.342479416646548	3.7597710289146744	10.523938407499335	Other
Shb	2.172654	0	166.092297	TRUE	0.889477	2.856204	8	4	3	TRUE	Control	3	0	3	0.537664223035783	0.48451196841218735	TRUE	TRUE	3	1	3.249284911282674	3.19845378030085	3.027381029044296	10.47511972062782	Other
Csmd3	0.451984	0.178571	3289.905268	FALSE	0.354231	0.497671	9	3	5	TRUE	Mutant	5	3	2	0.527071564812169	-0.14963073290546278	TRUE	TRUE	3	1	5.594091012593551	3.1285802777742004	0.7452082522461334	10.467879542613884	Other
Ndst3	-0.64432	3e-6	5882.488019	TRUE	-0.754252	-0.876084	4	1	3	TRUE	Control	4	4	0	0.43863070613811	-0.39691695457376824	TRUE	TRUE	3	1	4.421687961938113	2.5451882309842206	2.4508109776239557	10.417687170546289	Other
Ostf1	-0.469193	0.004132	87.884329	FALSE	-0.081315	-0.513936	6	1	3	FALSE	NA	5	2	3	0.838938214949579	-0.002150001384614575	TRUE	TRUE	2	0	5.594091012593551	5.185780152096135	-0.4184463393858403	10.361424825303846	Other
Zfp462	0.906525	0	1438.654055	TRUE	1.216163	1.520275	10	3	1	FALSE	NA	3	1	2	0.455352679414107	0.068104291585455	TRUE	TRUE	2	0	3.249284911282674	2.6554932004531873	4.420299230695658	10.32507734243152	Other
1700112J16Rik	-1.102814	0.003524	12.971077	TRUE	-0.234236	-0.357967	8	1	3	FALSE	NA	2	2	0	1.26123758633303	-0.8262233049498271	TRUE	TRUE	2	0	2.0768818606272355	7.971439386110065	0.23357561538028934	10.28189686211759	Other
Elfn1	0.766621	0.209197	10.459663	FALSE	0.148183	0.510163	7	5	0	TRUE	Mutant	6	0	6	0.449464771299967	0.4205598058224758	TRUE	TRUE	3	1	6.76649406324899	2.6166541523308853	-0.1333357000929926	10.249812515486884	Other
Prkn	-0.701138	0	2915.043135	TRUE	-0.216563	-1.112915	8	0	5	TRUE	Control	6	6	0	0.385078257244124	-0.34165442431418	TRUE	TRUE	3	1	6.76649406324899	2.1919343928909227	0.15822177904269147	10.116650235182604	Other
Chrm3	1.465968	0	263.386528	TRUE	0.069369	0.166595	8	1	3	TRUE	Mutant	3	0	3	1.01311171109921	0.7137465605502691	TRUE	TRUE	3	1	3.249284911282674	6.334699711886706	-0.4693814906838058	10.114603132485573	Other
Zfpm2	0.078007	0.8752	11820.592977	FALSE	0.342108	0.3766	6	3	1	FALSE	NA	6	6	0	0.44204187897156	-0.3750127169333112	TRUE	TRUE	2	0	6.76649406324899	2.56768972103188	0.6935184113633914	10.027702195644263	Other
Smarcad1	0.063678	0.690423	643.599787	FALSE	-0.093637	-0.118041	4	1	2	FALSE	NA	5	0	5	0.766215405486298	0.6160926730832484	TRUE	TRUE	2	0	5.594091012593551	4.70607078136899	-0.36590800569309534	9.934253788269446	Other
Bmp5	-3.439223	0	190.292861	TRUE	-0.331682	-1.366607	10	3	4	FALSE	NA	5	5	0	0.612124974859398	-0.5669904225364606	TRUE	TRUE	2	0	5.594091012593551	3.6896273290787183	0.6490642101719808	9.93278255184425	Other
Mecom	0.229871	0.503222	116.171511	FALSE	0.218205	0.524602	9	9	0	TRUE	Control	4	3	1	0.700302472863938	-0.38343886782651004	TRUE	TRUE	3	1	4.421687961938113	4.271282141265392	0.16522291067095696	9.85819301387446	Other
Adgrl3	0.235708	0.311258	7772.264111	FALSE	1.358229	1.491678	4	1	0	TRUE	Mutant	1	1	0	0.484179398379988	-0.484179398379988	TRUE	TRUE	3	1	0.9044788099717969	2.8456460193185427	5.02603782137846	9.776162650668798	Synapse Assembly
