gene	log2FC	padj	baseMean	dysregulated	max_delta_unnorm	sum_delta_unnorm	n_enhancers	n_gained_enh	n_lost_enh	has_boundary	boundary_direction	n_diff_loops	n_lost_loops	n_gained_loops	max_loop_logFC_abs	mean_loop_logFC	has_abc	has_loops	n_layers	z_boundary	z_loop_count	z_loop_strength	z_abc	combined_score	go_group
Kif16b	-0.553443	0	861.075578	TRUE	-0.293515	-0.388569	4	2	0	FALSE	NA	6	6	0	0.429980825583048	-0.374419421330654	TRUE	TRUE	2	0	6.76649406324899	2.4881300839109994	0.4863284057529747	9.740952552912963	Other
Upp2	-0.190328	0.318145	1458.481998	FALSE	-0.185556	-0.594701	6	1	3	TRUE	Control	4	4	0	0.70289507114376	-0.5076451678867222	TRUE	TRUE	3	1	4.421687961938113	4.288383979031845	0.02601466065193162	9.736086601621889	Other
Meis1	-0.004311	0.99074	4944.128006	FALSE	-0.925042	-2.091316	12	3	4	TRUE	Mutant	3	3	0	0.397922226690063	-0.36266897555362	TRUE	TRUE	3	1	3.249284911282674	2.276658464279571	3.1790224701887917	9.704965845751037	Other
Epha7	-0.700786	2.88e-4	1097.15127	TRUE	-0.018836	-0.196932	3	1	2	TRUE	Control	5	5	0	0.617617780486554	-0.5017015785972104	FALSE	TRUE	2	1	5.594091012593551	3.7258601197310095	-0.6848432352460101	9.63510789707855	Synapse Assembly
Stk39	-0.358433	4.4e-5	3316.874989	FALSE	-0.479683	-0.396024	5	2	2	FALSE	NA	4	0	4	0.632482333743561	0.5200806423381688	TRUE	TRUE	2	0	4.421687961938113	3.8239127876860253	1.2801083527511032	9.525709102375242	Other
9330158H04Rik	0.076522	0.944038	12.923298	FALSE	0.133257	0.811813	10	5	2	FALSE	NA	2	0	2	1.20985702512776	0.82969186748064	TRUE	TRUE	2	0	2.0768818606272355	7.6325122067932	-0.19697692462617813	9.512417142794257	Other
Dcun1d4	0.043382	0.852978	510.166686	FALSE	-1.44088	-2.197232	7	0	7	TRUE	Mutant	1	0	1	0.386416386328686	0.386416386328686	TRUE	TRUE	3	1	0.9044788099717969	2.20076123918364	5.378443747205361	9.483683796360797	Other
Slitrk3	0.1302	0.701446	198.888011	FALSE	0.29925	0.381326	7	1	2	FALSE	NA	5	0	5	0.560276907298576	0.5164872175920194	TRUE	TRUE	2	0	5.594091012593551	3.3476162867856023	0.5107812010563257	9.452488500435479	Other
Mef2c	-0.556124	0.008171	1124.731019	TRUE	-0.282469	-1.02546	11	0	11	TRUE	Mutant	4	4	0	0.587775891771127	-0.49386820850893276	TRUE	TRUE	3	1	4.421687961938113	3.5290108263299467	0.4392306591233642	9.389929447391424	Cell Fate Commitment
Srek1ip1	-0.079742	0.83563	229.073369	FALSE	-0.259771	-0.632004	11	3	6	TRUE	Control	5	5	0	0.423119202591063	-0.3706749062798184	TRUE	TRUE	3	1	5.594091012593551	2.442868014528022	0.3424513133874506	9.379410340509022	Other
Pard3b	0.018485	0.970133	363.534974	FALSE	-0.019438	-0.00664	8	2	4	TRUE	Control	5	0	5	0.57729766027078	0.4811867801853692	FALSE	TRUE	2	1	5.594091012593551	3.459892129232542	-0.682276437901177	9.371706703924916	Other
Oxr1	-0.135906	0.707093	10830.371184	FALSE	-0.284091	-0.488527	10	1	2	FALSE	NA	6	6	0	0.377653187997741	-0.372371597885175	TRUE	TRUE	2	0	6.76649406324899	2.1429556017513103	0.4461465150923327	9.355596180092633	Other
Plekhf1	-1.2615	0	98.899067	TRUE	-1.393035	-2.164936	7	4	1	FALSE	NA	2	2	0	0.365227924008328	-0.339674874739025	TRUE	TRUE	2	0	2.0768818606272355	2.060993482665557	5.174443051252643	9.312318394545436	Other
Pax3	-0.016396	0.97381	298.169588	FALSE	0.166906	0.366948	11	4	2	FALSE	NA	2	2	0	1.15123088946283	-1.052913500072506	TRUE	TRUE	2	0	2.0768818606272355	7.245790257303778	-0.05350489164231389	9.2691672262887	Other
Tenm4	0.731313	0	1031.545278	TRUE	0.054056	0.22825	19	10	7	TRUE	Mutant	5	0	5	0.537962529194775	0.5075093910373522	TRUE	TRUE	3	1	5.594091012593551	3.200421529633834	-0.5346727992243839	9.259839743003	Cell Fate Commitment
Rngtt	-0.150604	0.343197	1049.610547	FALSE	0.116186	0.111617	12	3	1	FALSE	NA	6	5	1	0.468349214128843	-0.28216158563248234	TRUE	TRUE	2	0	6.76649406324899	2.7412236547034103	-0.26976396361894295	9.237953754333457	Other
Skor1	-0.277253	0.466245	31.781357	FALSE	-0.058324	0.06064	8	1	2	TRUE	Mutant	2	2	0	1.05558770875933	-0.9650448566531624	TRUE	TRUE	3	1	2.0768818606272355	6.614888751046862	-0.5164749735304515	9.175295638143647	Other
