15	9	E	-2822793.3549298877	81
transitionprobs	11	13	3.24088851341208E-4
transitionprobs	11	14	0.0011964180067176083
transitionprobs	11	15	3.56043480382611E-4
transitionprobs	12	1	3.4218106822747466E-4
transitionprobs	12	2	1.2313763621090286E-4
transitionprobs	12	3	0.0014952297934705317
transitionprobs	12	4	1.0379096400577014E-4
transitionprobs	12	5	0.0065327014041872515
transitionprobs	12	6	1.2829835171387785E-4
transitionprobs	12	7	4.185362555225929E-5
transitionprobs	12	8	0.0012189494649568315
transitionprobs	12	9	0.0019453720428741102
transitionprobs	12	10	0.004069053632183008
transitionprobs	12	11	0.4375165583589689
transitionprobs	12	12	0.49697641672470877
transitionprobs	12	13	0.04518953044293321
transitionprobs	12	14	0.0042123183540967914
transitionprobs	12	15	1.0460813591026853E-4
transitionprobs	13	1	2.1038893888151856E-4
transitionprobs	13	2	0.0
transitionprobs	13	3	1.6433045555199318E-4
transitionprobs	13	4	0.0023718124828625065
transitionprobs	13	5	0.3559615486852269
transitionprobs	13	6	3.392291629364762E-4
transitionprobs	13	7	1.9477027598612158E-4
transitionprobs	13	8	0.001036431844015363
transitionprobs	13	9	0.0
transitionprobs	13	10	2.684294793360862E-4
transitionprobs	13	11	0.10470172270653172
transitionprobs	13	12	0.02638003173549525
transitionprobs	13	13	0.5035552870389653
transitionprobs	13	14	0.004813670054944042
transitionprobs	13	15	2.347139266590875E-6
transitionprobs	14	1	0.001724320342266855
transitionprobs	14	2	2.8695985578319896E-4
transitionprobs	14	3	0.0016114684292390614
transitionprobs	14	4	4.574943637426681E-4
transitionprobs	14	5	0.013952459220958245
transitionprobs	14	6	3.499727480739626E-4
transitionprobs	14	7	2.851471282983743E-4
transitionprobs	14	8	0.0021519595224627134
transitionprobs	14	9	0.0013122556079737853
transitionprobs	14	10	0.0015518112004252712
transitionprobs	14	11	0.45182889238780094
transitionprobs	14	12	0.00296868288043009
transitionprobs	14	13	0.005766184133848292
transitionprobs	14	14	0.5155117752181168
transitionprobs	14	15	2.4061696057984597E-4
transitionprobs	15	1	5.149856400648367E-4
transitionprobs	15	2	2.2557827088718547E-4
transitionprobs	15	3	3.593755882578764E-4
transitionprobs	15	4	1.051423856735125E-4
transitionprobs	15	5	0.0014375436765819369
transitionprobs	15	6	1.1085311012535263E-4
transitionprobs	15	7	3.0672692319509454E-5
transitionprobs	15	8	3.342211819841819E-4
transitionprobs	15	9	3.0510142530278728E-5
transitionprobs	15	10	1.394963628891957E-4
transitionprobs	15	11	0.13425516358232523
transitionprobs	15	12	1.6586443069276349E-4
transitionprobs	15	13	5.0850769351610254E-5
transitionprobs	15	14	1.1850468044751993E-4
transitionprobs	15	15	0.8621212374858689
emissionprobs	1	0	ATAC	0	0.9895454965923468
emissionprobs	1	0	ATAC	1	0.010454503407653113
emissionprobs	1	1	CTCF	0	0.9926433333716707
emissionprobs	1	1	CTCF	1	0.007356666628329305
emissionprobs	1	2	H2AK119ub	0	1.0
emissionprobs	1	2	H2AK119ub	1	9.199649899377443E-102
emissionprobs	1	3	H3K27ac	0	1.0
emissionprobs	1	3	H3K27ac	1	3.6074124948421326E-56
emissionprobs	1	4	H3K27me3	0	0.005884607537094314
emissionprobs	1	4	H3K27me3	1	0.9941153924629057
emissionprobs	1	5	H3K4me1	0	0.9513650113845977
emissionprobs	1	5	H3K4me1	1	0.04863498861540233
emissionprobs	1	6	H3K4me3	0	1.0
emissionprobs	1	6	H3K4me3	1	2.3526689959298366E-52
emissionprobs	1	7	H3K9ac	0	0.9997766126569554
emissionprobs	1	7	H3K9ac	1	2.2338734304454358E-4
emissionprobs	1	8	H3K9me3	0	1.0
emissionprobs	1	8	H3K9me3	1	9.19213532284642E-38
emissionprobs	2	0	ATAC	0	0.9852981847722637
emissionprobs	2	0	ATAC	1	0.014701815227736174
emissionprobs	2	1	CTCF	0	0.9855536657432277
emissionprobs	2	1	CTCF	1	0.014446334256772435
emissionprobs	2	2	H2AK119ub	0	0.0019835162474473055
emissionprobs	2	2	H2AK119ub	1	0.9980164837525527
emissionprobs	2	3	H3K27ac	0	0.9987252357623279
emissionprobs	2	3	H3K27ac	1	0.0012747642376721871
emissionprobs	2	4	H3K27me3	0	2.2487848125083776E-4
emissionprobs	2	4	H3K27me3	1	0.9997751215187491
emissionprobs	2	5	H3K4me1	0	0.9999999999999943
emissionprobs	2	5	H3K4me1	1	5.787331408436608E-15
emissionprobs	2	6	H3K4me3	0	0.9944628004249538
emissionprobs	2	6	H3K4me3	1	0.005537199575046188
emissionprobs	2	7	H3K9ac	0	0.959865624379994
emissionprobs	2	7	H3K9ac	1	0.04013437562000606
emissionprobs	2	8	H3K9me3	0	0.9964316767050239
emissionprobs	2	8	H3K9me3	1	0.0035683232949761043
emissionprobs	3	0	ATAC	0	0.9799550640629806
emissionprobs	3	0	ATAC	1	0.02004493593701941
emissionprobs	3	1	CTCF	0	0.9816101092130554
emissionprobs	3	1	CTCF	1	0.018389890786944668
emissionprobs	3	2	H2AK119ub	0	0.005268056203816744
emissionprobs	3	2	H2AK119ub	1	0.9947319437961832
emissionprobs	3	3	H3K27ac	0	1.0
emissionprobs	3	3	H3K27ac	1	6.694493856606173E-38
emissionprobs	3	4	H3K27me3	0	1.0
emissionprobs	3	4	H3K27me3	1	5.662510740831594E-29
emissionprobs	3	5	H3K4me1	0	1.0
emissionprobs	3	5	H3K4me1	1	1.581601157459399E-27
emissionprobs	3	6	H3K4me3	0	0.9985620013601726
emissionprobs	3	6	H3K4me3	1	0.001437998639827509
emissionprobs	3	7	H3K9ac	0	0.9344006772855226
emissionprobs	3	7	H3K9ac	1	0.0655993227144775
emissionprobs	3	8	H3K9me3	0	0.9991245804100267
emissionprobs	3	8	H3K9me3	1	8.754195899733154E-4
emissionprobs	4	0	ATAC	0	0.7915502392562431
emissionprobs	4	0	ATAC	1	0.20844976074375685
emissionprobs	4	1	CTCF	0	0.9590474122587399
emissionprobs	4	1	CTCF	1	0.040952587741260114
emissionprobs	4	2	H2AK119ub	0	0.0017185002075177167
emissionprobs	4	2	H2AK119ub	1	0.9982814997924823
emissionprobs	4	3	H3K27ac	0	1.0
emissionprobs	4	3	H3K27ac	1	9.597473606803099E-38
emissionprobs	4	4	H3K27me3	0	0.6249971812057791
emissionprobs	4	4	H3K27me3	1	0.3750028187942209
