gene_id	enriched_in	symbol
67561	Mutant	Wdr48
102465661	Mutant	Mir7090
12387	Mutant	Ctnnb1
654800	Mutant	A730085K08Rik
70337	Mutant	Iyd
13982	Mutant	Esr1
67141	Mutant	Fbxo5
100504265	Mutant	Gm20139
18634	Mutant	Pex7
73910	Mutant	Arhgap18
210757	Mutant	Themis
72780	Mutant	Rspo3
319415	Mutant	Hs3st5
14806	Mutant	Grik2
70297	Mutant	Gcc2
216033	Mutant	Ctnna3
216028	Mutant	Lrrtm3
333669	Mutant	Gm5134
12822	Mutant	Col18a1
27204	Mutant	Syn3
21859	Mutant	Timp3
380654	Mutant	Cfap54
13713	Mutant	Elk3
237459	Mutant	Cdk17
67270	Mutant	Mrpl42
327814	Mutant	Ppfia2
52679	Mutant	E2f7
75630	Mutant	1700020G17Rik
216395	Mutant	Rxylt1
74309	Mutant	Osbp2
74522	Mutant	Morc2a
22778	Mutant	Ikzf1
60530	Mutant	Fignl1
12808	Mutant	Cobl
57316	Mutant	C1d
69922	Mutant	Vrk2
20856	Mutant	Stc2
70357	Mutant	Kcnip1
94176	Mutant	Dock2
70385	Mutant	Spdl1
20564	Mutant	Slit3
23964	Mutant	Tenm2
30805	Mutant	Slc22a4
56517	Mutant	Slc22a21
67726	Mutant	Fam114a2
15478	Mutant	Hs3st3a1
18208	Mutant	Ntn1
320207	Mutant	Pik3r5
104709	Mutant	Pik3r6
215723	Mutant	Mfsd6l
12514	Mutant	Cd68
13681	Mutant	Eif4a1
619441	Mutant	Tnfsfm13
69583	Mutant	Tnfsf13
80886	Mutant	Senp3
258153	Mutant	Or1d2
380711	Mutant	Rap1gap2
11418	Mutant	Asic2
192197	Mutant	Bcas3
21385	Mutant	Tbx2
69909	Mutant	2610027K06Rik
83560	Mutant	Tex14
18559	Mutant	Pctp
18673	Mutant	Phb1
78473	Mutant	Skap1
380730	Mutant	Lrrc37
69444	Mutant	Lyzl6
11841	Mutant	Arf2
237979	Mutant	Sdk2
100038570	Mutant	Prcd
114886	Mutant	Cygb
74370	Mutant	Rptor
58240	Mutant	Hs1bp3
11852	Mutant	Rhob
328059	Mutant	Slc7a15
20969	Mutant	Sdc1
23967	Mutant	Osr1
69420	Mutant	1700022H16Rik
238076	Mutant	Kcns3
102639399	Mutant	Gm35725
102633758	Mutant	Gm31508
217480	Mutant	Dgkb
93757	Mutant	Immp2l
27386	Mutant	Npas3
104001	Mutant	Rtn1
238271	Mutant	Kcnh5
53618	Mutant	Fut8
18222	Mutant	Numb
18191	Mutant	Nrxn3
217830	Mutant	Dglucy
27225	Mutant	Ddx24
68149	Mutant	Otub2
58208	Mutant	Bcl11b
12671	Mutant	Chrm3
70430	Mutant	Tbce
97884	Mutant	B3galnt2
14593	Mutant	Ggps1
94253	Mutant	Hecw1
258067	Mutant	Or2b2
319173	Mutant	H2ac10
69386	Mutant	H4c8
12763	Mutant	Cmah
20677	Mutant	Sox4
218138	Mutant	Gmds
16468	Mutant	Jarid2
100040421	Mutant	Gm2762
628709	Mutant	Zfp997
74280	Mutant	1700084F23Rik
72371	Mutant	2210408I21Rik
12116	Mutant	Bhmt
544963	Mutant	Iqgap2
75209	Mutant	Sv2c
625662	Mutant	Ankrd31
238880	Mutant	Actbl2
73274	Mutant	Gpbp1
100040671	Mutant	Gm2897
666329	Mutant	Gm3317
74715	Mutant	4930521O11Rik
18300	Mutant	Fam3d
218772	Mutant	Rarb
21834	Mutant	Thrb
12325	Mutant	Camk2g
16531	Mutant	Kcnma1
78019	Mutant	4930519K11Rik
22418	Mutant	Wnt5a
12294	Mutant	Cacna2d3
12165	Mutant	Gdf2
19661	Mutant	Rbp3
14803	Mutant	Grid1
100042055	Mutant	Gm10377
666214	Mutant	1700049E17Rik1
14943	Mutant	Gzmf
12143	Mutant	Blk
12934	Mutant	Dpysl2
57784	Mutant	Bin3
105689	Mutant	Mycbp2
64929	Mutant	Scel
105445	Mutant	Dock9
545085	Mutant	Wdr70
71175	Mutant	Nipbl
320277	Mutant	Spef2
320865	Mutant	Cdh18
432939	Mutant	Gm5468
52521	Mutant	Zfp622
223453	Mutant	Dap
22762	Mutant	Zfpm2
100418302	Mutant	4930555K19Rik
170719	Mutant	Oxr1
239420	Mutant	Csmd3
100503794	Mutant	Gm9920
72107	Mutant	Dscc1
11514	Mutant	Adcy8
110862	Mutant	Kcnq3
54562	Mutant	Dnaaf11
239510	Mutant	Phf20l1
13992	Mutant	Khdrbs3
268816	Mutant	Mroh5
140557	Mutant	Smc1b
106014	Mutant	Tafa5
223827	Mutant	Gxylt1
266632	Mutant	Irak4
78895	Mutant	Pus7l
67760	Mutant	Slc38a2
16680	Mutant	Krt84
71726	Mutant	Smug1
268859	Mutant	Rbfox1
50505	Mutant	Ercc4
239719	Mutant	Mrtfb
209018	Mutant	Vps8
12053	Mutant	Bcl6
245308	Mutant	Zdhhc19
171286	Mutant	Slc12a8
12524	Mutant	Cd86
74197	Mutant	Gtf2e1
268890	Mutant	Lsamp
56490	Mutant	Zbtb20
58998	Mutant	Nectin3
328699	Mutant	Gabrr3
66578	Mutant	Mis18a
121022	Mutant	Mrps6
53881	Mutant	Slc5a3
13508	Mutant	Dscam
224481	Mutant	Tfb1m
68230	Mutant	1700102H20Rik
224454	Mutant	Zdhhc14
20112	Mutant	Rps6ka2
