TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
6485000000.0	5409060419.8	4065244495.9	6286425483.7
6486000000.0	5409766119.9	4065641779.1	6287379731.3
6487000000.0	5410471786.6	4066039017.5	6288333974.4
6488000000.0	5411177419.8	4066436211.2	6289288212.9
6489000000.0	5411883019.5	4066833360.1	6290242446.9
6490000000.0	5412588585.8	4067230464.2	6291196676.3
6491000000.0	5413294118.5	4067627523.5	6292150901.1
6492000000.0	5413999617.8	4068024538.0	6293105121.3
6493000000.0	5414705083.7	4068421507.9	6294059337.0
6494000000.0	5415410516.0	4068818432.9	6295013548.1
6495000000.0	5416115914.9	4069215313.2	6295967754.7
6496000000.0	5416821280.4	4069612148.8	6296921956.7
6497000000.0	5417526612.3	4070008939.7	6297876154.1
6498000000.0	5418231910.9	4070405685.8	6298830346.9
6499000000.0	5418937175.9	4070802387.2	6299784535.2
6500000000.0	5419642407.6	4071199044.0	6300738718.9
6501000000.0	5420347605.7	4071595656.0	6301692898.1
6502000000.0	5421052770.5	4071992223.4	6302647072.6
6503000000.0	5421757901.8	4072388746.0	6303601242.6
6504000000.0	5422462999.6	4072785224.0	6304555408.1
6505000000.0	5423168064.0	4073181657.4	6305509569.0
6506000000.0	5423873095.0	4073578046.1	6306463725.3
6507000000.0	5424578092.5	4073974390.1	6307417877.0
6508000000.0	5425283056.6	4074370689.5	6308372024.2
6509000000.0	5425987987.3	4074766944.2	6309326166.8
6510000000.0	5426692884.5	4075163154.4	6310280304.8
6511000000.0	5427397748.3	4075559319.9	6311234438.3
6512000000.0	5428102578.7	4075955440.8	6312188567.2
6513000000.0	5428807375.7	4076351517.1	6313142691.6
6514000000.0	5429512139.2	4076747548.8	6314096811.3
6515000000.0	5430216869.4	4077143535.9	6315050926.5
6516000000.0	5430921566.1	4077539478.4	6316005037.2
6517000000.0	5431626229.4	4077935376.4	6316959143.3
6518000000.0	5432330859.3	4078331229.8	6317913244.8
6519000000.0	5433035455.8	4078727038.6	6318867341.7
6520000000.0	5433740018.9	4079122802.9	6319821434.1
6521000000.0	5434444548.6	4079518522.6	6320775521.9
6522000000.0	5435149044.9	4079914197.8	6321729605.1
6523000000.0	5435853507.8	4080309828.5	6322683683.8
6524000000.0	5436557937.3	4080705414.7	6323637757.9
6525000000.0	5437262333.4	4081100956.3	6324591827.5
6526000000.0	5437966696.1	4081496453.4	6325545892.4
6527000000.0	5438671025.5	4081891906.1	6326499952.9
6528000000.0	5439375321.4	4082287314.2	6327454008.7
6529000000.0	5440079584.0	4082682677.9	6328408060.0
6530000000.0	5440783813.2	4083077997.1	6329362106.7
6531000000.0	5441488009.0	4083473271.8	6330316148.8
6532000000.0	5442192171.4	4083868502.1	6331270186.4
6533000000.0	5442896300.5	4084263687.9	6332224219.4
6534000000.0	5443600396.2	4084658829.2	6333178247.9
6535000000.0	5444304458.5	4085053926.1	6334132271.8
6536000000.0	5445008487.5	4085448978.6	6335086291.1
6537000000.0	5445712483.1	4085843986.7	6336040305.8
6538000000.0	5446416445.3	4086238950.4	6336994316.0
6539000000.0	5447120374.2	4086633869.6	6337948321.7
6540000000.0	5447824269.7	4087028744.5	6338902322.7
6541000000.0	5448528131.9	4087423574.9	6339856319.2
6542000000.0	5449231960.7	4087818361.0	6340810311.1
6543000000.0	5449935756.1	4088213102.7	6341764298.5
6544000000.0	5450639518.3	4088607800.0	6342718281.3
6545000000.0	5451343247.0	4089002453.0	6343672259.5
6546000000.0	5452046942.5	4089397061.6	6344626233.2
6547000000.0	5452750604.5	4089791625.8	6345580202.3
6548000000.0	5453454233.3	4090186145.7	6346534166.8
6549000000.0	5454157828.7	4090580621.3	6347488126.8
6550000000.0	5454861390.8	4090975052.6	6348442082.2
6551000000.0	5455564919.6	4091369439.5	6349396033.0
6552000000.0	5456268415.0	4091763782.2	6350349979.3
6553000000.0	5456971877.1	4092158080.5	6351303921.0
6554000000.0	5457675305.9	4092552334.5	6352257858.1
6555000000.0	5458378701.3	4092946544.3	6353211790.7
6556000000.0	5459082063.5	4093340709.7	6354165718.7
6557000000.0	5459785392.3	4093734830.9	6355119642.1
6558000000.0	5460488687.8	4094128907.8	6356073561.0
6559000000.0	5461191950.0	4094522940.5	6357027475.3
6560000000.0	5461895178.9	4094916928.9	6357981385.1
6561000000.0	5462598374.5	4095310873.1	6358935290.3
6562000000.0	5463301536.8	4095704773.0	6359889190.9
6563000000.0	5464004665.8	4096098628.7	6360843087.0
6564000000.0	5464707761.4	4096492440.2	6361796978.4
6565000000.0	5465410823.8	4096886207.5	6362750865.4
6566000000.0	5466113852.9	4097279930.6	6363704747.7
6567000000.0	5466816848.7	4097673609.4	6364658625.5
6568000000.0	5467519811.2	4098067244.1	6365612498.8
6569000000.0	5468222740.4	4098460834.6	6366566367.4
6570000000.0	5468925636.4	4098854380.9	6367520231.5
6571000000.0	5469628499.0	4099247883.1	6368474091.1
6572000000.0	5470331328.4	4099641341.1	6369427946.0
6573000000.0	5471034124.5	4100034754.9	6370381796.5
6574000000.0	5471736887.3	4100428124.6	6371335642.3
6575000000.0	5472439616.8	4100821450.2	6372289483.6
6576000000.0	5473142313.1	4101214731.6	6373243320.3
6577000000.0	5473844976.1	4101607968.9	6374197152.4
6578000000.0	5474547605.8	4102001162.1	6375150980.0
6579000000.0	5475250202.3	4102394311.1	6376104803.1
6580000000.0	5475952765.5	4102787416.1	6377058621.5
6581000000.0	5476655295.5	4103180477.0	6378012435.4
6582000000.0	5477357792.2	4103573493.8	6378966244.7
6583000000.0	5478060255.6	4103966466.5	6379920049.5
6584000000.0	5478762685.8	4104359395.1	6380873849.7
6585000000.0	5479465082.7	4104752279.7	6381827645.4
6586000000.0	5480167446.4	4105145120.2	6382781436.4
6587000000.0	5480869776.9	4105537916.7	6383735222.9
6588000000.0	5481572074.1	4105930669.1	6384689004.9
6589000000.0	5482274338.0	4106323377.5	6385642782.3
6590000000.0	5482976568.7	4106716041.9	6386596555.1
6591000000.0	5483678766.2	4107108662.2	6387550323.3
6592000000.0	5484380930.5	4107501238.6	6388504087.0
6593000000.0	5485083061.5	4107893770.9	6389457846.2
6594000000.0	5485785159.3	4108286259.2	6390411600.7
6595000000.0	5486487223.9	4108678703.6	6391365350.7
6596000000.0	5487189255.2	4109071103.9	6392319096.2
6597000000.0	5487891253.3	4109463460.3	6393272837.0
6598000000.0	5488593218.3	4109855772.7	6394226573.4
6599000000.0	5489295149.9	4110248041.2	6395180305.1
6600000000.0	5489997048.4	4110640265.7	6396134032.3
6601000000.0	5490698913.7	4111032446.2	6397087754.9
6602000000.0	5491400745.7	4111424582.9	6398041473.0
6603000000.0	5492102544.6	4111816675.6	6398995186.5
6604000000.0	5492804310.2	4112208724.3	6399948895.4
6605000000.0	5493506042.6	4112600729.2	6400902599.7
6606000000.0	5494207741.9	4112992690.1	6401856299.6
6607000000.0	5494909407.9	4113384607.1	6402809994.8
6608000000.0	5495611040.8	4113776480.3	6403763685.5
6609000000.0	5496312640.4	4114168309.6	6404717371.6
6610000000.0	5497014206.9	4114560094.9	6405671053.1
6611000000.0	5497715740.1	4114951836.4	6406624730.1
6612000000.0	5498417240.2	4115343534.1	6407578402.5
6613000000.0	5499118707.1	4115735187.9	6408532070.4
6614000000.0	5499820140.9	4116126797.8	6409485733.7
6615000000.0	5500521541.4	4116518363.9	6410439392.4
6616000000.0	5501222908.8	4116909886.2	6411393046.6
6617000000.0	5501924242.9	4117301364.6	6412346696.2
6618000000.0	5502625544.0	4117692799.2	6413300341.3
6619000000.0	5503326811.8	4118084190.0	6414253981.8
6620000000.0	5504028046.5	4118475537.0	6415207617.7
6621000000.0	5504729248.0	4118866840.2	6416161249.0
6622000000.0	5505430416.4	4119258099.6	6417114875.8
6623000000.0	5506131551.5	4119649315.2	6418068498.1
6624000000.0	5506832653.6	4120040487.1	6419022115.7
6625000000.0	5507533722.5	4120431615.2	6419975728.9
6626000000.0	5508234758.2	4120822699.5	6420929337.4
6627000000.0	5508935760.8	4121213740.0	6421882941.4
6628000000.0	5509636730.2	4121604736.9	6422836540.8
6629000000.0	5510337666.5	4121995689.9	6423790135.7
6630000000.0	5511038569.6	4122386599.3	6424743726.0
6631000000.0	5511739439.6	4122777464.9	6425697311.7
6632000000.0	5512440276.5	4123168286.8	6426650892.9
6633000000.0	5513141080.2	4123559065.0	6427604469.5
6634000000.0	5513841850.8	4123949799.5	6428558041.5
6635000000.0	5514542588.2	4124340490.3	6429511609.0
6636000000.0	5515243292.5	4124731137.4	6430465171.9
6637000000.0	5515943963.7	4125121740.9	6431418730.3
6638000000.0	5516644601.8	4125512300.6	6432372284.1
6639000000.0	5517345206.7	4125902816.7	6433325833.3
6640000000.0	5518045778.6	4126293289.1	6434279378.0
6641000000.0	5518746317.3	4126683717.9	6435232918.1
6642000000.0	5519446822.9	4127074103.1	6436186453.7
6643000000.0	5520147295.4	4127464444.6	6437139984.7
6644000000.0	5520847734.7	4127854742.5	6438093511.1
6645000000.0	5521548141.0	4128244996.7	6439047033.0
6646000000.0	5522248514.1	4128635207.4	6440000550.3
6647000000.0	5522948854.2	4129025374.4	6440954063.0
6648000000.0	5523649161.1	4129415497.8	6441907571.2
6649000000.0	5524349435.0	4129805577.7	6442861074.8
6650000000.0	5525049675.8	4130195613.9	6443814573.9
6651000000.0	5525749883.4	4130585606.6	6444768068.4
6652000000.0	5526450058.0	4130975555.7	6445721558.3
6653000000.0	5527150199.5	4131365461.3	6446675043.7
6654000000.0	5527850307.8	4131755323.3	6447628524.5
6655000000.0	5528550383.2	4132145141.7	6448582000.7
6656000000.0	5529250425.4	4132534916.6	6449535472.4
6657000000.0	5529950434.5	4132924648.0	6450488939.5
6658000000.0	5530650410.6	4133314335.8	6451442402.1
6659000000.0	5531350353.6	4133703980.1	6452395860.1
6660000000.0	5532050263.5	4134093580.9	6453349313.6
6661000000.0	5532750140.3	4134483138.3	6454302762.4
6662000000.0	5533449984.1	4134872652.1	6455256206.8
6663000000.0	5534149794.8	4135262122.4	6456209646.5
6664000000.0	5534849572.5	4135651549.2	6457163081.7
6665000000.0	5535549317.0	4136040932.6	6458116512.4
6666000000.0	5536249028.6	4136430272.5	6459069938.4
6667000000.0	5536948707.0	4136819568.9	6460023359.9
6668000000.0	5537648352.4	4137208821.9	6460976776.9
6669000000.0	5538347964.8	4137598031.4	6461930189.3
6670000000.0	5539047544.1	4137987197.5	6462883597.1
6671000000.0	5539747090.4	4138376320.2	6463837000.4
6672000000.0	5540446603.6	4138765399.4	6464790399.1
6673000000.0	5541146083.8	4139154435.3	6465743793.3
6674000000.0	5541845530.9	4139543427.7	6466697182.8
6675000000.0	5542544945.0	4139932376.7	6467650567.9
6676000000.0	5543244326.1	4140321282.3	6468603948.3
6677000000.0	5543943674.1	4140710144.5	6469557324.3
6678000000.0	5544642989.1	4141098963.4	6470510695.6
6679000000.0	5545342271.0	4141487738.8	6471464062.4
6680000000.0	5546041520.0	4141876471.0	6472417424.6
6681000000.0	5546740735.9	4142265159.7	6473370782.3
6682000000.0	5547439918.8	4142653805.1	6474324135.4
6683000000.0	5548139068.7	4143042407.2	6475277483.9
6684000000.0	5548838185.5	4143430965.9	6476230827.9
6685000000.0	5549537269.4	4143819481.3	6477184167.3
6686000000.0	5550236320.2	4144207953.3	6478137502.2
6687000000.0	5550935338.0	4144596382.1	6479090832.5
6688000000.0	5551634322.8	4144984767.5	6480044158.3
6689000000.0	5552333274.6	4145373109.7	6480997479.4
6690000000.0	5553032193.4	4145761408.5	6481950796.1
6691000000.0	5553731079.2	4146149664.1	6482904108.1
6692000000.0	5554429932.0	4146537876.4	6483857415.6
6693000000.0	5555128751.9	4146926045.4	6484810718.6
6694000000.0	5555827538.7	4147314171.1	6485764016.9
6695000000.0	5556526292.5	4147702253.6	6486717310.8
6696000000.0	5557225013.3	4148090292.9	6487670600.0
6697000000.0	5557923701.2	4148478288.9	6488623884.7
6698000000.0	5558622356.0	4148866241.6	6489577164.9
6699000000.0	5559320977.9	4149254151.2	6490530440.5
6700000000.0	5560019566.8	4149642017.5	6491483711.5
6701000000.0	5560718122.7	4150029840.6	6492436978.0
6702000000.0	5561416645.7	4150417620.5	6493390239.9
6703000000.0	5562115135.7	4150805357.2	6494343497.2
6704000000.0	5562813592.7	4151193050.7	6495296750.0
6705000000.0	5563512016.7	4151580701.0	6496249998.2
6706000000.0	5564210407.8	4151968308.1	6497203241.9
6707000000.0	5564908765.9	4152355872.1	6498156481.0
6708000000.0	5565607091.0	4152743392.9	6499109715.5
6709000000.0	5566305383.2	4153130870.6	6500062945.5
6710000000.0	5567003642.4	4153518305.1	6501016170.9
6711000000.0	5567701868.7	4153905696.4	6501969391.8
6712000000.0	5568400062.0	4154293044.7	6502922608.1
6713000000.0	5569098222.4	4154680349.8	6503875819.9
6714000000.0	5569796349.9	4155067611.8	6504829027.1
6715000000.0	5570494444.3	4155454830.6	6505782229.7
6716000000.0	5571192505.9	4155842006.4	6506735427.8
6717000000.0	5571890534.5	4156229139.1	6507688621.3
6718000000.0	5572588530.1	4156616228.7	6508641810.2
6719000000.0	5573286492.9	4157003275.1	6509594994.6
6720000000.0	5573984422.7	4157390278.6	6510548174.5
6721000000.0	5574682319.5	4157777238.9	6511501349.7
6722000000.0	5575380183.5	4158164156.2	6512454520.5
6723000000.0	5576078014.5	4158551030.4	6513407686.6
6724000000.0	5576775812.6	4158937861.6	6514360848.2
6725000000.0	5577473577.7	4159324649.8	6515314005.3
6726000000.0	5578171310.0	4159711394.9	6516267157.7
6727000000.0	5578869009.3	4160098097.0	6517220305.7
6728000000.0	5579566675.7	4160484756.0	6518173449.0
6729000000.0	5580264309.2	4160871372.1	6519126587.8
6730000000.0	5580961909.8	4161257945.1	6520079722.1
6731000000.0	5581659477.5	4161644475.2	6521032851.8
6732000000.0	5582357012.3	4162030962.2	6521985976.9
6733000000.0	5583054514.2	4162417406.3	6522939097.5
