TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
8417000000.0	6481730793.7	4493149519.4	8154069495.4
8418000000.0	6482329257.0	4493435930.2	8155020806.8
8419000000.0	6482927688.7	4493722309.5	8155972114.1
8420000000.0	6483526088.6	4494008657.2	8156923417.3
8421000000.0	6484124456.9	4494294973.5	8157874716.5
8422000000.0	6484722793.5	4494581258.2	8158826011.7
8423000000.0	6485321098.5	4494867511.4	8159777302.8
8424000000.0	6485919371.8	4495153733.2	8160728589.8
8425000000.0	6486517613.4	4495439923.4	8161679872.8
8426000000.0	6487115823.3	4495726082.1	8162631151.7
8427000000.0	6487714001.6	4496012209.4	8163582426.6
8428000000.0	6488312148.3	4496298305.2	8164533697.4
8429000000.0	6488910263.2	4496584369.4	8165484964.1
8430000000.0	6489508346.5	4496870402.3	8166436226.8
8431000000.0	6490106398.2	4497156403.6	8167387485.5
8432000000.0	6490704418.2	4497442373.5	8168338740.1
8433000000.0	6491302406.6	4497728312.0	8169289990.6
8434000000.0	6491900363.3	4498014219.0	8170241237.1
8435000000.0	6492498288.4	4498300094.5	8171192479.6
8436000000.0	6493096181.9	4498585938.6	8172143718.0
8437000000.0	6493694043.7	4498871751.3	8173094952.3
8438000000.0	6494291873.8	4499157532.5	8174046182.6
8439000000.0	6494889672.4	4499443282.4	8174997408.8
8440000000.0	6495487439.3	4499729000.8	8175948631.0
8441000000.0	6496085174.6	4500014687.7	8176899849.1
8442000000.0	6496682878.2	4500300343.3	8177851063.1
8443000000.0	6497280550.3	4500585967.5	8178802273.1
8444000000.0	6497878190.7	4500871560.3	8179753479.1
8445000000.0	6498475799.5	4501157121.7	8180704681.0
8446000000.0	6499073376.7	4501442651.7	8181655878.9
8447000000.0	6499670922.3	4501728150.3	8182607072.6
8448000000.0	6500268436.3	4502013617.5	8183558262.4
8449000000.0	6500865918.6	4502299053.4	8184509448.1
8450000000.0	6501463369.4	4502584457.9	8185460629.7
8451000000.0	6502060788.6	4502869831.0	8186411807.3
8452000000.0	6502658176.1	4503155172.8	8187362980.8
8453000000.0	6503255532.1	4503440483.2	8188314150.3
8454000000.0	6503852856.5	4503725762.3	8189265315.7
8455000000.0	6504450149.2	4504011010.0	8190216477.1
8456000000.0	6505047410.4	4504296226.4	8191167634.4
8457000000.0	6505644640.0	4504581411.5	8192118787.6
8458000000.0	6506241838.0	4504866565.2	8193069936.9
8459000000.0	6506839004.5	4505151687.7	8194021082.0
8460000000.0	6507436139.3	4505436778.8	8194972223.1
8461000000.0	6508033242.6	4505721838.6	8195923360.2
8462000000.0	6508630314.3	4506006867.1	8196874493.2
8463000000.0	6509227354.5	4506291864.3	8197825622.1
8464000000.0	6509824363.0	4506576830.2	8198776747.0
8465000000.0	6510421340.0	4506861764.8	8199727867.8
8466000000.0	6511018285.5	4507146668.1	8200678984.6
8467000000.0	6511615199.4	4507431540.1	8201630097.3
8468000000.0	6512212081.7	4507716380.9	8202581206.0
8469000000.0	6512808932.4	4508001190.4	8203532310.6
8470000000.0	6513405751.6	4508285968.7	8204483411.2
8471000000.0	6514002539.3	4508570715.6	8205434507.7
8472000000.0	6514599295.4	4508855431.4	8206385600.2
8473000000.0	6515196020.0	4509140115.8	8207336688.6
8474000000.0	6515792713.0	4509424769.1	8208287772.9
8475000000.0	6516389374.5	4509709391.1	8209238853.3
8476000000.0	6516986004.4	4509993981.8	8210189929.5
8477000000.0	6517582602.8	4510278541.4	8211141001.7
8478000000.0	6518179169.7	4510563069.7	8212092069.9
8479000000.0	6518775705.0	4510847566.8	8213043133.9
8480000000.0	6519372208.8	4511132032.7	8213994194.0
8481000000.0	6519968681.1	4511416467.3	8214945250.0
8482000000.0	6520565121.9	4511700870.8	8215896301.9
8483000000.0	6521161531.1	4511985243.1	8216847349.8
8484000000.0	6521757908.8	4512269584.2	8217798393.6
8485000000.0	6522354255.0	4512553894.1	8218749433.4
8486000000.0	6522950569.7	4512838172.8	8219700469.1
8487000000.0	6523546852.9	4513122420.3	8220651500.8
8488000000.0	6524143104.5	4513406636.7	8221602528.4
8489000000.0	6524739324.7	4513690821.9	8222553552.0
8490000000.0	6525335513.3	4513974975.9	8223504571.5
8491000000.0	6525931670.5	4514259098.8	8224455587.0
8492000000.0	6526527796.2	4514543190.5	8225406598.4
8493000000.0	6527123890.3	4514827251.1	8226357605.8
8494000000.0	6527719953.0	4515111280.6	8227308609.1
8495000000.0	6528315984.2	4515395278.9	8228259608.3
8496000000.0	6528911983.8	4515679246.1	8229210603.5
8497000000.0	6529507952.0	4515963182.1	8230161594.7
8498000000.0	6530103888.7	4516247087.0	8231112581.8
8499000000.0	6530699794.0	4516530960.9	8232063564.8
8500000000.0	6531295667.7	4516814803.6	8233014543.8
8501000000.0	6531891510.0	4517098615.2	8233965518.8
8502000000.0	6532487320.8	4517382395.7	8234916489.7
8503000000.0	6533083100.1	4517666145.1	8235867456.5
8504000000.0	6533678848.0	4517949863.4	8236818419.3
8505000000.0	6534274564.4	4518233550.7	8237769378.0
8506000000.0	6534870249.3	4518517206.8	8238720332.7
8507000000.0	6535465902.8	4518800831.9	8239671283.3
8508000000.0	6536061524.8	4519084425.9	8240622229.9
8509000000.0	6536657115.4	4519367988.9	8241573172.4
8510000000.0	6537252674.5	4519651520.8	8242524110.9
8511000000.0	6537848202.1	4519935021.6	8243475045.3
8512000000.0	6538443698.3	4520218491.4	8244425975.7
8513000000.0	6539039163.1	4520501930.1	8245376902.0
8514000000.0	6539634596.4	4520785337.8	8246327824.3
8515000000.0	6540229998.3	4521068714.5	8247278742.5
8516000000.0	6540825368.7	4521352060.2	8248229656.7
8517000000.0	6541420707.7	4521635374.8	8249180566.8
8518000000.0	6542016015.3	4521918658.4	8250131472.8
8519000000.0	6542611291.4	4522201911.0	8251082374.9
8520000000.0	6543206536.1	4522485132.6	8252033272.8
8521000000.0	6543801749.3	4522768323.1	8252984166.7
8522000000.0	6544396931.2	4523051482.7	8253935056.6
8523000000.0	6544992081.6	4523334611.3	8254885942.4
8524000000.0	6545587200.6	4523617708.9	8255836824.1
8525000000.0	6546182288.2	4523900775.5	8256787701.8
8526000000.0	6546777344.4	4524183811.2	8257738575.5
8527000000.0	6547372369.2	4524466815.8	8258689445.1
8528000000.0	6547967362.5	4524749789.5	8259640310.6
8529000000.0	6548562324.5	4525032732.3	8260591172.1
8530000000.0	6549157255.0	4525315644.1	8261542029.6
8531000000.0	6549752154.2	4525598524.9	8262492882.9
8532000000.0	6550347021.9	4525881374.8	8263443732.3
8533000000.0	6550941858.2	4526164193.7	8264394577.6
8534000000.0	6551536663.2	4526446981.7	8265345418.8
8535000000.0	6552131436.8	4526729738.8	8266296256.0
8536000000.0	6552726178.9	4527012465.0	8267247089.1
8537000000.0	6553320889.7	4527295160.2	8268197918.2
8538000000.0	6553915569.1	4527577824.5	8269148743.3
8539000000.0	6554510217.1	4527860457.9	8270099564.2
8540000000.0	6555104833.8	4528143060.4	8271050381.2
8541000000.0	6555699419.0	4528425632.0	8272001194.0
8542000000.0	6556293972.9	4528708172.7	8272952002.9
8543000000.0	6556888495.4	4528990682.5	8273902807.7
8544000000.0	6557482986.6	4529273161.4	8274853608.4
8545000000.0	6558077446.4	4529555609.5	8275804405.1
8546000000.0	6558671874.8	4529838026.6	8276755197.7
8547000000.0	6559266271.8	4530120412.9	8277705986.3
8548000000.0	6559860637.5	4530402768.3	8278656770.8
