subcompartment	median_signal	n_bins	mark	genome_median	fold_enrichment	log2_fold	condition	tp
B.1	0.0545199998021126	3391	H3K4me3	0.129939999639988	0.419578266531983	-1.25298814428052	mut	250831
A.1	1.51461000394821	8558	H3K4me3	0.129939999639988	11.6562260131183	3.54302885139382	mut	250831
B.2	0.0807499972134829	7265	ATAC	0.264859994262457	0.304878044864207	-1.71369583337536	mut	250831
A.2	0.308624991983175	4609	ATAC	0.264859994262457	1.16523823404357	0.220624945382591	mut	250831
B.1	0.177659994766116	3391	ATAC	0.264859994262457	0.67076945788222	-0.576111094662805	mut	250831
A.1	0.81201249370724	8558	ATAC	0.264859994262457	3.06581783318546	1.6162719765245	mut	250831
B.2	0.374287532016635	7265	H3K36me3	0.686312463484705	0.545360243228304	-0.874718563295675	mut	250831
A.2	0.765417485304177	4609	H3K36me3	0.686312463484705	1.11526094312468	0.157381304143102	mut	250831
B.1	0.572241702854633	3391	H3K36me3	0.686312463484705	0.83379179790662	-0.26224091460679	mut	250831
A.1	1.09392663224414	8558	H3K36me3	0.686312463484705	1.59391922840772	0.672578522849013	mut	250831
B.2	0	7265	RNA	0.1055	0	NA	mut	250831
A.2	0.2305	4609	RNA	0.1055	2.18483412322275	1.12752375172215	mut	250831
B.1	0.0275	3391	RNA	0.1055	0.260663507109005	-1.93973947518253	mut	250831
A.1	1.337	8558	RNA	0.1055	12.6729857819905	3.66368456138617	mut	250831
B.2	0.451615014076233	7265	DNAmethylation	0.842515024423599	0.536032000598686	-0.899608964116746	mut	250831
A.2	0.974370027661324	4609	DNAmethylation	0.842515024423599	1.1565016639649	0.209767341713132	mut	250831
B.1	0.740395018219948	3391	DNAmethylation	0.842515024423599	0.878791471673142	-0.186407225848256	mut	250831
A.1	1.25255503544211	8558	DNAmethylation	0.842515024423599	1.48668569596019	0.572099675764129	mut	250831
B.2	0.569754995405674	7265	H3K27me1	0.716744996130467	0.794920088011279	-0.331118258923738	mut	250831
A.2	0.637284995704889	4609	H3K27me1	0.716744996130467	0.889137697710395	-0.169521233289502	mut	250831
B.1	0.517189997196198	3391	H3K27me1	0.716744996130467	0.721581594553686	-0.470765554776289	mut	250831
A.1	1.30935499064624	8558	H3K27me1	0.716744996130467	1.8268072992698	0.869324459334767	mut	250831
B.2	0.197045000016689	7265	H2AK119ub	0.531434999257326	0.370779117468848	-1.43136810219821	mut	250831
A.2	0.726465001314879	4609	H2AK119ub	0.531434999257326	1.36698750050355	0.451000051251225	mut	250831
B.1	0.503280001580715	3391	H2AK119ub	0.531434999257326	0.947020806465594	-0.0785319721979467	mut	250831
A.1	0.839127500265837	8558	H2AK119ub	0.531434999257326	1.57898426230585	0.6589967919667	mut	250831
B.2	0.227089993596077	7265	H3K27me3	0.510614990890026	0.444738203240466	-1.16897175662864	mut	250831
A.2	1.00463499259949	4609	H3K27me3	0.510614990890026	1.96749999612891	0.976363632894231	mut	250831
B.1	0.718684992790222	3391	H3K27me3	0.510614990890026	1.40748901934414	0.493123667030519	mut	250831
A.1	0.652202494829893	8558	H3K27me3	0.510614990890026	1.27728818476926	0.353084066020478	mut	250831
