loop_id	shift_detected	ctrl_peak_row	ctrl_peak_col	mut_peak_row	mut_peak_col	ctrl_centered	mut_centered
loop_236	TRUE	3	3	5	2	TRUE	FALSE
loop_237	FALSE	2	3	2	3	FALSE	FALSE
loop_238	FALSE	5	3	5	3	FALSE	FALSE
loop_239	TRUE	3	3	4	3	TRUE	FALSE
loop_240	TRUE	3	3	3	2	TRUE	FALSE
loop_241	FALSE	3	3	3	3	TRUE	TRUE
loop_242	TRUE	5	1	3	3	FALSE	TRUE
loop_243	FALSE	2	3	2	3	FALSE	FALSE
loop_244	TRUE	3	3	4	3	TRUE	FALSE
loop_245	FALSE	5	1	5	1	FALSE	FALSE
loop_246	FALSE	3	3	3	3	TRUE	TRUE
loop_247	FALSE	3	3	3	3	TRUE	TRUE
loop_248	TRUE	3	3	2	3	TRUE	FALSE
loop_249	TRUE	3	3	5	1	TRUE	FALSE
loop_250	TRUE	3	3	3	1	TRUE	FALSE
loop_251	FALSE	4	3	4	3	FALSE	FALSE
loop_252	FALSE	3	1	3	1	FALSE	FALSE
loop_253	TRUE	3	3	5	2	TRUE	FALSE
loop_254	TRUE	2	3	2	5	FALSE	FALSE
loop_255	FALSE	3	2	3	2	FALSE	FALSE
loop_256	FALSE	3	3	3	3	TRUE	TRUE
loop_257	TRUE	2	3	1	3	FALSE	FALSE
loop_258	FALSE	3	3	3	3	TRUE	TRUE
loop_259	FALSE	3	2	3	2	FALSE	FALSE
loop_260	FALSE	5	3	5	3	FALSE	FALSE
loop_261	FALSE	5	1	5	1	FALSE	FALSE
loop_262	FALSE	3	1	3	1	FALSE	FALSE
loop_263	TRUE	3	3	2	3	TRUE	FALSE
loop_264	FALSE	3	3	3	3	TRUE	TRUE
loop_265	FALSE	2	2	2	2	FALSE	FALSE
loop_266	FALSE	3	1	3	1	FALSE	FALSE
loop_267	TRUE	3	3	3	4	TRUE	FALSE
loop_268	FALSE	3	3	3	3	TRUE	TRUE
loop_269	FALSE	1	3	1	3	FALSE	FALSE
loop_270	TRUE	4	3	3	2	FALSE	FALSE
loop_271	TRUE	3	1	3	2	FALSE	FALSE
loop_272	TRUE	2	3	3	1	FALSE	FALSE
loop_273	TRUE	5	3	5	2	FALSE	FALSE
loop_274	TRUE	2	5	5	5	FALSE	FALSE
loop_275	FALSE	3	3	3	3	TRUE	TRUE
loop_276	FALSE	2	3	2	3	FALSE	FALSE
loop_277	TRUE	3	3	2	3	TRUE	FALSE
loop_278	TRUE	4	3	5	1	FALSE	FALSE
loop_279	TRUE	3	3	4	3	TRUE	FALSE
loop_280	TRUE	3	3	1	3	TRUE	FALSE
loop_281	FALSE	2	3	2	3	FALSE	FALSE
loop_282	TRUE	3	3	2	3	TRUE	FALSE
loop_283	FALSE	3	3	3	3	TRUE	TRUE
loop_284	TRUE	3	3	2	3	TRUE	FALSE
loop_285	FALSE	4	3	4	3	FALSE	FALSE
loop_286	FALSE	2	3	2	3	FALSE	FALSE
loop_287	TRUE	5	3	4	3	FALSE	FALSE
loop_288	TRUE	4	3	3	3	FALSE	TRUE
loop_289	TRUE	3	3	3	4	TRUE	FALSE
loop_290	FALSE	5	1	5	1	FALSE	FALSE
loop_291	TRUE	3	3	4	3	TRUE	FALSE
loop_292	TRUE	3	4	5	4	FALSE	FALSE
loop_293	TRUE	3	1	3	2	FALSE	FALSE
loop_294	TRUE	3	3	4	2	TRUE	FALSE
loop_295	TRUE	2	3	3	3	FALSE	TRUE
loop_296	FALSE	3	3	3	3	TRUE	TRUE
loop_297	TRUE	3	3	3	2	TRUE	FALSE
loop_298	FALSE	3	3	3	3	TRUE	TRUE
loop_299	TRUE	3	3	4	2	TRUE	FALSE
loop_300	TRUE	3	2	3	4	FALSE	FALSE
loop_301	FALSE	3	3	3	3	TRUE	TRUE
loop_302	TRUE	3	3	3	1	TRUE	FALSE
loop_303	TRUE	3	3	3	2	TRUE	FALSE
loop_304	FALSE	3	3	3	3	TRUE	TRUE
loop_305	TRUE	3	3	4	3	TRUE	FALSE
loop_306	FALSE	3	3	3	3	TRUE	TRUE
loop_307	TRUE	3	3	2	3	TRUE	FALSE
loop_308	FALSE	3	3	3	3	TRUE	TRUE
loop_309	FALSE	3	2	3	2	FALSE	FALSE
loop_310	FALSE	5	1	5	1	FALSE	FALSE
loop_311	FALSE	2	3	2	3	FALSE	FALSE
loop_312	FALSE	3	2	3	2	FALSE	FALSE
loop_313	FALSE	5	3	5	3	FALSE	FALSE
loop_314	FALSE	3	2	3	2	FALSE	FALSE
loop_315	TRUE	4	3	4	2	FALSE	FALSE
loop_316	FALSE	4	3	4	3	FALSE	FALSE
loop_317	FALSE	3	3	3	3	TRUE	TRUE
loop_318	TRUE	5	1	5	2	FALSE	FALSE
loop_319	FALSE	3	3	3	3	TRUE	TRUE
loop_320	TRUE	3	3	4	1	TRUE	FALSE
loop_321	FALSE	3	3	3	3	TRUE	TRUE
loop_322	FALSE	3	3	3	3	TRUE	TRUE
loop_323	FALSE	4	3	4	3	FALSE	FALSE
loop_324	TRUE	3	3	4	3	TRUE	FALSE
loop_325	TRUE	3	3	2	3	TRUE	FALSE
loop_326	FALSE	3	3	3	3	TRUE	TRUE
loop_327	FALSE	5	1	5	1	FALSE	FALSE
loop_328	TRUE	3	3	3	2	TRUE	FALSE
loop_329	FALSE	3	3	3	3	TRUE	TRUE
loop_330	TRUE	3	3	3	2	TRUE	FALSE
loop_331	FALSE	4	3	4	3	FALSE	FALSE
loop_332	TRUE	3	3	3	1	TRUE	FALSE
loop_333	FALSE	4	3	4	3	FALSE	FALSE
loop_334	TRUE	3	2	3	1	FALSE	FALSE
loop_335	FALSE	3	2	3	2	FALSE	FALSE
loop_336	FALSE	5	3	5	3	FALSE	FALSE
loop_337	TRUE	3	3	3	4	TRUE	FALSE
loop_338	FALSE	4	3	4	3	FALSE	FALSE
loop_339	TRUE	3	3	3	2	TRUE	FALSE
loop_340	FALSE	3	2	3	2	FALSE	FALSE
loop_341	TRUE	3	2	3	1	FALSE	FALSE
loop_342	FALSE	3	4	3	4	FALSE	FALSE
loop_343	FALSE	3	3	3	3	TRUE	TRUE
loop_344	TRUE	3	3	5	2	TRUE	FALSE
loop_345	TRUE	3	2	3	3	FALSE	TRUE
loop_346	TRUE	3	3	3	1	TRUE	FALSE
loop_347	FALSE	2	4	2	4	FALSE	FALSE
loop_348	FALSE	3	3	3	3	TRUE	TRUE
loop_349	FALSE	3	3	3	3	TRUE	TRUE
loop_350	FALSE	3	3	3	3	TRUE	TRUE
loop_351	TRUE	2	3	3	4	FALSE	FALSE
loop_352	FALSE	3	3	3	3	TRUE	TRUE
loop_353	TRUE	3	3	2	2	TRUE	FALSE
loop_354	FALSE	3	3	3	3	TRUE	TRUE
loop_355	FALSE	3	3	3	3	TRUE	TRUE
loop_356	FALSE	3	3	3	3	TRUE	TRUE
loop_357	TRUE	5	2	5	1	FALSE	FALSE
loop_358	FALSE	2	3	2	3	FALSE	FALSE
loop_359	FALSE	2	3	2	3	FALSE	FALSE
loop_360	FALSE	3	3	3	3	TRUE	TRUE
loop_361	FALSE	3	2	3	2	FALSE	FALSE
loop_362	TRUE	3	3	1	5	TRUE	FALSE
loop_363	TRUE	3	3	3	2	TRUE	FALSE
loop_364	TRUE	3	3	2	2	TRUE	FALSE
loop_365	TRUE	3	3	2	2	TRUE	FALSE
loop_366	FALSE	4	3	4	3	FALSE	FALSE
loop_367	TRUE	3	3	4	3	TRUE	FALSE
loop_368	FALSE	2	3	2	3	FALSE	FALSE
loop_369	FALSE	3	3	3	3	TRUE	TRUE
loop_370	FALSE	5	1	5	1	FALSE	FALSE
loop_371	TRUE	4	1	4	3	FALSE	FALSE
loop_372	FALSE	5	1	5	1	FALSE	FALSE
loop_373	FALSE	5	1	5	1	FALSE	FALSE
loop_374	FALSE	3	2	3	2	FALSE	FALSE
loop_375	FALSE	3	2	3	2	FALSE	FALSE
loop_376	FALSE	5	1	5	1	FALSE	FALSE
loop_377	FALSE	5	3	5	3	FALSE	FALSE
loop_378	TRUE	3	3	3	2	TRUE	FALSE
loop_379	TRUE	3	3	3	4	TRUE	FALSE
loop_380	TRUE	3	2	2	2	FALSE	FALSE
loop_381	TRUE	3	3	3	1	TRUE	FALSE
loop_382	TRUE	3	3	4	3	TRUE	FALSE
loop_383	TRUE	3	3	3	4	TRUE	FALSE
loop_384	FALSE	4	3	4	3	FALSE	FALSE
loop_385	TRUE	1	3	1	4	FALSE	FALSE
loop_386	FALSE	4	3	4	3	FALSE	FALSE
loop_387	FALSE	2	3	2	3	FALSE	FALSE
loop_388	FALSE	2	3	2	3	FALSE	FALSE
loop_389	TRUE	2	2	3	2	FALSE	FALSE
loop_390	TRUE	3	3	4	3	TRUE	FALSE
loop_391	FALSE	3	3	3	3	TRUE	TRUE
loop_392	FALSE	3	3	3	3	TRUE	TRUE
loop_393	FALSE	2	3	2	3	FALSE	FALSE
loop_394	TRUE	4	3	4	5	FALSE	FALSE
loop_395	FALSE	3	1	3	1	FALSE	FALSE
loop_396	TRUE	3	3	4	3	TRUE	FALSE
loop_397	FALSE	3	2	3	2	FALSE	FALSE
loop_398	TRUE	3	3	4	4	TRUE	FALSE
loop_399	FALSE	1	3	1	3	FALSE	FALSE
loop_400	FALSE	5	3	5	3	FALSE	FALSE
loop_401	TRUE	5	3	4	4	FALSE	FALSE
loop_402	FALSE	3	3	3	3	TRUE	TRUE
loop_403	FALSE	3	3	3	3	TRUE	TRUE
loop_404	TRUE	3	3	4	4	TRUE	FALSE
loop_405	TRUE	3	3	1	1	TRUE	FALSE
loop_406	FALSE	4	3	4	3	FALSE	FALSE
loop_407	TRUE	1	3	3	3	FALSE	TRUE
loop_408	TRUE	3	3	3	1	TRUE	FALSE
loop_409	FALSE	3	3	3	3	TRUE	TRUE
loop_410	TRUE	3	3	4	3	TRUE	FALSE
loop_411	TRUE	3	3	4	2	TRUE	FALSE
loop_412	FALSE	4	4	4	4	FALSE	FALSE
loop_413	FALSE	2	3	2	3	FALSE	FALSE
loop_414	FALSE	3	3	3	3	TRUE	TRUE
loop_415	FALSE	3	3	3	3	TRUE	TRUE
loop_416	TRUE	3	3	3	4	TRUE	FALSE
loop_417	FALSE	3	3	3	3	TRUE	TRUE
loop_418	FALSE	3	3	3	3	TRUE	TRUE
loop_419	FALSE	2	3	2	3	FALSE	FALSE
loop_420	TRUE	4	3	3	4	FALSE	FALSE
loop_421	FALSE	3	3	3	3	TRUE	TRUE
loop_422	TRUE	3	3	3	4	TRUE	FALSE
loop_423	FALSE	3	5	3	5	FALSE	FALSE
loop_424	TRUE	4	3	5	3	FALSE	FALSE
loop_425	TRUE	5	1	4	2	FALSE	FALSE
loop_426	TRUE	3	3	2	3	TRUE	FALSE
loop_427	FALSE	5	3	5	3	FALSE	FALSE
loop_428	TRUE	4	2	3	2	FALSE	FALSE
loop_429	FALSE	4	3	4	3	FALSE	FALSE
loop_430	FALSE	3	3	3	3	TRUE	TRUE
loop_431	FALSE	4	2	4	2	FALSE	FALSE
loop_432	FALSE	3	2	3	2	FALSE	FALSE
loop_433	FALSE	2	3	2	3	FALSE	FALSE
loop_434	TRUE	3	3	4	1	TRUE	FALSE
loop_435	TRUE	4	1	3	4	FALSE	FALSE
loop_436	FALSE	2	3	2	3	FALSE	FALSE
loop_437	TRUE	3	3	4	3	TRUE	FALSE
loop_438	FALSE	4	2	4	2	FALSE	FALSE
loop_439	FALSE	3	3	3	3	TRUE	TRUE
loop_440	TRUE	3	3	2	3	TRUE	FALSE
loop_441	TRUE	3	3	1	3	TRUE	FALSE
loop_442	TRUE	3	3	4	2	TRUE	FALSE
loop_443	TRUE	3	3	4	3	TRUE	FALSE
loop_444	FALSE	5	3	5	3	FALSE	FALSE
loop_445	TRUE	3	4	3	3	FALSE	TRUE
loop_446	FALSE	5	1	5	1	FALSE	FALSE
loop_447	TRUE	3	3	5	2	TRUE	FALSE
loop_448	TRUE	3	3	2	2	TRUE	FALSE
loop_449	TRUE	3	3	4	2	TRUE	FALSE
loop_450	FALSE	2	3	2	3	FALSE	FALSE
loop_451	TRUE	5	3	4	3	FALSE	FALSE
loop_452	TRUE	3	3	5	4	TRUE	FALSE
loop_453	TRUE	3	3	3	2	TRUE	FALSE
loop_454	TRUE	3	2	4	2	FALSE	FALSE
loop_455	FALSE	3	4	3	4	FALSE	FALSE
loop_456	FALSE	3	3	3	3	TRUE	TRUE
loop_457	FALSE	3	3	3	3	TRUE	TRUE
loop_458	TRUE	3	3	3	2	TRUE	FALSE
loop_459	FALSE	3	3	3	3	TRUE	TRUE
loop_460	FALSE	5	5	5	5	FALSE	FALSE
loop_461	TRUE	3	3	4	2	TRUE	FALSE
loop_462	TRUE	3	3	4	3	TRUE	FALSE
loop_463	TRUE	3	3	2	3	TRUE	FALSE
loop_464	TRUE	3	4	3	3	FALSE	TRUE
loop_465	FALSE	3	4	3	4	FALSE	FALSE
loop_466	FALSE	3	3	3	3	TRUE	TRUE
loop_467	FALSE	4	3	4	3	FALSE	FALSE
loop_468	FALSE	5	1	5	1	FALSE	FALSE
loop_469	FALSE	5	1	5	1	FALSE	FALSE
loop_470	FALSE	5	1	5	1	FALSE	FALSE
